orthogroup	D_carinulata	D_sublineata	A_obtectus	B_siliquastri	C_maculatus	C_chinensis
N0.HOG0005424	0	0	0	0	0	0
N0.HOG0005425	1	0	0	0	0	0
N0.HOG0005426	0	0	0	0	0	0
N0.HOG0005427	0	0	0	0	0	0
N0.HOG0005428	0	0	0	0	0	0
N0.HOG0005429	0	0	0	0	0	0
N0.HOG0005432	0	0	0	0	0	0
N0.HOG0005433	0	0	0	0	0	0
N0.HOG0005435	0	0	0	0	0	0
N0.HOG0005436	1	0	0	0	0	0
N0.HOG0005439	0	0	0	0	0	0
N0.HOG0005440	0	0	0	0	0	0
N0.HOG0005441	0	0	0	0	0	0
N0.HOG0005442	0	0	0	0	0	0
N0.HOG0005443	0	0	0	0	0	0
N0.HOG0005444	0	0	0	0	0	0
N0.HOG0005445	0	0	0	0	0	0
N0.HOG0005446	1	0	0	0	0	0
N0.HOG0005447	0	0	0	0	0	0
N0.HOG0005448	0	0	0	0	0	0
N0.HOG0005449	0	0	0	0	0	0
N0.HOG0005450	0	0	0	0	0	0
N0.HOG0005451	0	0	0	0	0	0
N0.HOG0005452	0	0	0	0	0	0
N0.HOG0005453	0	0	0	0	0	0
N0.HOG0005454	0	0	0	0	0	0
N0.HOG0005456	0	0	0	0	0	0
N0.HOG0005458	1	0	0	0	0	0
N0.HOG0005461	0	0	0	0	0	0
N0.HOG0005466	0	0	0	0	0	0
N0.HOG0005468	0	0	0	0	0	0
N0.HOG0005469	0	0	0	0	0	0
N0.HOG0005470	0	0	0	0	0	0
N0.HOG0005471	0	0	0	0	0	0
N0.HOG0005472	0	0	0	0	0	0
N0.HOG0005473	0	0	0	0	0	0
N0.HOG0005474	0	0	0	0	0	0
N0.HOG0005476	0	0	0	0	0	0
N0.HOG0005477	0	0	0	0	0	0
N0.HOG0005478	0	0	0	0	0	0
N0.HOG0005479	0	0	0	0	0	0
N0.HOG0005480	0	0	0	0	0	0
N0.HOG0005481	0	0	0	0	0	0
N0.HOG0005482	0	0	0	0	0	0
N0.HOG0005483	1	0	0	0	0	0
N0.HOG0005484	0	0	0	0	0	0
N0.HOG0005485	0	0	0	0	0	0
N0.HOG0005486	0	0	0	0	0	0
N0.HOG0005487	0	0	0	0	0	0
N0.HOG0005488	1	0	0	0	0	0
N0.HOG0005489	0	0	0	0	0	0
N0.HOG0005490	0	0	0	0	0	0
N0.HOG0005491	0	0	0	0	0	0
N0.HOG0005492	0	0	0	0	0	0
N0.HOG0005493	0	0	0	0	0	0
N0.HOG0005494	1	0	0	0	0	0
N0.HOG0005495	1	0	0	0	0	0
N0.HOG0005496	1	0	0	0	0	0
N0.HOG0005497	0	0	0	0	0	0
N0.HOG0005498	1	0	0	0	0	0
N0.HOG0005499	1	0	0	0	0	0
N0.HOG0005500	1	0	0	0	0	0
N0.HOG0005501	0	0	0	0	0	0
N0.HOG0005502	0	0	0	0	0	0
N0.HOG0005503	0	0	0	0	0	0
N0.HOG0005504	0	0	0	0	0	0
N0.HOG0005506	0	0	0	0	0	0
N0.HOG0005513	0	0	0	0	0	0
N0.HOG0005514	0	0	0	0	0	0
N0.HOG0005517	1	0	0	0	0	0
N0.HOG0005518	1	0	0	0	0	0
N0.HOG0005519	0	0	0	0	0	0
N0.HOG0005520	0	0	0	0	0	0
N0.HOG0005521	0	0	0	0	0	0
N0.HOG0005523	0	0	0	0	0	0
N0.HOG0005524	0	0	0	0	0	0
N0.HOG0005525	0	0	0	0	0	0
N0.HOG0005526	0	0	0	0	0	0
N0.HOG0005527	0	0	0	0	0	0
N0.HOG0005528	0	0	0	0	0	0
N0.HOG0005530	1	0	0	0	0	0
N0.HOG0005532	1	0	0	0	0	0
N0.HOG0005533	1	0	0	0	0	0
N0.HOG0005534	1	0	0	0	0	0
N0.HOG0005539	0	0	0	0	0	0
N0.HOG0005540	0	0	0	0	0	0
N0.HOG0005541	0	0	0	0	0	0
N0.HOG0005542	0	0	0	0	0	0
N0.HOG0005543	0	0	0	0	0	0
N0.HOG0005544	0	0	0	0	0	0
N0.HOG0005545	0	0	0	0	0	0
N0.HOG0005546	1	0	0	0	0	0
N0.HOG0005547	1	0	0	0	0	0
N0.HOG0005549	1	0	0	0	0	0
N0.HOG0005550	0	1	0	0	0	0
N0.HOG0005551	0	0	0	0	0	0
N0.HOG0005552	0	0	0	0	0	0
N0.HOG0005553	0	0	0	0	0	0
N0.HOG0005556	0	0	0	0	0	0
N0.HOG0005557	1	0	0	0	0	0
N0.HOG0005558	1	0	0	0	0	0
N0.HOG0005559	0	1	0	0	0	0
N0.HOG0005561	1	0	0	0	0	0
N0.HOG0005562	0	0	0	0	0	0
N0.HOG0005563	0	0	0	0	0	0
N0.HOG0005565	0	0	0	0	0	0
N0.HOG0005566	0	0	0	0	0	0
N0.HOG0005567	1	0	0	0	0	0
N0.HOG0005568	0	0	0	0	0	0
N0.HOG0005569	0	1	0	0	0	0
N0.HOG0005571	0	1	0	0	0	0
N0.HOG0005572	0	0	0	0	0	0
N0.HOG0005573	0	0	0	0	0	0
N0.HOG0005575	0	0	0	0	0	0
N0.HOG0005576	0	0	0	0	0	0
N0.HOG0005577	0	0	0	0	0	0
N0.HOG0005578	0	0	0	0	0	0
N0.HOG0005579	0	0	0	0	0	0
N0.HOG0005580	0	0	0	0	0	0
N0.HOG0005581	0	0	0	0	0	0
N0.HOG0005582	0	0	0	0	0	0
N0.HOG0005583	0	0	0	0	0	0
N0.HOG0005584	0	0	0	0	0	0
N0.HOG0005585	0	0	0	0	0	0
N0.HOG0005586	0	0	0	0	0	0
N0.HOG0005587	0	0	0	0	0	0
N0.HOG0005588	1	0	0	0	0	0
N0.HOG0005590	1	0	0	0	0	0
N0.HOG0005591	0	0	0	0	0	0
N0.HOG0005592	0	1	0	0	0	0
N0.HOG0005594	0	0	0	0	0	0
N0.HOG0005597	1	0	0	0	0	0
N0.HOG0005598	1	0	0	0	0	0
N0.HOG0005599	1	0	0	0	0	0
N0.HOG0005600	0	0	0	0	0	0
N0.HOG0005601	1	0	0	0	0	0
N0.HOG0005602	1	0	0	0	0	0
N0.HOG0005603	1	0	0	0	0	0
N0.HOG0005604	1	0	0	0	0	0
N0.HOG0005605	1	0	0	0	0	0
N0.HOG0005606	0	0	0	0	0	0
N0.HOG0005607	1	0	0	0	0	0
N0.HOG0005609	1	0	0	0	0	0
N0.HOG0005610	0	0	0	0	0	0
N0.HOG0005611	1	0	0	0	0	0
N0.HOG0005612	0	0	0	0	0	0
N0.HOG0005613	1	0	0	0	0	0
N0.HOG0005614	0	0	0	0	0	0
N0.HOG0005615	1	0	0	0	0	0
N0.HOG0005616	1	0	0	0	0	0
N0.HOG0005617	0	0	0	0	0	0
N0.HOG0005618	0	0	0	0	0	0
N0.HOG0005619	0	0	0	0	0	0
N0.HOG0005620	0	0	0	0	0	0
N0.HOG0005621	1	0	0	0	0	0
N0.HOG0005623	1	0	0	0	0	0
N0.HOG0005624	1	0	0	0	0	0
N0.HOG0005626	1	0	0	0	0	0
N0.HOG0005629	0	0	0	0	0	0
N0.HOG0005630	0	0	0	0	0	0
N0.HOG0005631	0	0	0	0	0	0
N0.HOG0005632	1	0	0	0	0	0
N0.HOG0005633	1	0	0	0	0	0
N0.HOG0005634	0	0	0	0	0	0
N0.HOG0005635	0	0	0	0	0	0
N0.HOG0005636	0	0	0	0	0	0
N0.HOG0005637	0	0	0	0	0	0
N0.HOG0005638	1	0	0	0	0	0
N0.HOG0005639	1	0	0	0	0	0
N0.HOG0005640	0	0	0	0	0	0
N0.HOG0005641	0	1	0	0	0	0
N0.HOG0005642	0	1	0	0	0	0
N0.HOG0005643	1	0	0	0	0	0
N0.HOG0005644	0	0	0	0	0	0
N0.HOG0005646	0	0	0	0	0	0
N0.HOG0005647	0	0	0	0	0	0
N0.HOG0005648	0	0	0	0	0	0
N0.HOG0005649	0	0	0	0	0	0
N0.HOG0005650	0	0	0	0	0	0
N0.HOG0005651	0	0	0	0	0	0
N0.HOG0005652	0	0	0	0	0	0
N0.HOG0005653	0	1	0	0	0	0
N0.HOG0005654	0	1	0	0	0	0
N0.HOG0005655	0	1	0	0	0	0
N0.HOG0005656	0	0	0	0	0	0
N0.HOG0005657	0	0	0	0	0	0
N0.HOG0005658	1	0	0	0	0	0
N0.HOG0005659	1	0	0	0	0	0
N0.HOG0005660	0	0	0	0	0	0
N0.HOG0005661	0	0	0	0	0	0
N0.HOG0005663	0	0	0	0	0	0
N0.HOG0005664	0	0	0	0	0	0
N0.HOG0005665	1	0	0	0	0	0
N0.HOG0005667	0	1	0	0	0	0
N0.HOG0005668	0	0	0	0	0	0
N0.HOG0005669	0	0	0	0	0	0
N0.HOG0005670	0	0	0	0	0	0
N0.HOG0005671	0	0	0	0	0	0
N0.HOG0005672	0	0	0	0	0	0
N0.HOG0005674	1	0	0	0	0	0
N0.HOG0005675	1	0	0	0	0	0
N0.HOG0005676	1	0	0	0	0	0
N0.HOG0005677	1	0	0	0	0	0
N0.HOG0005678	1	0	0	0	0	0
N0.HOG0005679	1	0	0	0	0	0
N0.HOG0005680	0	0	0	0	0	0
N0.HOG0005681	0	0	0	0	0	0
N0.HOG0005683	0	0	0	0	0	0
N0.HOG0005684	0	0	0	0	0	0
N0.HOG0005685	0	0	0	0	0	0
N0.HOG0005686	0	0	0	0	0	0
N0.HOG0005688	0	0	0	0	0	0
N0.HOG0005690	1	0	0	0	0	0
N0.HOG0005691	0	0	0	0	0	0
N0.HOG0005692	0	0	0	0	0	0
N0.HOG0005693	0	0	0	0	0	0
N0.HOG0005694	0	0	0	0	0	0
N0.HOG0005695	0	0	0	0	0	0
N0.HOG0005696	0	0	0	0	0	0
N0.HOG0005697	0	0	0	0	0	0
N0.HOG0005699	0	0	0	0	0	0
N0.HOG0005700	1	0	0	0	0	0
N0.HOG0005701	1	0	0	0	0	0
N0.HOG0005702	0	0	0	0	0	0
N0.HOG0005703	0	1	0	0	0	0
N0.HOG0005704	0	1	0	0	0	0
N0.HOG0005705	0	0	0	0	0	0
N0.HOG0005707	0	0	0	0	0	0
N0.HOG0005709	0	0	0	0	0	0
N0.HOG0005713	0	0	0	0	0	0
N0.HOG0005714	0	0	0	0	0	0
N0.HOG0005715	0	0	0	0	0	0
N0.HOG0005716	0	0	0	0	0	0
N0.HOG0005717	0	0	0	0	0	0
N0.HOG0005718	0	0	0	0	0	0
N0.HOG0005719	0	0	0	0	0	0
N0.HOG0005720	0	0	0	0	0	0
N0.HOG0005721	0	0	0	0	0	0
N0.HOG0005722	0	0	0	0	0	0
N0.HOG0005723	0	0	0	0	0	0
N0.HOG0005727	0	0	0	0	0	0
N0.HOG0005728	0	0	0	0	0	0
N0.HOG0005729	0	0	0	0	0	0
N0.HOG0005730	0	0	0	0	0	0
N0.HOG0005732	0	0	0	0	0	0
N0.HOG0005734	0	0	0	0	0	0
N0.HOG0005735	0	0	0	0	0	0
N0.HOG0005736	0	0	0	0	0	0
N0.HOG0005737	0	0	0	0	0	0
N0.HOG0005738	0	0	0	0	0	0
N0.HOG0005739	0	0	0	0	0	0
N0.HOG0005741	1	0	0	0	0	0
N0.HOG0005742	0	0	0	0	0	0
N0.HOG0005743	0	0	0	0	0	0
N0.HOG0005744	0	0	0	0	0	0
N0.HOG0005745	0	0	0	0	0	0
N0.HOG0005746	0	0	0	0	0	0
N0.HOG0005747	0	0	0	0	0	0
N0.HOG0005748	0	0	0	0	0	0
N0.HOG0005749	0	0	0	0	0	0
N0.HOG0005751	0	0	0	0	0	0
N0.HOG0005752	0	0	0	0	0	0
N0.HOG0005756	0	0	0	0	0	0
N0.HOG0005757	0	0	0	0	0	0
N0.HOG0005758	0	0	0	0	0	0
N0.HOG0005761	1	0	0	0	0	0
N0.HOG0005763	1	0	0	0	0	0
N0.HOG0005765	1	0	0	0	0	0
N0.HOG0005766	0	0	0	0	0	0
N0.HOG0005767	1	0	0	0	0	0
N0.HOG0005768	0	0	0	0	0	0
N0.HOG0005770	1	0	0	0	0	0
N0.HOG0005772	1	0	0	0	0	0
N0.HOG0005773	1	0	0	0	0	0
N0.HOG0005774	1	0	0	0	0	0
N0.HOG0005775	1	0	0	0	0	0
N0.HOG0005777	1	0	0	0	0	0
N0.HOG0005778	1	0	0	0	0	0
N0.HOG0005780	1	0	0	0	0	0
N0.HOG0005781	1	0	0	0	0	0
N0.HOG0005783	0	0	0	0	0	0
N0.HOG0005784	0	0	0	0	0	0
N0.HOG0005785	0	0	0	0	0	0
N0.HOG0005786	0	0	0	0	0	0
N0.HOG0005787	0	0	0	0	0	0
N0.HOG0005789	0	1	0	0	0	0
N0.HOG0005790	0	0	0	0	0	0
N0.HOG0005792	0	1	0	0	0	0
N0.HOG0005793	0	1	0	0	0	0
N0.HOG0005794	0	1	0	0	0	0
N0.HOG0005795	0	1	0	0	0	0
N0.HOG0005797	0	0	0	0	0	0
N0.HOG0005798	0	0	0	0	0	0
N0.HOG0005799	0	0	0	0	0	0
N0.HOG0005801	1	0	0	0	0	0
N0.HOG0005802	0	0	0	0	0	0
N0.HOG0005803	0	0	0	0	0	0
N0.HOG0005804	0	0	0	0	0	0
N0.HOG0005805	0	0	0	0	0	0
N0.HOG0005806	0	0	0	0	0	0
N0.HOG0005807	0	0	0	0	0	0
N0.HOG0005808	0	0	0	0	0	0
N0.HOG0005809	0	0	0	0	0	0
N0.HOG0005810	1	0	0	0	0	0
N0.HOG0005811	0	0	0	0	0	0
N0.HOG0005812	1	0	0	0	0	0
N0.HOG0005813	0	0	0	0	0	0
N0.HOG0005814	0	0	0	0	0	0
N0.HOG0005815	0	0	0	0	0	0
N0.HOG0005816	0	0	0	0	0	0
N0.HOG0005817	0	0	0	0	0	0
N0.HOG0005818	0	0	0	0	0	0
N0.HOG0005819	1	0	0	0	0	0
N0.HOG0005820	0	0	0	0	0	0
N0.HOG0005824	0	0	0	0	0	0
N0.HOG0005825	0	0	0	0	0	0
N0.HOG0005826	0	0	0	0	0	0
N0.HOG0005827	0	0	0	0	0	0
N0.HOG0005828	0	0	0	0	0	0
N0.HOG0005829	0	0	0	0	0	0
N0.HOG0005830	0	0	0	0	0	0
N0.HOG0005832	0	1	0	0	0	0
N0.HOG0005834	0	0	0	0	0	0
N0.HOG0005835	0	0	0	0	0	0
N0.HOG0005836	0	0	0	0	0	0
N0.HOG0005837	0	0	0	0	0	0
N0.HOG0005838	1	0	0	0	0	0
N0.HOG0005839	1	0	0	0	0	0
N0.HOG0005840	1	0	0	0	0	0
N0.HOG0005841	1	0	0	0	0	0
N0.HOG0005842	0	0	0	0	0	0
N0.HOG0005843	0	0	0	0	0	0
N0.HOG0005846	0	0	0	0	0	0
N0.HOG0005847	0	1	0	0	0	0
N0.HOG0005848	0	0	0	0	0	0
N0.HOG0005849	0	0	0	0	0	0
N0.HOG0005850	0	0	0	0	0	0
N0.HOG0005851	0	0	0	0	0	0
N0.HOG0005852	0	0	0	0	0	0
N0.HOG0005853	0	0	0	0	0	0
N0.HOG0005854	1	0	0	0	0	0
N0.HOG0005855	1	0	0	0	0	0
N0.HOG0005857	1	0	0	0	0	0
N0.HOG0005858	1	0	0	0	0	0
N0.HOG0005859	1	0	0	0	0	0
N0.HOG0005860	0	0	0	0	0	0
N0.HOG0005861	0	0	0	0	0	0
N0.HOG0005862	0	1	0	0	0	0
N0.HOG0005863	0	0	0	0	0	0
N0.HOG0005865	0	0	0	0	0	0
N0.HOG0005866	0	0	0	0	0	0
N0.HOG0005867	0	0	0	0	0	0
N0.HOG0005868	0	0	0	0	0	0
N0.HOG0005869	0	0	0	0	0	0
N0.HOG0005870	1	0	0	0	0	0
N0.HOG0005871	0	0	0	0	0	0
N0.HOG0005873	1	0	0	0	0	0
N0.HOG0005875	1	0	0	0	0	0
N0.HOG0005876	1	0	0	0	0	0
N0.HOG0005877	0	0	0	0	0	0
N0.HOG0005878	0	0	0	0	0	0
N0.HOG0005882	1	0	0	0	0	0
N0.HOG0005884	0	0	0	0	0	0
N0.HOG0005885	0	0	0	0	0	0
N0.HOG0005886	0	0	0	0	0	0
N0.HOG0005887	0	0	0	0	0	0
N0.HOG0005889	0	0	0	0	0	0
N0.HOG0005890	0	0	0	0	0	0
N0.HOG0005891	0	0	0	0	0	0
N0.HOG0005892	0	0	0	0	0	0
N0.HOG0005893	0	0	0	0	0	0
N0.HOG0005894	1	0	0	0	0	0
N0.HOG0005895	1	0	0	0	0	0
N0.HOG0005896	0	0	0	0	0	0
N0.HOG0005897	0	0	0	0	0	0
N0.HOG0005898	0	1	0	0	0	0
N0.HOG0005899	0	0	0	0	0	0
N0.HOG0005900	0	1	0	0	0	0
N0.HOG0005901	0	0	0	0	0	0
N0.HOG0005902	0	0	0	0	0	0
N0.HOG0005904	0	0	0	0	0	0
N0.HOG0005906	0	0	0	0	0	0
N0.HOG0005907	0	1	0	1	1	1
N0.HOG0005908	0	0	0	0	0	0
N0.HOG0005909	0	0	0	0	0	0
N0.HOG0005910	0	0	0	0	0	0
N0.HOG0005911	1	0	0	0	0	0
N0.HOG0005912	1	0	0	0	0	0
N0.HOG0005913	0	0	0	0	0	0
N0.HOG0005915	1	0	0	0	0	0
N0.HOG0005920	0	0	0	0	0	0
N0.HOG0005921	0	0	0	0	0	0
N0.HOG0005922	0	0	0	0	0	0
N0.HOG0005923	0	0	0	0	0	0
N0.HOG0005924	0	0	0	0	0	0
N0.HOG0005925	0	0	0	0	0	0
N0.HOG0005926	0	0	0	0	0	0
N0.HOG0005927	0	0	0	0	0	0
N0.HOG0005928	0	0	0	0	0	0
N0.HOG0005929	1	0	0	0	0	0
N0.HOG0005930	0	0	0	0	0	0
N0.HOG0005931	1	0	0	0	0	0
N0.HOG0005932	0	0	0	0	0	0
N0.HOG0005933	0	0	0	0	0	0
N0.HOG0005935	0	0	0	0	0	0
N0.HOG0005936	0	0	0	0	0	0
N0.HOG0005937	1	0	0	0	0	0
N0.HOG0005938	0	0	0	0	0	0
N0.HOG0005939	0	0	0	0	0	0
N0.HOG0005940	0	0	0	0	0	0
N0.HOG0005941	0	0	0	0	0	0
N0.HOG0005942	0	0	0	0	0	0
N0.HOG0005943	0	0	0	0	0	0
N0.HOG0005944	0	0	0	0	0	0
N0.HOG0005945	0	0	0	0	0	0
N0.HOG0005946	0	0	0	0	0	0
N0.HOG0005947	0	0	0	0	0	0
N0.HOG0005948	0	0	0	0	0	0
N0.HOG0005950	0	0	0	0	0	0
N0.HOG0005951	0	0	0	0	0	0
N0.HOG0005953	0	0	0	0	0	0
N0.HOG0005954	0	0	0	0	0	0
N0.HOG0005955	0	0	0	0	0	0
N0.HOG0005956	0	0	0	0	0	0
N0.HOG0005957	0	0	0	0	0	0
N0.HOG0005958	0	0	0	0	0	0
N0.HOG0005959	0	0	0	0	0	0
N0.HOG0005960	0	0	0	0	0	0
N0.HOG0005961	0	0	0	0	0	0
N0.HOG0005962	0	0	0	0	0	0
N0.HOG0005963	0	0	0	0	0	0
N0.HOG0005964	0	1	0	0	0	0
N0.HOG0005966	0	0	0	0	0	0
N0.HOG0005967	0	0	0	0	0	0
N0.HOG0005968	0	0	0	0	0	0
N0.HOG0005969	0	0	0	0	0	0
N0.HOG0005970	0	0	0	0	0	0
N0.HOG0005971	0	0	0	0	0	0
N0.HOG0005972	0	0	0	0	0	0
N0.HOG0005973	0	0	0	0	0	0
N0.HOG0005974	0	0	0	0	0	0
N0.HOG0005976	1	0	0	0	0	0
N0.HOG0005978	0	0	0	0	0	0
N0.HOG0005980	0	0	0	0	0	0
N0.HOG0005986	0	1	1	1	1	0
N0.HOG0005987	0	1	1	1	1	1
N0.HOG0005988	0	1	1	1	1	1
N0.HOG0005989	0	1	1	1	1	1
N0.HOG0005991	0	1	1	1	1	1
N0.HOG0005992	0	1	1	1	1	1
N0.HOG0005994	0	0	1	1	0	0
N0.HOG0005995	0	1	1	1	1	1
N0.HOG0005996	0	1	1	1	1	1
N0.HOG0005997	0	1	1	1	1	1
N0.HOG0005998	0	1	1	1	1	1
N0.HOG0005999	0	1	1	1	1	1
N0.HOG0006000	0	1	1	1	1	1
N0.HOG0006002	0	1	1	1	1	1
N0.HOG0006003	0	1	1	1	1	1
N0.HOG0006004	0	1	1	1	1	1
N0.HOG0006005	0	1	1	1	1	1
N0.HOG0006006	0	1	1	1	1	1
N0.HOG0006007	0	1	1	1	1	0
N0.HOG0006008	0	0	1	1	1	1
N0.HOG0006009	0	1	1	1	1	1
N0.HOG0006010	0	1	1	1	1	1
N0.HOG0006011	0	1	1	1	1	1
N0.HOG0006012	0	1	1	1	1	0
N0.HOG0006013	0	1	1	1	1	0
N0.HOG0006014	0	1	1	1	1	1
N0.HOG0006015	0	1	1	1	1	1
N0.HOG0006016	0	1	1	1	1	1
N0.HOG0006017	0	1	1	1	1	1
N0.HOG0006018	0	1	1	1	1	1
N0.HOG0006019	0	1	1	1	1	1
N0.HOG0006020	0	1	1	1	1	1
N0.HOG0006021	0	1	1	1	1	1
N0.HOG0006022	0	1	1	1	1	1
N0.HOG0006023	0	1	1	1	1	1
N0.HOG0006024	0	1	1	1	1	0
N0.HOG0006025	0	1	1	1	1	1
N0.HOG0006027	0	1	1	1	1	1
N0.HOG0006028	0	1	1	1	1	1
N0.HOG0006029	0	1	1	1	1	1
N0.HOG0006030	0	1	1	1	1	1
N0.HOG0006031	0	1	1	1	1	1
N0.HOG0006032	0	1	1	1	1	1
N0.HOG0006033	0	1	1	1	1	1
N0.HOG0006034	0	1	1	1	1	1
N0.HOG0006035	1	0	1	1	1	1
N0.HOG0006036	0	1	1	1	1	1
N0.HOG0006037	0	1	1	1	1	1
N0.HOG0006038	0	1	1	1	1	1
N0.HOG0006039	0	1	1	1	1	1
N0.HOG0006040	0	1	1	1	1	1
N0.HOG0006041	0	1	1	1	1	1
N0.HOG0006042	0	1	1	1	1	1
N0.HOG0006043	0	1	1	1	1	1
N0.HOG0006044	0	1	1	1	1	1
N0.HOG0006045	0	1	1	1	1	1
N0.HOG0006046	0	1	1	1	1	1
N0.HOG0006047	0	1	1	1	1	1
N0.HOG0006048	0	1	1	1	1	1
N0.HOG0006049	0	1	1	1	1	1
N0.HOG0006050	0	1	1	1	1	1
N0.HOG0006051	0	1	1	1	1	1
N0.HOG0006052	1	0	1	1	1	1
N0.HOG0006053	0	1	1	1	1	1
N0.HOG0006054	0	1	1	1	1	1
N0.HOG0006055	0	1	1	1	1	1
N0.HOG0006056	0	1	1	1	1	1
N0.HOG0006058	0	0	1	1	1	1
N0.HOG0006059	0	1	1	1	1	1
N0.HOG0006060	0	1	1	1	1	1
N0.HOG0006061	0	1	1	1	1	1
N0.HOG0006062	0	1	1	1	1	1
N0.HOG0006063	0	1	1	1	1	1
N0.HOG0006064	0	1	1	1	1	1
N0.HOG0006065	0	1	1	1	1	1
N0.HOG0006066	0	1	1	1	1	1
N0.HOG0006067	0	1	1	1	1	1
N0.HOG0006068	0	0	1	1	1	1
N0.HOG0006069	0	1	1	1	1	0
N0.HOG0006070	0	1	1	1	1	1
N0.HOG0006071	0	1	1	1	1	1
N0.HOG0006072	0	1	1	1	1	1
N0.HOG0006073	0	1	1	1	1	1
N0.HOG0006074	0	1	1	1	1	1
N0.HOG0006075	0	1	1	1	1	1
N0.HOG0006076	0	1	1	1	1	1
N0.HOG0006077	0	1	1	1	1	1
N0.HOG0006078	0	1	1	1	1	1
N0.HOG0006079	0	1	1	1	1	1
N0.HOG0006080	0	1	1	1	1	1
N0.HOG0006081	0	0	1	1	1	1
N0.HOG0006082	0	1	1	1	1	1
N0.HOG0006083	0	1	1	1	1	1
N0.HOG0006084	0	1	1	1	1	1
N0.HOG0006085	0	0	1	1	1	1
N0.HOG0006086	0	1	1	1	1	1
N0.HOG0006087	0	1	1	1	1	1
N0.HOG0006088	0	1	1	1	1	1
N0.HOG0006089	0	1	1	1	1	1
N0.HOG0006090	0	1	1	1	1	1
N0.HOG0006091	0	1	1	1	1	1
N0.HOG0006092	0	1	1	1	1	1
N0.HOG0006093	0	1	1	1	1	1
N0.HOG0006094	0	1	1	1	1	1
N0.HOG0006095	0	1	1	1	1	1
N0.HOG0006096	0	1	1	1	1	1
N0.HOG0006097	0	1	1	1	1	1
N0.HOG0006098	0	1	1	1	1	1
N0.HOG0006099	0	1	1	1	1	1
N0.HOG0006100	0	1	1	1	1	1
N0.HOG0006101	0	1	1	1	1	1
N0.HOG0006102	0	1	1	1	1	1
N0.HOG0006103	0	0	1	1	1	1
N0.HOG0006104	0	1	1	1	1	1
N0.HOG0006105	0	1	1	1	1	0
N0.HOG0006106	0	1	1	1	1	1
N0.HOG0006108	0	1	1	1	1	1
N0.HOG0006109	0	1	1	1	1	0
N0.HOG0006110	0	1	1	1	1	0
N0.HOG0006111	0	1	1	1	1	0
N0.HOG0006112	0	1	1	1	1	1
N0.HOG0006113	0	1	1	1	1	1
N0.HOG0006114	0	1	1	1	1	1
N0.HOG0006115	0	1	1	1	1	1
N0.HOG0006116	0	1	1	1	1	1
N0.HOG0006117	0	1	1	1	1	1
N0.HOG0006118	0	1	1	1	1	1
N0.HOG0006119	0	1	1	1	1	1
