g6.t1_1	rna-XM_044901007.1_1
g177.t1_1	rna-XM_044892551.1_1
g182.t2_1	rna-XM_044896163.1_1
g183.t1_1	rna-XM_044895686.1_1
g184.t1_1	rna-XM_044894707.1_1
g185.t1_1	rna-XM_044894803.1_1
g186.t1_1	rna-XM_044894796.1_1
g187.t1_1	rna-XM_044896414.1_1
g193.t1_1	rna-XM_044903681.1_1
g197.t1_1	rna-XM_044903226.1_1
g199.t1_1	rna-XM_044903228.1_1
g200.t1_1	rna-XM_044903701.1_1
g201.t1_1	rna-XM_044903705.1_1
g203.t1_1	rna-XM_044902972.1_1
g204.t1_1	rna-XM_044903044.1_1
g205.t1_1	rna-XM_044903883.1_1
g208.t1_1	rna-XM_044903867.1_1
g211.t2_1	rna-XM_044903393.1_1
g212.t3_1	rna-XM_044903406.1_1
g213.t1_1	rna-XM_044903404.1_1
g214.t1_1	rna-XM_044902187.1_1
g215.t2_1	rna-XM_044902188.1_1
g216.t1_1	rna-XM_044902446.1_1
g217.t1_1	rna-XM_044906744.1_1
g221.t1_1	rna-XM_044896850.1_1
g222.t1_1	rna-XM_044895871.1_1
g224.t1_1	rna-XM_044894272.1_1
g225.t1_1	rna-XM_044894274.1_1
g226.t1_1	rna-XM_044896772.1_1
g227.t1_1	rna-XM_044897080.1_1
g228.t1_1	rna-XM_044894763.1_1
g229.t1_1	rna-XM_044895217.1_1
g230.t1_1	rna-XM_044895219.1_1
g231.t1_1	rna-XM_044897081.1_1
g232.t1_1	rna-XM_044896321.1_1
g233.t1_1	rna-XM_044895106.1_1
g236.t1_1	rna-XM_044903336.1_1
g237.t1_1	rna-XM_044904783.1_1
g239.t1_1	rna-XM_044903977.1_1
g240.t1_1	rna-XM_044903980.1_1
g241.t1_1	rna-XM_044902928.1_1
g248.t3_1	rna-XM_044897413.1_1
g249.t1_1	rna-XM_044904619.1_1
g250.t1_1	rna-XM_044904685.1_1
g252.t1_1	rna-XM_044902997.1_1
g254.t1_1	rna-XM_044892009.1_1
g255.t1_1	rna-XM_044903413.1_1
g258.t1_1	rna-XM_044902264.1_1
g259.t1_1	rna-XM_044904090.1_1
g260.t1_1	rna-XM_044902872.1_1
g261.t1_1	rna-XM_044903887.1_1
g263.t1_1	rna-XM_044901506.1_1
g264.t1_1	rna-XM_044902148.1_1
g265.t1_1	rna-XM_044907269.1_1
g268.t1_1	rna-XM_044894227.1_1
g269.t1_1	rna-XM_044897689.1_1
g270.t1_1	rna-XM_044904793.1_1
g273.t1_1	rna-XM_044901010.1_1
g275.t1_1	rna-XM_044891528.1_1
g276.t1_1	rna-XM_044908147.1_1
g277.t1_1	rna-XM_044908146.1_1
g278.t2_1	rna-XM_044908193.1_1
g279.t1_1	rna-XM_044907026.1_1
g280.t1_1	rna-XM_044908258.1_1
g281.t1_1	rna-XM_044908252.1_1
g282.t1_1	rna-XM_044907701.1_1
g283.t2_1	rna-XM_044907987.1_1
g285.t2_1	rna-XM_044897883.1_1
g286.t1_1	rna-XM_044906756.1_1
g287.t1_1	rna-XM_044905411.1_1
g288.t1_1	rna-XM_044905357.1_1
g289.t1_1	rna-XM_044906155.1_1
g291.t2_1	rna-XM_044902959.1_1
g298.t1_1	rna-XM_044892468.1_1
g299.t1_1	rna-XM_044893590.1_1
g300.t1_1	rna-XM_044907354.1_1
g301.t1_1	rna-XM_044908200.1_1
g302.t1_1	rna-XM_044907803.1_1
g303.t1_1	rna-XM_044908319.1_1
g304.t1_1	rna-XM_044906789.1_1
g305.t1_1	rna-XM_044907238.1_1
g309.t1_1	rna-XM_044908228.1_1
g310.t3_1	rna-XM_044907304.1_1
g311.t1_1	rna-XM_044907314.1_1
g312.t1_1	rna-XM_044908003.1_1
g313.t1_1	rna-XM_044906949.1_1
g314.t1_1	rna-XM_044907356.1_1
g315.t1_1	rna-XM_044902341.1_1
g316.t1_1	rna-XM_044902344.1_1
g317.t3_1	rna-XM_044903581.1_1
g318.t1_1	rna-XM_044895267.1_1
g319.t2_1	rna-XM_044903579.1_1
g320.t1_1	rna-XM_044902871.1_1
g321.t1_1	rna-XM_044903697.1_1
g323.t1_1	rna-XM_044903985.1_1
g324.t1_1	rna-XM_044903610.1_1
g325.t1_1	rna-XM_044903578.1_1
g329.t1_1	rna-XM_044895870.1_1
g330.t1_1	rna-XM_044903495.1_1
g332.t1_1	rna-XM_044903491.1_1
g335.t1_1	rna-XM_044903823.1_1
g336.t1_1	rna-XM_044904066.1_1
g337.t2_1	rna-XM_044902550.1_1
g339.t1_1	rna-XM_044903475.1_1
g341.t1_1	rna-XM_044904675.1_1
g342.t1_1	rna-XM_044904581.1_1
g343.t1_1	rna-XM_044906523.1_1
g344.t3_1	rna-XM_044902932.1_1
g345.t1_1	rna-XM_044902943.1_1
g349.t1_1	rna-XM_044903183.1_1
g350.t1_1	rna-XM_044901996.1_1
g352.t1_1	rna-XM_044903082.1_1
g355.t1_1	rna-XM_044906280.1_1
g358.t1_1	rna-XM_044909150.1_1
g359.t1_1	rna-XM_044904702.1_1
g360.t2_1	rna-XM_044904697.1_1
g361.t1_1	rna-XM_044902979.1_1
g362.t1_1	rna-XM_044903150.1_1
g363.t1_1	rna-XM_044905491.1_1
g364.t1_1	rna-XM_044904079.1_1
g365.t2_1	rna-XM_044903727.1_1
g368.t1_1	rna-XM_044908672.1_1
g369.t1_1	rna-XM_044907677.1_1
g371.t3_1	rna-XM_044907834.1_1
g373.t1_1	rna-XM_044907837.1_1
g374.t1_1	rna-XM_044908297.1_1
g375.t1_1	rna-XM_044897271.1_1
g376.t1_1	rna-XM_044908302.1_1
g377.t2_1	rna-XM_044907159.1_1
g378.t1_1	rna-XM_044907956.1_1
g381.t1_1	rna-XM_044903384.1_1
g382.t1_1	rna-XM_044896698.1_1
g385.t1_1	rna-XM_044889391.1_1
g394.t1_1	rna-XM_044897115.1_1
g395.t1_1	rna-XM_044894633.1_1
g399.t1_1	rna-XM_044907316.1_1
g402.t1_1	rna-XM_044894944.1_1
g403.t1_1	rna-XM_044896697.1_1
g404.t1_1	rna-XM_044892488.1_1
g405.t1_1	rna-XM_044892312.1_1
g406.t1_1	rna-XM_044895954.1_1
g407.t1_1	rna-XM_044895951.1_1
g408.t1_1	rna-XM_044891347.1_1
g409.t2_1	rna-XM_044896614.1_1
g411.t1_1	rna-XM_044891476.1_1
g413.t1_1	rna-XM_044894379.1_1
g415.t1_1	rna-XM_044894574.1_1
g421.t1_1	rna-XM_044895221.1_1
g422.t1_1	rna-XM_044895224.1_1
g425.t1_1	rna-XM_044895714.1_1
g426.t1_1	rna-XM_044894196.1_1
g427.t4_1	rna-XM_044894192.1_1
g428.t1_1	rna-XM_044894200.1_1
g431.t1_1	rna-XM_044896873.1_1
g432.t1_1	rna-XM_044898081.1_1
g433.t1_1	rna-XM_044897933.1_1
g434.t1_1	rna-XM_044897932.1_1
g435.t1_1	rna-XM_044898461.1_1
g436.t1_1	rna-XM_044898299.1_1
g437.t1_1	rna-XM_044898291.1_1
g438.t1_1	rna-XM_044897544.1_1
g439.t2_1	rna-XM_044898596.1_1
g441.t1_1	rna-XM_044899784.1_1
g442.t1_1	rna-XM_044898328.1_1
g447.t1_1	rna-XM_044905243.1_1
g449.t1_1	rna-XM_044892392.1_1
g450.t2_1	rna-XM_044891861.1_1
g451.t3_1	rna-XM_044897286.1_1
g452.t1_1	rna-XM_044897222.1_1
g453.t1_1	rna-XM_044897226.1_1
g454.t1_1	rna-XM_044893925.1_1
g455.t1_1	rna-XM_044893929.1_1
g456.t1_1	rna-XM_044893159.1_1
g458.t1_1	rna-XM_044898113.1_1
g459.t1_1	rna-XM_044899867.1_1
g460.t1_1	rna-XM_044905344.1_1
g461.t6_1	rna-XM_044897712.1_1
g463.t1_1	rna-XM_044898372.1_1
g464.t1_1	rna-XM_044899517.1_1
g465.t1_1	rna-XM_044892943.1_1
g466.t1_1	rna-XM_044892554.1_1
g467.t1_1	rna-XM_044897037.1_1
g468.t1_1	rna-XM_044896712.1_1
g469.t1_1	rna-XM_044896349.1_1
g470.t1_1	rna-XM_044894634.1_1
g471.t1_1	rna-XM_044896412.1_1
g472.t1_1	rna-XM_044898423.1_1
g473.t1_1	rna-XM_044898425.1_1
g474.t1_1	rna-XM_044898938.1_1
g475.t2_1	rna-XM_044898944.1_1
g476.t1_1	rna-XM_044893263.1_1
g477.t1_1	rna-XM_044892089.1_1
g480.t2_1	rna-XM_044891830.1_1
g481.t1_1	rna-XM_044892889.1_1
g482.t1_1	rna-XM_044892321.1_1
g484.t1_1	rna-XM_044892780.1_1
g487.t1_1	rna-XM_044897805.1_1
g489.t2_1	rna-XM_044893709.1_1
g490.t1_1	rna-XM_044895962.1_1
g493.t1_1	rna-XM_044901501.1_1
g494.t2_1	rna-XM_044901502.1_1
g495.t1_1	rna-XM_044905330.1_1
g496.t1_1	rna-XM_044907486.1_1
g497.t2_1	rna-XM_044907891.1_1
g498.t1_1	rna-XM_044907223.1_1
g500.t1_1	rna-XM_044906921.1_1
g501.t1_1	rna-XM_044908295.1_1
g502.t1_1	rna-XM_044908293.1_1
g503.t1_1	rna-XM_044908136.1_1
g504.t1_1	rna-XM_044908249.1_1
g505.t1_1	rna-XM_044906104.1_1
g508.t1_1	rna-XM_044905990.1_1
g509.t1_1	rna-XM_044905315.1_1
g510.t2_1	rna-XM_044905484.1_1
g511.t1_1	rna-XM_044906261.1_1
g512.t1_1	rna-XM_044896566.1_1
g513.t1_1	rna-XM_044893175.1_1
g514.t1_1	rna-XM_044895983.1_1
g515.t1_1	rna-XM_044909746.1_1
g519.t1_1	rna-XM_044892044.1_1
g520.t1_1	rna-XM_044898644.1_1
g521.t1_1	rna-XM_044897268.1_1
g525.t1_1	rna-XM_044897808.1_1
g529.t1_1	rna-XM_044900571.1_1
g530.t1_1	rna-XM_044898844.1_1
g531.t1_1	rna-XM_044901150.1_1
g532.t1_1	rna-XM_044897578.1_1
g533.t1_1	rna-XM_044898158.1_1
g534.t1_1	rna-XM_044898324.1_1
g535.t1_1	rna-XM_044892294.1_1
g537.t1_1	rna-XM_044898159.1_1
g539.t3_1	rna-XM_044899974.1_1
g540.t1_1	rna-XM_044910028.1_1
g542.t2_1	rna-XM_044897561.1_1
g544.t2_1	rna-XM_044897699.1_1
g545.t1_1	rna-XM_044889553.1_1
g546.t1_1	rna-XM_044894312.1_1
g548.t2_1	rna-XM_044894179.1_1
g549.t1_1	rna-XM_044901974.1_1
g550.t2_1	rna-XM_044890180.1_1
g551.t1_1	rna-XM_044888619.1_1
g552.t1_1	rna-XM_044890561.1_1
g553.t2_1	rna-XM_044904692.1_1
g554.t1_1	rna-XM_044892623.1_1
g555.t1_1	rna-XM_044896063.1_1
g556.t1_1	rna-XM_044897083.1_1
g559.t1_1	rna-XM_044908728.1_1
g562.t1_1	rna-XM_044895824.1_1
g571.t1_1	rna-XM_044893357.1_1
g572.t1_1	rna-XM_044901633.1_1
g573.t1_1	rna-XM_044908478.1_1
g576.t1_1	rna-XM_044889414.1_1
g578.t1_1	rna-XM_044894797.1_1
g583.t1_1	rna-XM_044899753.1_1
g587.t1_1	rna-XM_044900854.1_1
g588.t1_1	rna-XM_044907465.1_1
g590.t1_1	rna-XM_044894986.1_1
g591.t1_1	rna-XM_044896331.1_1
g592.t2_1	rna-XM_044891893.1_1
g593.t1_1	rna-XM_044898828.1_1
g594.t2_1	rna-XM_044896962.1_1
g595.t1_1	rna-XM_044895345.1_1
g596.t1_1	rna-XM_044888610.1_1
g598.t1_1	rna-XM_044893656.1_1
g601.t1_1	rna-XM_044890494.1_1
g602.t2_1	rna-XM_044894002.1_1
g607.t1_1	rna-XM_044895859.1_1
g608.t1_1	rna-XM_044910710.1_1
g612.t1_1	rna-XM_044889291.1_1
g613.t1_1	rna-XM_044893442.1_1
g614.t1_1	rna-XM_044890331.1_1
g617.t1_1	rna-XM_044897329.1_1
g618.t1_1	rna-XM_044909434.1_1
g619.t1_1	rna-XM_044901057.1_1
g620.t1_1	rna-XM_044910818.1_1
g621.t1_1	rna-XM_044899524.1_1
g622.t1_1	rna-XM_044905304.1_1
g623.t1_1	rna-XM_044900644.1_1
g625.t2_1	rna-XM_044898755.1_1
g626.t2_1	rna-XM_044900026.1_1
g628.t1_1	rna-XM_044892428.1_1
g629.t1_1	rna-XM_044900046.1_1
g630.t1_1	rna-XM_044904248.1_1
g631.t1_1	rna-XM_044892601.1_1
g636.t1_1	rna-XM_044900248.1_1
g637.t1_1	rna-XM_044891770.1_1
g638.t1_1	rna-XM_044895177.1_1
g643.t2_1	rna-XM_044898732.1_1
g644.t2_1	rna-XM_044909396.1_1
g645.t1_1	rna-XM_044895660.1_1
g646.t2_1	rna-XM_044900691.1_1
g648.t1_1	rna-XM_044900021.1_1
g649.t2_1	rna-XM_044907053.1_1
g651.t2_1	rna-XM_044908085.1_1
g652.t1_1	rna-XM_044908115.1_1
g653.t1_1	rna-XM_044907361.1_1
g654.t1_1	rna-XM_044902129.1_1
g655.t1_1	rna-XM_044905316.1_1
g656.t1_1	rna-XM_044908338.1_1
g657.t1_1	rna-XM_044906696.1_1
g658.t1_1	rna-XM_044905439.1_1
g659.t1_1	rna-XM_044911053.1_1
g660.t1_1	rna-XM_044910820.1_1
g661.t2_1	rna-XM_044911021.1_1
g662.t1_1	rna-XM_044905332.1_1
g663.t2_1	rna-XM_044891971.1_1
g664.t1_1	rna-XM_044892209.1_1
g665.t1_1	rna-XM_044892918.1_1
g666.t1_1	rna-XM_044888678.1_1
g667.t1_1	rna-XM_044890351.1_1
g668.t1_1	rna-XM_044902957.1_1
g669.t1_1	rna-XM_044902707.1_1
g670.t1_1	rna-XM_044905521.1_1
g672.t1_1	rna-XM_044905523.1_1
g673.t1_1	rna-XM_044900748.1_1
g674.t1_1	rna-XM_044900242.1_1
g675.t1_1	rna-XM_044900250.1_1
g676.t1_1	rna-XM_044903926.1_1
g677.t1_1	rna-XM_044903919.1_1
g678.t2_1	rna-XM_044902205.1_1
g679.t1_1	rna-XM_044903595.1_1
g680.t1_1	rna-XM_044907183.1_1
g681.t1_1	rna-XM_044889870.1_1
g682.t1_1	rna-XM_044894658.1_1
g683.t1_1	rna-XM_044891335.1_1
g684.t1_1	rna-XM_044891341.1_1
g685.t1_1	rna-XM_044890003.1_1
g686.t1_1	rna-XM_044889865.1_1
g687.t1_1	rna-XM_044889866.1_1
g688.t1_1	rna-XM_044892319.1_1
g689.t1_1	rna-XM_044908507.1_1
g692.t1_1	rna-XM_044888811.1_1
g695.t1_1	rna-XM_044889150.1_1
g697.t1_1	rna-XM_044898511.1_1
g700.t1_1	rna-XM_044908497.1_1
g701.t1_1	rna-XM_044895319.1_1
g704.t2_1	rna-XM_044909674.1_1
g705.t2_1	rna-XM_044908482.1_1
g706.t2_1	rna-XM_044908475.1_1
g707.t1_1	rna-XM_044894224.1_1
g708.t1_1	rna-XM_044894251.1_1
g710.t1_1	rna-XM_044892317.1_1
g711.t1_1	rna-XM_044906257.1_1
g712.t1_1	rna-XM_044893704.1_1
g715.t1_1	rna-XM_044900526.1_1
g716.t1_1	rna-XM_044900184.1_1
g717.t2_1	rna-XM_044906254.1_1
g718.t1_1	rna-XM_044905619.1_1
g719.t1_1	rna-XM_044905623.1_1
g721.t1_1	rna-XM_044905628.1_1
g722.t1_1	rna-XM_044905620.1_1
g723.t1_1	rna-XM_044901265.1_1
g724.t1_1	rna-XM_044906213.1_1
g725.t2_1	rna-XM_044901305.1_1
g726.t1_1	rna-XM_044894680.1_1
g727.t1_1	rna-XM_044902726.1_1
g730.t1_1	rna-XM_044902603.1_1
g734.t1_1	rna-XM_044907737.1_1
g737.t1_1	rna-XM_044910504.1_1
g738.t1_1	rna-XM_044906593.1_1
g741.t1_1	rna-XM_044909551.1_1
g742.t2_1	rna-XM_044900667.1_1
g743.t1_1	rna-XM_044902535.1_1
g745.t1_1	rna-XM_044895057.1_1
g747.t1_1	rna-XM_044903984.1_1
g748.t1_1	rna-XM_044905633.1_1
g749.t2_1	rna-XM_044895337.1_1
g750.t1_1	rna-XM_044895359.1_1
g753.t1_1	rna-XM_044893396.1_1
g755.t1_1	rna-XM_044901734.1_1
g757.t1_1	rna-XM_044898524.1_1
g760.t1_1	rna-XM_044899798.1_1
g761.t1_1	rna-XM_044897834.1_1
g763.t2_1	rna-XM_044898591.1_1
g764.t1_1	rna-XM_044910842.1_1
g765.t1_1	rna-XM_044890175.1_1
g766.t2_1	rna-XM_044890191.1_1
g767.t2_1	rna-XM_044896064.1_1
g768.t1_1	rna-XM_044906101.1_1
g769.t1_1	rna-XM_044896797.1_1
g770.t1_1	rna-XM_044901973.1_1
g771.t1_1	rna-XM_044900393.1_1
g773.t1_1	rna-XM_044901842.1_1
g776.t1_1	rna-XM_044898064.1_1
g780.t1_1	rna-XM_044890946.1_1
g782.t2_1	rna-XM_044901574.1_1
g797.t1_1	rna-XM_044907438.1_1
g798.t1_1	rna-XM_044907582.1_1
g799.t1_1	rna-XM_044907938.1_1
g800.t1_1	rna-XM_044906812.1_1
g802.t1_1	rna-XM_044906647.1_1
g804.t1_1	rna-XM_044910653.1_1
g805.t1_1	rna-XM_044891092.1_1
g807.t1_1	rna-XM_044890752.1_1
g817.t1_1	rna-XM_044908036.1_1
g816.t1_1	rna-XM_044904829.1_1
g818.t1_1	rna-XM_044900783.1_1
g820.t1_1	rna-XM_044907172.1_1
g821.t1_1	rna-XM_044900352.1_1
g822.t1_1	rna-XM_044907034.1_1
g823.t1_1	rna-XM_044907350.1_1
g827.t1_1	rna-XM_044906817.1_1
g829.t1_1	rna-XM_044908909.1_1
g830.t1_1	rna-XM_044906932.1_1
g831.t2_1	rna-XM_044907548.1_1
g842.t1_1	rna-XM_044906654.1_1
g843.t1_1	rna-XM_044891079.1_1
g845.t1_1	rna-XM_044910372.1_1
g847.t1_1	rna-XM_044904719.1_1
g849.t1_1	rna-XM_044892700.1_1
g850.t2_1	rna-XM_044910560.1_1
g851.t1_1	rna-XM_044898937.1_1
g857.t2_1	rna-XM_044911146.1_1
g858.t1_1	rna-XM_044910532.1_1
g859.t1_1	rna-XM_044907930.1_1
g860.t1_1	rna-XM_044896396.1_1
g861.t1_1	rna-XM_044896273.1_1
g864.t2_1	rna-XM_044896283.1_1
g865.t1_1	rna-XM_044896267.1_1
g867.t1_1	rna-XM_044896631.1_1
g868.t1_1	rna-XM_044896627.1_1
g869.t2_1	rna-XM_044895854.1_1
g870.t1_1	rna-XM_044894461.1_1
g872.t1_1	rna-XM_044899814.1_1
g873.t1_1	rna-XM_044895975.1_1
g875.t1_1	rna-XM_044893545.1_1
g876.t2_1	rna-XM_044893245.1_1
g877.t2_1	rna-XM_044893555.1_1
g880.t1_1	rna-XM_044898130.1_1
g883.t1_1	rna-XM_044895826.1_1
g884.t1_1	rna-XM_044903132.1_1
g885.t1_1	rna-XM_044903649.1_1
g886.t1_1	rna-XM_044888190.1_1
g888.t1_1	rna-XM_044900618.1_1
g891.t2_1	rna-XM_044894690.1_1
g892.t1_1	rna-XM_044894229.1_1
g893.t1_1	rna-XM_044894879.1_1
g894.t1_1	rna-XM_044896861.1_1
g895.t1_1	rna-XM_044895054.1_1
g896.t1_1	rna-XM_044896024.1_1
g897.t1_1	rna-XM_044894890.1_1
g901.t1_1	rna-XM_044892873.1_1
g904.t1_1	rna-XM_044894841.1_1
g907.t1_1	rna-XM_044893586.1_1
g909.t1_1	rna-XM_044896922.1_1
g911.t1_1	rna-XM_044894482.1_1
g912.t1_1	rna-XM_044896693.1_1
g913.t1_1	rna-XM_044896691.1_1
g914.t1_1	rna-XM_044896014.1_1
g915.t2_1	rna-XM_044896948.1_1
g917.t1_1	rna-XM_044896946.1_1
g918.t1_1	rna-XM_044908314.1_1
g919.t1_1	rna-XM_044890399.1_1
g920.t2_1	rna-XM_044892550.1_1
g921.t1_1	rna-XM_044893184.1_1
g922.t1_1	rna-XM_044910916.1_1
g923.t1_1	rna-XM_044906664.1_1
g924.t1_1	rna-XM_044905378.1_1
g926.t1_1	rna-XM_044892362.1_1
g927.t2_1	rna-XM_044908390.1_1
g930.t2_1	rna-XM_044897610.1_1
g933.t1_1	rna-XM_044908470.1_1
g934.t1_1	rna-XM_044894301.1_1
g935.t2_1	rna-XM_044894089.1_1
g936.t1_1	rna-XM_044893195.1_1
g938.t1_1	rna-XM_044892850.1_1
g939.t1_1	rna-XM_044892378.1_1
g940.t1_1	rna-XM_044896764.1_1
g941.t1_1	rna-XM_044892143.1_1
g943.t1_1	rna-XM_044896966.1_1
g944.t1_1	rna-XM_044895180.1_1
g947.t1_1	rna-XM_044908299.1_1
g948.t1_1	rna-XM_044896596.1_1
g949.t1_1	rna-XM_044894302.1_1
g952.t3_1	rna-XM_044896834.1_1
g954.t1_1	rna-XM_044895537.1_1
g955.t2_1	rna-XM_044897128.1_1
g957.t1_1	rna-XM_044896560.1_1
g960.t1_1	rna-XM_044903700.1_1
g961.t1_1	rna-XM_044894834.1_1
g964.t1_1	rna-XM_044896418.1_1
g966.t1_1	rna-XM_044889790.1_1
g967.t1_1	rna-XM_044897950.1_1
g968.t1_1	rna-XM_044892635.1_1
g971.t3_1	rna-XM_044894772.1_1
g972.t1_1	rna-XM_044906145.1_1
g973.t1_1	rna-XM_044903182.1_1
g974.t1_1	rna-XM_044903659.1_1
g983.t1_1	rna-XM_044902521.1_1
g984.t1_1	rna-XM_044894824.1_1
g985.t1_1	rna-XM_044891424.1_1
g986.t1_1	rna-XM_044911038.1_1
g988.t1_1	rna-XM_044893878.1_1
g989.t1_1	rna-XM_044893784.1_1
g990.t4_1	rna-XM_044905228.1_1
g991.t1_1	rna-XM_044903027.1_1
g992.t2_1	rna-XM_044903483.1_1
g994.t1_1	rna-XM_044897122.1_1
g995.t1_1	rna-XM_044897357.1_1
g997.t1_1	rna-XM_044902735.1_1
g998.t2_1	rna-XM_044906322.1_1
g999.t1_1	rna-XM_044904514.1_1
g1000.t1_1	rna-XM_044904512.1_1
g1001.t2_1	rna-XM_044890539.1_1
g1002.t1_1	rna-XM_044907240.1_1
g1003.t1_1	rna-XM_044903723.1_1
g1004.t1_1	rna-XM_044903298.1_1
g1005.t1_1	rna-XM_044902011.1_1
g1006.t2_1	rna-XM_044902004.1_1
g1008.t1_1	rna-XM_044905743.1_1
g1009.t1_1	rna-XM_044889319.1_1
g1010.t1_1	rna-XM_044903346.1_1
g1012.t1_1	rna-XM_044904580.1_1
g1013.t1_1	rna-XM_044903486.1_1
g1014.t1_1	rna-XM_044903484.1_1
g1015.t1_1	rna-XM_044909613.1_1
g1016.t1_1	rna-XM_044902869.1_1
g1018.t1_1	rna-XM_044902227.1_1
g1019.t2_1	rna-XM_044902995.1_1
g1020.t2_1	rna-XM_044907519.1_1
g1021.t1_1	rna-XM_044902463.1_1
g1022.t1_1	rna-XM_044902469.1_1
g1033.t1_1	rna-XM_044903024.1_1
g1034.t1_1	rna-XM_044904497.1_1
g1035.t1_1	rna-XM_044902180.1_1
g1037.t1_1	rna-XM_044902978.1_1
g1040.t1_1	rna-XM_044892158.1_1
g1041.t1_1	rna-XM_044891976.1_1
g1042.t1_1	rna-XM_044894029.1_1
g1044.t1_1	rna-XM_044893838.1_1
g1046.t1_1	rna-XM_044901940.1_1
g1047.t1_1	rna-XM_044904019.1_1
g1048.t1_1	rna-XM_044904020.1_1
g1049.t1_1	rna-XM_044903035.1_1
g1050.t1_1	rna-XM_044903742.1_1
g1052.t2_1	rna-XM_044904718.1_1
g1053.t1_1	rna-XM_044902671.1_1
g1054.t1_1	rna-XM_044903117.1_1
g1056.t1_1	rna-XM_044902743.1_1
g1061.t1_1	rna-XM_044905946.1_1
g1062.t1_1	rna-XM_044906200.1_1
g1063.t1_1	rna-XM_044908777.1_1
