g6.t1_1	BRAKERILHT00000001257_1
g250.t1_1	BRAKERILHT00000001388_1
g252.t1_1	BRAKERILHT00000002031_1
g253.t1_1	BRAKERILHT00000000464_1
g254.t1_1	BRAKERILHT00000000759_1
g255.t1_1	BRAKERILHT00000001402_1
g257.t1_1	BRAKERILHT00000000139_1
g258.t1_1	BRAKERILHT00000000648_1
g260.t1_1	BRAKERILHT00000001097_1
g261.t1_1	BRAKERILHT00000001713_1
g263.t1_1	BRAKERILHT00000000019_1
g264.t1_1	BRAKERILHT00000000322_1
g268.t1_1	BRAKERILHT00000001052_1
g269.t1_1	BRAKERILHT00000001268_1
g270.t1_1	BRAKERILHT00000001234_1
g273.t1_1	BRAKERILHT00000002170_1
g274.t1_1	BRAKERILHT00000001540_1
g275.t1_1	BRAKERILHT00000001844_1
g276.t1_1	BRAKERILHT00000001207_1
g277.t1_1	BRAKERILHT00000000898_1
g278.t2_1	BRAKERILHT00000000295_1
g279.t1_1	BRAKERILHT00000000328_1
g280.t1_1	BRAKERILHT00000001836_1
g281.t1_1	BRAKERILHT00000001372_1
g282.t1_1	BRAKERILHT00000000670_1
g283.t2_1	BRAKERILHT00000000141_1
g285.t2_1	BRAKERILHT00000000470_1
g286.t1_1	BRAKERILHT00000000914_1
g288.t1_1	BRAKERILHT00000000413_1
g289.t1_1	BRAKERILHT00000002124_1
g290.t1_1	BRAKERILHT00000001781_1
g291.t2_1	BRAKERILHT00000000350_1
g292.t1_1	BRAKERILHT00000006708_1
g296.t1_1	BRAKERILHT00000017189_1
g298.t1_1	BRAKERILHT00000001242_1
g299.t1_1	BRAKERILHT00000001801_1
g300.t1_1	BRAKERILHT00000001886_1
g301.t1_1	BRAKERILHT00000000273_1
g302.t1_1	BRAKERILHT00000001306_1
g303.t1_1	BRAKERILHT00000001467_1
g304.t1_1	BRAKERILHT00000001927_1
g305.t1_1	BRAKERILHT00000000032_1
g307.t1_1	BRAKERILHT00000001044_1
g309.t1_1	BRAKERILHT00000001701_1
g310.t3_1	BRAKERILHT00000000340_1
g311.t1_1	BRAKERILHT00000001217_1
g312.t1_1	BRAKERILHT00000002018_1
g313.t1_1	BRAKERILHT00000000457_1
g314.t1_1	BRAKERILHT00000000288_1
g315.t1_1	BRAKERILHT00000001035_1
g316.t1_1	BRAKERILHT00000001462_1
g317.t3_1	BRAKERILHT00000000993_1
g318.t1_1	BRAKERILHT00000000531_1
g319.t2_1	BRAKERILHT00000000634_1
g320.t1_1	BRAKERILHT00000001137_1
g321.t1_1	BRAKERILHT00000001863_1
g323.t1_1	BRAKERILHT00000001448_1
g324.t1_1	BRAKERILHT00000000292_1
g325.t1_1	BRAKERILHT00000001190_1
g326.t1_1	BRAKERILHT00000001027_1
g327.t2_1	BRAKERILHT00000001127_1
g328.t1_1	BRAKERILHT00000000822_1
g329.t1_1	BRAKERILHT00000000164_1
g330.t1_1	BRAKERILHT00000001575_1
g332.t1_1	BRAKERILHT00000000608_1
g334.t1_1	BRAKERILHT00000017730_1
g335.t1_1	BRAKERILHT00000002056_1
g337.t2_1	BRAKERILHT00000001588_1
g339.t1_1	BRAKERILHT00000001351_1
g341.t1_1	BRAKERILHT00000001041_1
g342.t1_1	BRAKERILHT00000000098_1
g343.t1_1	BRAKERILHT00000000361_1
g344.t3_1	BRAKERILHT00000001797_1
g345.t1_1	BRAKERILHT00000002042_1
g347.t1_1	BRAKERILHT00000000625_1
g349.t1_1	BRAKERILHT00000001098_1
g350.t1_1	BRAKERILHT00000001535_1
g352.t1_1	BRAKERILHT00000002010_1
g355.t1_1	BRAKERILHT00000001668_1
g356.t1_1	BRAKERILHT00000001169_1
g357.t1_1	BRAKERILHT00000001132_1
g358.t1_1	BRAKERILHT00000000966_1
g359.t1_1	BRAKERILHT00000001095_1
g360.t2_1	BRAKERILHT00000000601_1
g361.t1_1	BRAKERILHT00000000460_1
g362.t1_1	BRAKERILHT00000000387_1
g363.t1_1	BRAKERILHT00000001247_1
g364.t1_1	BRAKERILHT00000002045_1
g365.t2_1	BRAKERILHT00000001339_1
g367.t1_1	BRAKERILHT00000010548_1
g368.t1_1	BRAKERILHT00000000619_1
g369.t1_1	BRAKERILHT00000000854_1
g370.t1_1	BRAKERILHT00000000544_1
g371.t3_1	BRAKERILHT00000000446_1
g374.t1_1	BRAKERILHT00000000133_1
g375.t1_1	BRAKERILHT00000001413_1
g376.t1_1	BRAKERILHT00000001885_1
g377.t2_1	BRAKERILHT00000001012_1
g378.t1_1	BRAKERILHT00000001516_1
g379.t1_1	BRAKERILHT00000001359_1
g381.t1_1	BRAKERILHT00000000878_1
g382.t1_1	BRAKERILHT00000000874_1
g384.t1_1	BRAKERILHT00000000034_1
g387.t1_1	BRAKERILHT00000001659_1
g393.t1_1	BRAKERILHT00000000331_1
g394.t1_1	BRAKERILHT00000001020_1
g395.t1_1	BRAKERILHT00000000226_1
g399.t1_1	BRAKERILHT00000000256_1
g402.t1_1	BRAKERILHT00000001082_1
g403.t1_1	BRAKERILHT00000001856_1
g404.t1_1	BRAKERILHT00000000179_1
g405.t1_1	BRAKERILHT00000001461_1
g406.t1_1	BRAKERILHT00000001407_1
g407.t1_1	BRAKERILHT00000002165_1
g409.t2_1	BRAKERILHT00000000073_1
g410.t2_1	BRAKERILHT00000001517_1
g411.t1_1	BRAKERILHT00000000187_1
g413.t1_1	BRAKERILHT00000001107_1
g415.t1_1	BRAKERILHT00000001621_1
g417.t1_1	BRAKERILHT00000000047_1
g419.t1_1	BRAKERILHT00000000650_1
g420.t1_1	BRAKERILHT00000001287_1
g421.t1_1	BRAKERILHT00000001464_1
g422.t1_1	BRAKERILHT00000000851_1
g423.t1_1	BRAKERILHT00000000025_1
g425.t1_1	BRAKERILHT00000001152_1
g426.t1_1	BRAKERILHT00000000264_1
g427.t4_1	BRAKERILHT00000001762_1
g428.t1_1	BRAKERILHT00000001933_1
g429.t1_1	BRAKERILHT00000001393_1
g430.t1_1	BRAKERILHT00000001761_1
g431.t1_1	BRAKERILHT00000001784_1
g432.t1_1	BRAKERILHT00000000754_1
g433.t1_1	BRAKERILHT00000001210_1
g434.t1_1	BRAKERILHT00000000769_1
g435.t1_1	BRAKERILHT00000001088_1
g436.t1_1	BRAKERILHT00000001778_1
g437.t1_1	BRAKERILHT00000000232_1
g438.t1_1	BRAKERILHT00000001051_1
g439.t2_1	BRAKERILHT00000000803_1
g441.t1_1	BRAKERILHT00000000054_1
g442.t1_1	BRAKERILHT00000000958_1
g443.t1_1	BRAKERILHT00000000451_1
g444.t1_1	BRAKERILHT00000002151_1
g447.t1_1	BRAKERILHT00000000026_1
g448.t1_1	BRAKERILHT00000001689_1
g449.t1_1	BRAKERILHT00000001219_1
g450.t2_1	BRAKERILHT00000000738_1
g451.t3_1	BRAKERILHT00000001789_1
g452.t1_1	BRAKERILHT00000000561_1
g453.t1_1	BRAKERILHT00000001144_1
g454.t1_1	BRAKERILHT00000001967_1
g455.t1_1	BRAKERILHT00000001034_1
g456.t1_1	BRAKERILHT00000001506_1
g457.t1_1	BRAKERILHT00000001410_1
g458.t1_1	BRAKERILHT00000002013_1
g459.t1_1	BRAKERILHT00000000833_1
g460.t1_1	BRAKERILHT00000000251_1
g461.t6_1	BRAKERILHT00000000666_1
g463.t1_1	BRAKERILHT00000001526_1
g464.t1_1	BRAKERILHT00000001533_1
g466.t1_1	BRAKERILHT00000002143_1
g467.t1_1	BRAKERILHT00000000332_1
g468.t1_1	BRAKERILHT00000000938_1
g469.t1_1	BRAKERILHT00000000108_1
g470.t1_1	BRAKERILHT00000000683_1
g471.t1_1	BRAKERILHT00000001130_1
g472.t1_1	BRAKERILHT00000000338_1
g474.t1_1	BRAKERILHT00000001101_1
g475.t2_1	BRAKERILHT00000000844_1
g476.t1_1	BRAKERILHT00000000642_1
g477.t1_1	BRAKERILHT00000000004_1
g478.t1_1	BRAKERILHT00000000996_1
g480.t2_1	BRAKERILHT00000001640_1
g481.t1_1	BRAKERILHT00000001706_1
g482.t1_1	BRAKERILHT00000000522_1
g483.t1_1	BRAKERILHT00000000112_1
g484.t1_1	BRAKERILHT00000002136_1
g487.t1_1	BRAKERILHT00000001969_1
g489.t2_1	BRAKERILHT00000001633_1
g490.t1_1	BRAKERILHT00000000627_1
g492.t1_1	BRAKERILHT00000001577_1
g493.t1_1	BRAKERILHT00000000335_1
g494.t2_1	BRAKERILHT00000001831_1
g495.t1_1	BRAKERILHT00000001213_1
g496.t1_1	BRAKERILHT00000001259_1
g497.t2_1	BRAKERILHT00000000792_1
g498.t1_1	BRAKERILHT00000001941_1
g500.t1_1	BRAKERILHT00000000177_1
g501.t1_1	BRAKERILHT00000001486_1
g502.t1_1	BRAKERILHT00000000824_1
g503.t1_1	BRAKERILHT00000002030_1
g504.t1_1	BRAKERILHT00000001149_1
g505.t1_1	BRAKERILHT00000000679_1
g507.t1_1	BRAKERILHT00000000058_1
g508.t1_1	BRAKERILHT00000002063_1
g509.t1_1	BRAKERILHT00000001449_1
g510.t2_1	BRAKERILHT00000000234_1
g512.t1_1	BRAKERILHT00000000195_1
g513.t1_1	BRAKERILHT00000000575_1
g514.t1_1	BRAKERILHT00000001150_1
g515.t1_1	BRAKERILHT00000001808_1
g517.t1_1	BRAKERILHT00000001016_1
g518.t1_1	BRAKERILHT00000001712_1
g519.t1_1	BRAKERILHT00000001954_1
g520.t1_1	BRAKERILHT00000000710_1
g521.t1_1	BRAKERILHT00000001047_1
g525.t1_1	BRAKERILHT00000001340_1
g529.t1_1	BRAKERILHT00000000556_1
g530.t1_1	BRAKERILHT00000000407_1
g531.t1_1	BRAKERILHT00000001271_1
g532.t1_1	BRAKERILHT00000001522_1
g533.t1_1	BRAKERILHT00000000883_1
g534.t1_1	BRAKERILHT00000000012_1
g535.t1_1	BRAKERILHT00000000218_1
g536.t1_1	BRAKERILHT00000001611_1
g537.t1_1	BRAKERILHT00000000770_1
g539.t3_1	BRAKERILHT00000000320_1
g540.t1_1	BRAKERILHT00000000835_1
g542.t2_1	BRAKERILHT00000002043_1
g543.t1_1	BRAKERILHT00000001810_1
g544.t2_1	BRAKERILHT00000000402_1
g545.t1_1	BRAKERILHT00000001488_1
g547.t1_1	BRAKERILHT00000001603_1
g551.t1_1	BRAKERILHT00000012119_1
g552.t1_1	BRAKERILHT00000002154_1
g553.t2_1	BRAKERILHT00000000554_1
g554.t1_1	BRAKERILHT00000001148_1
g555.t1_1	BRAKERILHT00000001214_1
g556.t1_1	BRAKERILHT00000000353_1
g557.t1_1	BRAKERILHT00000000959_1
g559.t1_1	BRAKERILHT00000001586_1
g560.t1_1	BRAKERILHT00000000593_1
g562.t1_1	BRAKERILHT00000000772_1
g563.t1_1	BRAKERILHT00000001086_1
g571.t1_1	BRAKERILHT00000001378_1
g576.t1_1	BRAKERILHT00000002088_1
g578.t1_1	BRAKERILHT00000000538_1
g579.t1_1	BRAKERILHT00000017144_1
g580.t1_1	BRAKERILHT00000000152_1
g583.t1_1	BRAKERILHT00000011590_1
g587.t1_1	BRAKERILHT00000000986_1
g588.t1_1	BRAKERILHT00000000119_1
g590.t1_1	BRAKERILHT00000001541_1
g591.t1_1	BRAKERILHT00000000279_1
g592.t2_1	BRAKERILHT00000000430_1
g593.t1_1	BRAKERILHT00000001501_1
g594.t2_1	BRAKERILHT00000002140_1
g595.t1_1	BRAKERILHT00000000440_1
g596.t1_1	BRAKERILHT00000015372_1
g598.t1_1	BRAKERILHT00000000552_1
g601.t1_1	BRAKERILHT00000000417_1
g602.t2_1	BRAKERILHT00000000041_1
g607.t1_1	BRAKERILHT00000017385_1
g609.t1_1	BRAKERILHT00000001314_1
g611.t1_1	BRAKERILHT00000002029_1
g612.t1_1	BRAKERILHT00000000478_1
g614.t1_1	BRAKERILHT00000001228_1
g617.t1_1	BRAKERILHT00000001355_1
g618.t1_1	BRAKERILHT00000002092_1
g619.t1_1	BRAKERILHT00000001110_1
g620.t1_1	BRAKERILHT00000000091_1
g621.t1_1	BRAKERILHT00000002022_1
g622.t1_1	BRAKERILHT00000001406_1
g623.t1_1	BRAKERILHT00000001163_1
g625.t2_1	BRAKERILHT00000002048_1
g626.t2_1	BRAKERILHT00000002068_1
g628.t1_1	BRAKERILHT00000001466_1
g629.t1_1	BRAKERILHT00000001794_1
g630.t1_1	BRAKERILHT00000017595_1
g631.t1_1	BRAKERILHT00000001655_1
g632.t1_1	BRAKERILHT00000001634_1
g634.t1_1	BRAKERILHT00000000077_1
g635.t1_1	BRAKERILHT00000001624_1
g636.t1_1	BRAKERILHT00000000325_1
g637.t1_1	BRAKERILHT00000002172_1
g638.t1_1	BRAKERILHT00000002110_1
g640.t2_1	BRAKERILHT00000000894_1
g643.t2_1	BRAKERILHT00000000132_1
g644.t2_1	BRAKERILHT00000000562_1
g645.t1_1	BRAKERILHT00000000949_1
g646.t2_1	BRAKERILHT00000001565_1
g648.t1_1	BRAKERILHT00000001684_1
g649.t2_1	BRAKERILHT00000000367_1
g651.t2_1	BRAKERILHT00000000514_1
g652.t1_1	BRAKERILHT00000002106_1
g654.t1_1	BRAKERILHT00000000498_1
g655.t1_1	BRAKERILHT00000000550_1
g656.t1_1	BRAKERILHT00000001391_1
g657.t1_1	BRAKERILHT00000001785_1
g658.t1_1	BRAKERILHT00000000999_1
g659.t1_1	BRAKERILHT00000001657_1
g660.t1_1	BRAKERILHT00000000473_1
g661.t2_1	BRAKERILHT00000000382_1
g662.t1_1	BRAKERILHT00000001960_1
g663.t2_1	BRAKERILHT00000001628_1
g664.t1_1	BRAKERILHT00000000875_1
g665.t1_1	BRAKERILHT00000002050_1
g666.t1_1	BRAKERILHT00000001460_1
g667.t1_1	BRAKERILHT00000000590_1
g668.t1_1	BRAKERILHT00000001768_1
g669.t1_1	BRAKERILHT00000000252_1
g670.t1_1	BRAKERILHT00000000829_1
g671.t1_1	BRAKERILHT00000001416_1
g672.t1_1	BRAKERILHT00000002040_1
g673.t1_1	BRAKERILHT00000000487_1
g674.t1_1	BRAKERILHT00000001737_1
g675.t1_1	BRAKERILHT00000000551_1
g676.t1_1	BRAKERILHT00000002141_1
g677.t1_1	BRAKERILHT00000000885_1
g678.t2_1	BRAKERILHT00000001390_1
g679.t1_1	BRAKERILHT00000000172_1
g680.t1_1	BRAKERILHT00000000377_1
g681.t1_1	BRAKERILHT00000000905_1
g682.t1_1	BRAKERILHT00000001551_1
g684.t1_1	BRAKERILHT00000002159_1
g685.t1_1	BRAKERILHT00000001693_1
g686.t1_1	BRAKERILHT00000000135_1
g687.t1_1	BRAKERILHT00000000762_1
g688.t1_1	BRAKERILHT00000001914_1
g689.t1_1	BRAKERILHT00000002008_1
g691.t1_1	BRAKERILHT00000001145_1
g699.t1_1	BRAKERILHT00000001592_1
g700.t1_1	BRAKERILHT00000000985_1
g701.t1_1	BRAKERILHT00000000557_1
g702.t1_1	BRAKERILHT00000001936_1
g704.t2_1	BRAKERILHT00000012748_1
g705.t2_1	BRAKERILHT00000000397_1
g706.t2_1	BRAKERILHT00000001032_1
g707.t1_1	BRAKERILHT00000001639_1
g708.t1_1	BRAKERILHT00000001307_1
g709.t1_1	BRAKERILHT00000001923_1
g710.t1_1	BRAKERILHT00000002078_1
g711.t1_1	BRAKERILHT00000001479_1
g712.t1_1	BRAKERILHT00000001641_1
g713.t3_1	BRAKERILHT00000000083_1
g714.t1_1	BRAKERILHT00000000399_1
g715.t1_1	BRAKERILHT00000001004_1
g716.t1_1	BRAKERILHT00000001011_1
g717.t2_1	BRAKERILHT00000000505_1
g718.t1_1	BRAKERILHT00000001510_1
g719.t1_1	BRAKERILHT00000002131_1
g720.t1_1	BRAKERILHT00000000810_1
g721.t1_1	BRAKERILHT00000001813_1
g722.t1_1	BRAKERILHT00000000263_1
g723.t1_1	BRAKERILHT00000001685_1
g724.t1_1	BRAKERILHT00000000209_1
g725.t2_1	BRAKERILHT00000000576_1
g726.t1_1	BRAKERILHT00000001772_1
g727.t1_1	BRAKERILHT00000001587_1
g728.t1_1	BRAKERILHT00000000983_1
g729.t1_1	BRAKERILHT00000000636_1
g730.t1_1	BRAKERILHT00000000023_1
g732.t1_1	BRAKERILHT00000001829_1
g733.t1_1	BRAKERILHT00000000846_1
g734.t1_1	BRAKERILHT00000000246_1
g736.t1_1	BRAKERILHT00000001164_1
g737.t1_1	BRAKERILHT00000000717_1
g738.t1_1	BRAKERILHT00000001940_1
g740.t1_1	BRAKERILHT00000000228_1
g741.t1_1	BRAKERILHT00000000778_1
g743.t1_1	BRAKERILHT00000000236_1
g744.t1_1	BRAKERILHT00000000989_1
g745.t1_1	BRAKERILHT00000002064_1
g747.t1_1	BRAKERILHT00000000536_1
g749.t2_1	BRAKERILHT00000002081_1
g750.t1_1	BRAKERILHT00000000526_1
g752.t1_1	BRAKERILHT00000010674_1
g753.t1_1	BRAKERILHT00000001029_1
g755.t1_1	BRAKERILHT00000000688_1
g756.t1_1	BRAKERILHT00000001123_1
g757.t1_1	BRAKERILHT00000001879_1
g759.t1_1	BRAKERILHT00000000176_1
g760.t1_1	BRAKERILHT00000001366_1
g761.t1_1	BRAKERILHT00000000447_1
g762.t1_1	BRAKERILHT00000001040_1
g763.t2_1	BRAKERILHT00000001675_1
g764.t1_1	BRAKERILHT00000001331_1
g765.t1_1	BRAKERILHT00000000020_1
g766.t2_1	BRAKERILHT00000001717_1
g767.t2_1	BRAKERILHT00000002071_1
g770.t1_1	BRAKERILHT00000001623_1
g771.t1_1	BRAKERILHT00000000201_1
g772.t1_1	BRAKERILHT00000001872_1
g773.t1_1	BRAKERILHT00000000475_1
g780.t1_1	BRAKERILHT00000001972_1
g782.t2_1	BRAKERILHT00000000269_1
g788.t1_1	BRAKERILHT00000001048_1
g796.t1_1	BRAKERILHT00000000343_1
g797.t1_1	BRAKERILHT00000001227_1
g798.t1_1	BRAKERILHT00000001283_1
g799.t1_1	BRAKERILHT00000001502_1
g800.t1_1	BRAKERILHT00000002101_1
g801.t1_1	BRAKERILHT00000000533_1
g804.t1_1	BRAKERILHT00000000309_1
g805.t1_1	BRAKERILHT00000000767_1
g806.t1_1	BRAKERILHT00000000917_1
g807.t1_1	BRAKERILHT00000002177_1
g808.t2_1	BRAKERILHT00000001384_1
g810.t1_1	BRAKERILHT00000001050_1
g814.t1_1	BRAKERILHT00000001521_1
g817.t1_1	BRAKERILHT00000001851_1
g816.t1_1	BRAKERILHT00000001854_1
g818.t1_1	BRAKERILHT00000001735_1
g819.t1_1	BRAKERILHT00000001543_1
g820.t1_1	BRAKERILHT00000000733_1
g821.t1_1	BRAKERILHT00000000261_1
g828.t1_1	BRAKERILHT00000000612_1
g829.t1_1	BRAKERILHT00000001181_1
g830.t1_1	BRAKERILHT00000001787_1
g831.t2_1	BRAKERILHT00000000213_1
g834.t1_1	BRAKERILHT00000000664_1
g838.t1_1	BRAKERILHT00000000879_1
g842.t1_1	BRAKERILHT00000001253_1
g843.t1_1	BRAKERILHT00000000682_1
g845.t1_1	BRAKERILHT00000001261_1
g847.t1_1	BRAKERILHT00000000671_1
g848.t1_1	BRAKERILHT00000000788_1
g849.t1_1	BRAKERILHT00000000137_1
g850.t2_1	BRAKERILHT00000000605_1
g851.t1_1	BRAKERILHT00000000511_1
g857.t2_1	BRAKERILHT00000001867_1
g858.t1_1	BRAKERILHT00000002134_1
g859.t1_1	BRAKERILHT00000000631_1
g860.t1_1	BRAKERILHT00000000156_1
g861.t1_1	BRAKERILHT00000001412_1
g864.t2_1	BRAKERILHT00000000776_1
g865.t1_1	BRAKERILHT00000001309_1
g866.t1_1	BRAKERILHT00000000618_1
g867.t1_1	BRAKERILHT00000001352_1
g868.t1_1	BRAKERILHT00000001226_1
g869.t2_1	BRAKERILHT00000000370_1
g870.t1_1	BRAKERILHT00000002160_1
g872.t1_1	BRAKERILHT00000000459_1
g873.t1_1	BRAKERILHT00000001581_1
g875.t1_1	BRAKERILHT00000000801_1
g876.t2_1	BRAKERILHT00000001104_1
g877.t2_1	BRAKERILHT00000000432_1
g878.t1_1	BRAKERILHT00000015078_1
g879.t1_1	BRAKERILHT00000000188_1
g880.t1_1	BRAKERILHT00000000427_1
g881.t1_1	BRAKERILHT00000001373_1
g883.t1_1	BRAKERILHT00000001556_1
g884.t1_1	BRAKERILHT00000000372_1
g885.t1_1	BRAKERILHT00000001918_1
g886.t1_1	BRAKERILHT00000001185_1
g888.t1_1	BRAKERILHT00000000216_1
