g8.t1_1	CALCHIM00000023384_1
g315.t1_1	CALCHIM00000044367_1
g317.t3_1	CALCHIM00000044381_1
g318.t1_1	CALCHIM00000044379_1
g319.t2_1	CALCHIM00000044383_1
g320.t1_1	CALCHIM00000044384_1
g321.t1_1	CALCHIM00000044396_1
g323.t1_1	CALCHIM00000044404_1
g325.t1_1	CALCHIM00000025848_1
g326.t1_1	CALCHIM00000025850_1
g328.t1_1	CALCHIM00000025853_1
g329.t1_1	CALCHIM00000050922_1
g330.t1_1	CALCHIM00000040528_1
g332.t1_1	CALCHIM00000040526_1
g333.t1_1	CALCHIM00000040521_1
g335.t1_1	CALCHIM00000040508_1
g336.t1_1	CALCHIM00000040500_1
g337.t2_1	CALCHIM00000040495_1
g339.t1_1	CALCHIM00000040476_1
g341.t1_1	CALCHIM00000040474_1
g342.t1_1	CALCHIM00000040472_1
g343.t1_1	CALCHIM00000040467_1
g344.t3_1	CALCHIM00000040449_1
g345.t1_1	CALCHIM00000040445_1
g347.t1_1	CALCHIM00000040442_1
g349.t1_1	CALCHIM00000040438_1
g350.t1_1	CALCHIM00000040427_1
g352.t1_1	CALCHIM00000040420_1
g355.t1_1	CALCHIM00000040410_1
g356.t1_1	CALCHIM00000040411_1
g357.t1_1	CALCHIM00000040412_1
g358.t1_1	CALCHIM00000040417_1
g359.t1_1	CALCHIM00000035355_1
g360.t2_1	CALCHIM00000035357_1
g361.t1_1	CALCHIM00000035363_1
g362.t1_1	CALCHIM00000035367_1
g363.t1_1	CALCHIM00000035371_1
g364.t1_1	CALCHIM00000035379_1
g365.t2_1	CALCHIM00000035383_1
g367.t1_1	CALCHIM00000035384_1
g368.t1_1	CALCHIM00000035386_1
g369.t1_1	CALCHIM00000035389_1
g370.t1_1	CALCHIM00000035390_1
g371.t3_1	CALCHIM00000035391_1
g373.t1_1	CALCHIM00000035394_1
g374.t1_1	CALCHIM00000035403_1
g375.t1_1	CALCHIM00000035397_1
g376.t1_1	CALCHIM00000035401_1
g377.t2_1	CALCHIM00000022152_1
g378.t1_1	CALCHIM00000022148_1
g379.t1_1	CALCHIM00000022147_1
g381.t1_1	CALCHIM00000022143_1
g382.t1_1	CALCHIM00000022118_1
g384.t1_1	CALCHIM00000022122_1
g385.t1_1	CALCHIM00000030033_1
g393.t1_1	CALCHIM00000041897_1
g394.t1_1	CALCHIM00000041894_1
g395.t1_1	CALCHIM00000007882_1
g399.t1_1	CALCHIM00000007870_1
g400.t1_1	CALCHIM00000007872_1
g402.t1_1	CALCHIM00000007883_1
g403.t1_1	CALCHIM00000007884_1
g404.t1_1	CALCHIM00000007887_1
g405.t1_1	CALCHIM00000007889_1
g406.t1_1	CALCHIM00000007890_1
g407.t1_1	CALCHIM00000007891_1
g408.t1_1	CALCHIM00000007892_1
g410.t2_1	CALCHIM00000007898_1
g411.t1_1	CALCHIM00000007908_1
g412.t1_1	CALCHIM00000007909_1
g413.t1_1	CALCHIM00000007910_1
g415.t1_1	CALCHIM00000007922_1
g420.t1_1	CALCHIM00000007928_1
g421.t1_1	CALCHIM00000007931_1
g422.t1_1	CALCHIM00000007932_1
g425.t1_1	CALCHIM00000007934_1
g426.t1_1	CALCHIM00000007937_1
g427.t4_1	CALCHIM00000007940_1
g428.t1_1	CALCHIM00000007948_1
g429.t1_1	CALCHIM00000007949_1
g430.t1_1	CALCHIM00000007951_1
g431.t1_1	CALCHIM00000007952_1
g432.t1_1	CALCHIM00000047440_1
g435.t1_1	CALCHIM00000047435_1
g436.t1_1	CALCHIM00000047431_1
g437.t1_1	CALCHIM00000047429_1
g438.t1_1	CALCHIM00000047427_1
g439.t2_1	CALCHIM00000047401_1
g441.t1_1	CALCHIM00000047393_1
g442.t1_1	CALCHIM00000047383_1
g443.t1_1	CALCHIM00000047372_1
g444.t1_1	CALCHIM00000047353_1
g446.t1_1	CALCHIM00000002300_1
g447.t1_1	CALCHIM00000047335_1
g448.t1_1	CALCHIM00000047334_1
g449.t1_1	CALCHIM00000047329_1
g450.t2_1	CALCHIM00000047326_1
g451.t3_1	CALCHIM00000047316_1
g452.t1_1	CALCHIM00000047308_1
g453.t1_1	CALCHIM00000047306_1
g454.t1_1	CALCHIM00000047296_1
g455.t1_1	CALCHIM00000043719_1
g456.t1_1	CALCHIM00000004647_1
g457.t1_1	CALCHIM00000059087_1
g458.t1_1	CALCHIM00000004644_1
g459.t1_1	CALCHIM00000004636_1
g460.t1_1	CALCHIM00000004631_1
g462.t1_1	CALCHIM00000004630_1
g461.t6_1	CALCHIM00000004619_1
g463.t1_1	CALCHIM00000004607_1
g464.t1_1	CALCHIM00000007978_1
g465.t1_1	CALCHIM00000007977_1
g466.t1_1	CALCHIM00000007976_1
g467.t1_1	CALCHIM00000007975_1
g468.t1_1	CALCHIM00000007968_1
g469.t1_1	CALCHIM00000007960_1
g470.t1_1	CALCHIM00000007954_1
g471.t1_1	CALCHIM00000007953_1
g472.t1_1	CALCHIM00000047443_1
g473.t1_1	CALCHIM00000047445_1
g474.t1_1	CALCHIM00000047456_1
g475.t2_1	CALCHIM00000047458_1
g476.t1_1	CALCHIM00000047459_1
g477.t1_1	CALCHIM00000047462_1
g478.t1_1	CALCHIM00000047474_1
g480.t2_1	CALCHIM00000047524_1
g481.t1_1	CALCHIM00000008118_1
g482.t1_1	CALCHIM00000008114_1
g483.t1_1	CALCHIM00000008082_1
g484.t1_1	CALCHIM00000008078_1
g487.t1_1	CALCHIM00000008068_1
g489.t2_1	CALCHIM00000008073_1
g490.t1_1	CALCHIM00000008064_1
g492.t1_1	CALCHIM00000008051_1
g493.t1_1	CALCHIM00000008037_1
g494.t2_1	CALCHIM00000008034_1
g495.t1_1	CALCHIM00000008032_1
g496.t1_1	CALCHIM00000008025_1
g497.t2_1	CALCHIM00000008019_1
g498.t1_1	CALCHIM00000008017_1
g500.t1_1	CALCHIM00000008015_1
g501.t1_1	CALCHIM00000008012_1
g502.t1_1	CALCHIM00000008009_1
g503.t1_1	CALCHIM00000008007_1
g504.t1_1	CALCHIM00000008006_1
g505.t1_1	CALCHIM00000008004_1
g507.t1_1	CALCHIM00000008002_1
g508.t1_1	CALCHIM00000008001_1
g509.t1_1	CALCHIM00000008000_1
g510.t2_1	CALCHIM00000007995_1
g511.t1_1	CALCHIM00000007992_1
g512.t1_1	CALCHIM00000007985_1
g513.t1_1	CALCHIM00000007984_1
g514.t1_1	CALCHIM00000007981_1
g515.t1_1	CALCHIM00000021879_1
g516.t1_1	CALCHIM00000010990_1
g517.t1_1	CALCHIM00000042079_1
g518.t1_1	CALCHIM00000042084_1
g519.t1_1	CALCHIM00000045639_1
g520.t1_1	CALCHIM00000045638_1
g521.t1_1	CALCHIM00000045637_1
g522.t1_1	CALCHIM00000031099_1
g524.t1_1	CALCHIM00000003743_1
g525.t1_1	CALCHIM00000045635_1
g529.t1_1	CALCHIM00000045632_1
g530.t1_1	CALCHIM00000045613_1
g531.t1_1	CALCHIM00000023899_1
g532.t1_1	CALCHIM00000023896_1
g533.t1_1	CALCHIM00000023888_1
g534.t1_1	CALCHIM00000023887_1
g535.t1_1	CALCHIM00000011603_1
g536.t1_1	CALCHIM00000054480_1
g537.t1_1	CALCHIM00000011614_1
g538.t2_1	CALCHIM00000000753_1
g539.t3_1	CALCHIM00000055860_1
g540.t1_1	CALCHIM00000055863_1
g542.t2_1	CALCHIM00000011705_1
g543.t1_1	CALCHIM00000011582_1
g544.t2_1	CALCHIM00000011569_1
g545.t1_1	CALCHIM00000038985_1
g546.t1_1	CALCHIM00000038975_1
g547.t1_1	CALCHIM00000038997_1
g548.t2_1	CALCHIM00000039000_1
g549.t1_1	CALCHIM00000039001_1
g550.t2_1	CALCHIM00000039002_1
g551.t1_1	CALCHIM00000012002_1
g552.t1_1	CALCHIM00000012006_1
g553.t2_1	CALCHIM00000012009_1
g554.t1_1	CALCHIM00000012010_1
g555.t1_1	CALCHIM00000012014_1
g556.t1_1	CALCHIM00000012015_1
g557.t1_1	CALCHIM00000012020_1
g559.t1_1	CALCHIM00000012028_1
g561.t1_1	CALCHIM00000040188_1
g562.t1_1	CALCHIM00000040189_1
g563.t1_1	CALCHIM00000040191_1
g571.t1_1	CALCHIM00000034218_1
g576.t1_1	CALCHIM00000040215_1
g578.t1_1	CALCHIM00000040211_1
g580.t1_1	CALCHIM00000040201_1
g582.t1_1	CALCHIM00000055754_1
g583.t1_1	CALCHIM00000040200_1
g585.t1_1	CALCHIM00000035316_1
g587.t1_1	CALCHIM00000043228_1
g588.t1_1	CALCHIM00000054807_1
g590.t1_1	CALCHIM00000001716_1
g591.t1_1	CALCHIM00000001712_1
g592.t2_1	CALCHIM00000001708_1
g593.t1_1	CALCHIM00000000090_1
g594.t2_1	CALCHIM00000013725_1
g595.t1_1	CALCHIM00000044761_1
g596.t1_1	CALCHIM00000044754_1
g598.t1_1	CALCHIM00000044745_1
g601.t1_1	CALCHIM00000044750_1
g602.t2_1	CALCHIM00000044734_1
g606.t1_1	CALCHIM00000038205_1
g612.t1_1	CALCHIM00000024286_1
g613.t1_1	CALCHIM00000025478_1
g614.t1_1	CALCHIM00000025480_1
g617.t1_1	CALCHIM00000024282_1
g618.t1_1	CALCHIM00000024272_1
g619.t1_1	CALCHIM00000024270_1
g620.t1_1	CALCHIM00000035595_1
g621.t1_1	CALCHIM00000035602_1
g622.t1_1	CALCHIM00000035614_1
g623.t1_1	CALCHIM00000008279_1
g625.t2_1	CALCHIM00000008275_1
g626.t2_1	CALCHIM00000008273_1
g628.t1_1	CALCHIM00000035531_1
g629.t1_1	CALCHIM00000035530_1
g632.t1_1	CALCHIM00000035524_1
g634.t1_1	CALCHIM00000035521_1
g636.t1_1	CALCHIM00000017491_1
g637.t1_1	CALCHIM00000017489_1
g638.t1_1	CALCHIM00000017486_1
g640.t2_1	CALCHIM00000039509_1
g642.t1_1	CALCHIM00000030122_1
g643.t2_1	CALCHIM00000030123_1
g644.t2_1	CALCHIM00000030124_1
g645.t1_1	CALCHIM00000030128_1
g646.t2_1	CALCHIM00000030126_1
g648.t1_1	CALCHIM00000030125_1
g649.t2_1	CALCHIM00000030130_1
g651.t2_1	CALCHIM00000030131_1
g652.t1_1	CALCHIM00000030135_1
g653.t1_1	CALCHIM00000030139_1
g654.t1_1	CALCHIM00000030142_1
g655.t1_1	CALCHIM00000030147_1
g656.t1_1	CALCHIM00000030150_1
g657.t1_1	CALCHIM00000030153_1
g658.t1_1	CALCHIM00000030160_1
g659.t1_1	CALCHIM00000018405_1
g660.t1_1	CALCHIM00000018407_1
g661.t2_1	CALCHIM00000018420_1
g662.t1_1	CALCHIM00000018422_1
g663.t2_1	CALCHIM00000018424_1
g665.t1_1	CALCHIM00000018425_1
g666.t1_1	CALCHIM00000018426_1
g667.t1_1	CALCHIM00000018429_1
g668.t1_1	CALCHIM00000018440_1
g669.t1_1	CALCHIM00000018446_1
g671.t1_1	CALCHIM00000018448_1
g672.t1_1	CALCHIM00000018449_1
g673.t1_1	CALCHIM00000018452_1
g674.t1_1	CALCHIM00000018475_1
g675.t1_1	CALCHIM00000018474_1
g676.t1_1	CALCHIM00000018472_1
g677.t1_1	CALCHIM00000018470_1
g678.t2_1	CALCHIM00000038463_1
g679.t1_1	CALCHIM00000018457_1
g680.t1_1	CALCHIM00000052336_1
g681.t1_1	CALCHIM00000018479_1
g682.t1_1	CALCHIM00000018480_1
g683.t1_1	CALCHIM00000018484_1
g684.t1_1	CALCHIM00000018486_1
g685.t1_1	CALCHIM00000018487_1
g686.t1_1	CALCHIM00000018495_1
g687.t1_1	CALCHIM00000018497_1
g688.t1_1	CALCHIM00000018499_1
g689.t1_1	CALCHIM00000018501_1
g691.t1_1	CALCHIM00000049405_1
g698.t1_1	CALCHIM00000036544_1
g700.t1_1	CALCHIM00000018072_1
g701.t1_1	CALCHIM00000018073_1
g702.t1_1	CALCHIM00000018074_1
g704.t2_1	CALCHIM00000018075_1
g705.t2_1	CALCHIM00000018076_1
g706.t2_1	CALCHIM00000018079_1
g707.t1_1	CALCHIM00000018084_1
g708.t1_1	CALCHIM00000018088_1
g709.t1_1	CALCHIM00000018090_1
g710.t1_1	CALCHIM00000018091_1
g711.t1_1	CALCHIM00000018092_1
g712.t1_1	CALCHIM00000018094_1
g713.t3_1	CALCHIM00000018097_1
g714.t1_1	CALCHIM00000018098_1
g715.t1_1	CALCHIM00000018099_1
g716.t1_1	CALCHIM00000002367_1
g717.t2_1	CALCHIM00000002369_1
g718.t1_1	CALCHIM00000002372_1
g719.t1_1	CALCHIM00000002377_1
g721.t1_1	CALCHIM00000002383_1
g722.t1_1	CALCHIM00000002386_1
g723.t1_1	CALCHIM00000002391_1
g724.t1_1	CALCHIM00000008282_1
g725.t2_1	CALCHIM00000008281_1
g726.t1_1	CALCHIM00000018366_1
g727.t1_1	CALCHIM00000030162_1
g730.t1_1	CALCHIM00000018350_1
g732.t1_1	CALCHIM00000018351_1
g733.t1_1	CALCHIM00000018352_1
g734.t1_1	CALCHIM00000018353_1
g735.t1_1	CALCHIM00000018354_1
g736.t1_1	CALCHIM00000018356_1
g737.t1_1	CALCHIM00000018357_1
g738.t1_1	CALCHIM00000018359_1
g740.t1_1	CALCHIM00000018360_1
g741.t1_1	CALCHIM00000002360_1
g742.t2_1	CALCHIM00000018404_1
g743.t1_1	CALCHIM00000018402_1
g744.t1_1	CALCHIM00000018400_1
g745.t1_1	CALCHIM00000018398_1
g747.t1_1	CALCHIM00000018388_1
g748.t1_1	CALCHIM00000018380_1
g749.t2_1	CALCHIM00000018367_1
g750.t1_1	CALCHIM00000018368_1
g753.t1_1	CALCHIM00000002356_1
g755.t1_1	CALCHIM00000002353_1
g756.t1_1	CALCHIM00000002345_1
g760.t1_1	CALCHIM00000031471_1
g761.t1_1	CALCHIM00000031469_1
g762.t1_1	CALCHIM00000031470_1
g763.t2_1	CALCHIM00000022428_1
g764.t1_1	CALCHIM00000022424_1
g765.t1_1	CALCHIM00000022417_1
g766.t2_1	CALCHIM00000022414_1
g767.t2_1	CALCHIM00000045191_1
g768.t1_1	CALCHIM00000045187_1
g769.t1_1	CALCHIM00000045186_1
g770.t1_1	CALCHIM00000045185_1
g771.t1_1	CALCHIM00000045183_1
g772.t1_1	CALCHIM00000045182_1
g773.t1_1	CALCHIM00000045180_1
g775.t1_1	CALCHIM00000045173_1
g780.t1_1	CALCHIM00000050916_1
g784.t1_1	CALCHIM00000050907_1
g792.t1_1	CALCHIM00000050894_1
g796.t1_1	CALCHIM00000050882_1
g797.t1_1	CALCHIM00000050881_1
g798.t1_1	CALCHIM00000050879_1
g800.t1_1	CALCHIM00000050876_1
g801.t1_1	CALCHIM00000050874_1
g804.t1_1	CALCHIM00000045177_1
g806.t1_1	CALCHIM00000045170_1
g807.t1_1	CALCHIM00000045167_1
g808.t2_1	CALCHIM00000045164_1
g811.t1_1	CALCHIM00000050914_1
g812.t1_1	CALCHIM00000050905_1
g816.t1_1	CALCHIM00000050900_1
g819.t1_1	CALCHIM00000050891_1
g820.t1_1	CALCHIM00000050890_1
g822.t1_1	CALCHIM00000050886_1
g825.t1_1	CALCHIM00000050878_1
g828.t1_1	CALCHIM00000050872_1
g829.t1_1	CALCHIM00000050871_1
g830.t1_1	CALCHIM00000050868_1
g831.t2_1	CALCHIM00000050866_1
g833.t2_1	CALCHIM00000050855_1
g834.t1_1	CALCHIM00000050856_1
g836.t1_1	CALCHIM00000039806_1
g837.t1_1	CALCHIM00000039805_1
g838.t1_1	CALCHIM00000039804_1
g841.t1_1	CALCHIM00000039803_1
g842.t1_1	CALCHIM00000039801_1
g843.t1_1	CALCHIM00000039795_1
g844.t1_1	CALCHIM00000013392_1
g845.t1_1	CALCHIM00000039793_1
g847.t1_1	CALCHIM00000039792_1
g848.t1_1	CALCHIM00000039791_1
g849.t1_1	CALCHIM00000039790_1
g850.t2_1	CALCHIM00000039783_1
g851.t1_1	CALCHIM00000039774_1
g856.t1_1	CALCHIM00000025569_1
g857.t2_1	CALCHIM00000039756_1
g858.t1_1	CALCHIM00000007537_1
g859.t1_1	CALCHIM00000058363_1
g860.t1_1	CALCHIM00000058361_1
g861.t1_1	CALCHIM00000058360_1
g864.t2_1	CALCHIM00000058346_1
g865.t1_1	CALCHIM00000058343_1
g867.t1_1	CALCHIM00000058342_1
g868.t1_1	CALCHIM00000007561_1
g869.t2_1	CALCHIM00000007560_1
g870.t1_1	CALCHIM00000007558_1
g872.t1_1	CALCHIM00000007556_1
g873.t1_1	CALCHIM00000007553_1
g874.t1_1	CALCHIM00000007539_1
g875.t1_1	CALCHIM00000007540_1
g876.t2_1	CALCHIM00000007550_1
g877.t2_1	CALCHIM00000007552_1
g878.t1_1	CALCHIM00000048235_1
g879.t1_1	CALCHIM00000007538_1
g880.t1_1	CALCHIM00000058367_1
g881.t1_1	CALCHIM00000058372_1
g882.t1_1	CALCHIM00000050274_1
g883.t1_1	CALCHIM00000058373_1
g884.t1_1	CALCHIM00000058374_1
g885.t1_1	CALCHIM00000058375_1
g886.t1_1	CALCHIM00000058377_1
g888.t1_1	CALCHIM00000058386_1
g890.t1_1	CALCHIM00000053883_1
g891.t2_1	CALCHIM00000053077_1
g892.t1_1	CALCHIM00000053084_1
g893.t1_1	CALCHIM00000053085_1
g894.t1_1	CALCHIM00000053087_1
g895.t1_1	CALCHIM00000053090_1
g896.t1_1	CALCHIM00000053094_1
g897.t1_1	CALCHIM00000053096_1
g898.t1_1	CALCHIM00000053098_1
g900.t1_1	CALCHIM00000047097_1
g901.t1_1	CALCHIM00000047104_1
g902.t1_1	CALCHIM00000047105_1
g904.t1_1	CALCHIM00000047107_1
g907.t1_1	CALCHIM00000047140_1
g909.t1_1	CALCHIM00000047153_1
g912.t1_1	CALCHIM00000047158_1
g913.t1_1	CALCHIM00000047167_1
g914.t1_1	CALCHIM00000047176_1
g915.t2_1	CALCHIM00000047204_1
g917.t1_1	CALCHIM00000047206_1
g918.t1_1	CALCHIM00000047211_1
g919.t1_1	CALCHIM00000047213_1
g920.t2_1	CALCHIM00000047217_1
g921.t1_1	CALCHIM00000047227_1
g922.t1_1	CALCHIM00000047235_1
g923.t1_1	CALCHIM00000047237_1
g924.t1_1	CALCHIM00000047245_1
g926.t1_1	CALCHIM00000047270_1
g927.t2_1	CALCHIM00000047272_1
g930.t2_1	CALCHIM00000047278_1
g931.t1_1	CALCHIM00000047286_1
g932.t1_1	CALCHIM00000003454_1
g934.t1_1	CALCHIM00000003452_1
g935.t2_1	CALCHIM00000002665_1
