g6.t1_1	rna-XM_008203325.3_1
g341.t1_1	rna-XM_964702.5_1
g342.t1_1	rna-XM_008198590.3_1
g343.t1_1	rna-XM_008199219.3_1
g344.t3_1	rna-XM_064357621.1_1
g345.t1_1	rna-XM_008199222.3_1
g349.t1_1	rna-XM_015983039.2_1
g350.t1_1	rna-XM_015979299.2_1
g352.t1_1	rna-XM_064357570.1_1
g353.t1_1	rna-XM_015982816.2_1
g355.t1_1	rna-XM_015983115.2_1
g358.t1_1	rna-XM_965068.5_1
g359.t1_1	rna-XM_965953.5_1
g360.t2_1	rna-XM_008198961.3_1
g361.t1_1	rna-XM_015982872.2_1
g362.t1_1	rna-XM_015982868.2_1
g364.t1_1	rna-XM_015982867.2_1
g365.t2_1	rna-NM_001170758.1_1
g367.t1_1	rna-XM_008199501.3_1
g368.t1_1	rna-XM_064358571.1_1
g369.t1_1	rna-XM_015980895.2_1
g371.t3_1	rna-XM_008196495.3_1
g373.t1_1	rna-XM_008196498.3_1
g374.t1_1	rna-XM_015981028.2_1
g375.t1_1	rna-XM_015981030.2_1
g377.t2_1	rna-XM_001813995.4_1
g378.t1_1	rna-XM_966886.4_1
g379.t1_1	rna-XM_971262.4_1
g381.t1_1	rna-XM_968935.4_1
g382.t1_1	rna-XM_008195357.3_1
g385.t1_1	rna-XM_008202377.3_1
g393.t1_1	rna-XM_015979975.2_1
g394.t1_1	rna-XM_008195062.3_1
g395.t1_1	rna-XM_964139.5_1
g402.t1_1	rna-XM_967830.5_1
g403.t1_1	rna-XM_967787.5_1
g404.t1_1	rna-XM_967656.4_1
g405.t1_1	rna-XM_965758.4_1
g406.t1_1	rna-XM_008194892.3_1
g407.t1_1	rna-XM_968401.5_1
g408.t1_1	rna-XM_970427.5_1
g409.t2_1	rna-XM_008194894.3_1
g411.t1_1	rna-XM_064358182.1_1
g412.t1_1	rna-XM_008202224.3_1
g413.t1_1	rna-XM_969235.5_1
g415.t1_1	rna-XM_008194207.3_1
g419.t1_1	rna-XM_008197169.3_1
g421.t1_1	rna-XM_961455.5_1
g422.t1_1	rna-NM_001114308.1_1
g425.t1_1	rna-XM_008195519.3_1
g426.t1_1	rna-XM_064356705.1_1
g427.t4_1	rna-XM_008195517.3_1
g428.t1_1	rna-XM_015980088.2_1
g431.t1_1	rna-XM_008195333.3_1
g432.t1_1	rna-XM_962263.5_1
g433.t1_1	rna-XM_962183.4_1
g434.t1_1	rna-XM_962099.4_1
g435.t1_1	rna-XM_964334.5_1
g436.t1_1	rna-XM_964120.4_1
g437.t1_1	rna-XM_001810805.4_1
g438.t1_1	rna-XM_008194483.3_1
g441.t1_1	rna-XM_064354621.1_1
g442.t1_1	rna-XM_008199858.3_1
g447.t1_1	rna-XM_008192121.3_1
g449.t1_1	rna-XM_008193538.3_1
g450.t2_1	rna-XM_965993.4_1
g451.t3_1	rna-XM_015983228.2_1
g452.t1_1	rna-XM_015983225.2_1
g453.t1_1	rna-XM_965782.5_1
g454.t1_1	rna-XM_008193796.3_1
g455.t1_1	rna-XM_963188.5_1
g456.t1_1	rna-XM_015979182.2_1
g458.t1_1	rna-XM_008200088.3_1
g459.t1_1	rna-XM_968773.4_1
g460.t1_1	rna-XM_008200756.3_1
g461.t6_1	rna-XM_008199776.3_1
g463.t1_1	rna-XM_064360054.1_1
g464.t1_1	rna-XM_008193513.3_1
g465.t1_1	rna-XM_969529.4_1
g466.t1_1	rna-XM_008194343.3_1
g467.t1_1	rna-XM_001809529.4_1
g468.t1_1	rna-XM_015980396.2_1
g469.t1_1	rna-XM_966186.4_1
g470.t1_1	rna-XM_964212.5_1
g471.t1_1	rna-XM_964657.4_1
g472.t1_1	rna-XM_962002.4_1
g473.t1_1	rna-XM_008199414.3_1
g474.t1_1	rna-XM_015983062.2_1
g475.t2_1	rna-XM_961571.4_1
g476.t1_1	rna-XM_008193924.3_1
g477.t1_1	rna-XM_064358802.1_1
g478.t1_1	rna-XM_015980351.2_1
g480.t2_1	rna-XM_964677.4_1
g481.t1_1	rna-XM_008193328.3_1
g482.t1_1	rna-XM_008193820.3_1
g483.t1_1	rna-XM_008193650.3_1
g484.t1_1	rna-XM_015979032.2_1
g487.t1_1	rna-XM_962591.5_1
g489.t2_1	rna-XM_008193654.3_1
g490.t1_1	rna-XM_965284.5_1
g493.t1_1	rna-XM_962139.5_1
g494.t2_1	rna-XM_008202591.1_1
g495.t1_1	rna-XM_008203286.3_1
g496.t1_1	rna-XM_064358232.1_1
g497.t2_1	rna-XM_969642.5_1
g498.t1_1	rna-XM_008196620.3_1
g500.t1_1	rna-XM_967469.4_1
g501.t1_1	rna-XM_961953.4_1
g502.t1_1	rna-XM_001813962.4_1
g503.t1_1	rna-XM_001814241.2_1
g504.t1_1	rna-XM_064357763.1_1
g505.t1_1	rna-XM_008192088.3_1
g507.t1_1	rna-XM_008203341.3_1
g508.t1_1	rna-XM_966523.4_1
g509.t1_1	rna-XM_015982925.2_1
g510.t2_1	rna-XM_008202639.3_1
g511.t1_1	rna-XM_008202672.3_1
g512.t1_1	rna-XM_008195139.3_1
g513.t1_1	rna-XM_008193537.3_1
g514.t1_1	rna-XM_015980341.2_1
g519.t1_1	rna-XM_969698.5_1
g520.t1_1	rna-XM_008199483.3_1
g521.t1_1	rna-XM_964478.5_1
g524.t1_1	rna-XM_064357140.1_1
g525.t1_1	rna-XM_962512.4_1
g529.t1_1	rna-XM_064355873.1_1
g530.t1_1	rna-XM_969941.5_1
g531.t1_1	rna-XM_015983843.2_1
g532.t1_1	rna-XM_964189.4_1
g533.t1_1	rna-XM_964119.5_1
g534.t1_1	rna-XM_963897.4_1
g535.t1_1	rna-XM_008193795.3_1
g537.t1_1	rna-XM_963755.4_1
g538.t2_1	rna-XM_008195989.3_1
g539.t3_1	rna-XM_008200371.3_1
g540.t1_1	rna-XM_963681.4_1
g542.t2_1	rna-XM_015984710.2_1
g543.t1_1	rna-XM_064354677.1_1
g544.t2_1	rna-XM_064354633.1_1
g545.t1_1	rna-XM_970077.4_1
g546.t1_1	rna-XM_064356604.1_1
g548.t2_1	rna-XM_965470.4_1
g549.t1_1	rna-XM_008203077.3_1
g550.t2_1	rna-XM_008201910.3_1
g551.t1_1	rna-XM_008197367.3_1
g552.t1_1	rna-XM_001807726.4_1
g553.t2_1	rna-XM_008195524.3_1
g554.t1_1	rna-XM_064358635.1_1
g555.t1_1	rna-XM_965572.5_1
g556.t1_1	rna-XM_965638.4_1
g559.t1_1	rna-XM_015979078.2_1
g562.t1_1	rna-XM_962329.4_1
g567.t1_1	rna-XM_015984529.2_1
g571.t1_1	rna-XM_961491.5_1
g572.t1_1	rna-XM_969756.5_1
g576.t1_1	rna-XM_008197104.3_1
g578.t1_1	rna-XM_965822.5_1
g587.t1_1	rna-XM_967645.4_1
g588.t1_1	rna-XM_015980783.2_1
g590.t1_1	rna-XM_964847.5_1
g591.t1_1	rna-XM_008201101.3_1
g592.t2_1	rna-XM_015979186.2_1
g593.t1_1	rna-XM_965593.5_1
g594.t2_1	rna-XM_008202235.3_1
g595.t1_1	rna-XM_008195675.3_1
g596.t1_1	rna-XM_015977789.2_1
g598.t1_1	rna-XM_967825.4_1
g601.t1_1	rna-XM_963231.4_1
g602.t2_1	rna-XM_970683.5_1
g612.t1_1	rna-NM_001168313.1_1
g613.t1_1	rna-XM_968199.5_1
g614.t1_1	rna-XM_968432.5_1
g617.t1_1	rna-XM_965251.3_1
g618.t1_1	rna-XM_008201143.3_1
g619.t1_1	rna-XM_008201721.3_1
g620.t1_1	rna-XM_961971.4_1
g621.t1_1	rna-XM_015984607.2_1
g622.t1_1	rna-XM_008201557.3_1
g623.t1_1	rna-XM_008202909.3_1
g625.t2_1	rna-XM_969201.4_1
g626.t2_1	rna-XM_015985106.2_1
g628.t1_1	rna-XM_008194653.3_1
g629.t1_1	rna-XM_064356329.1_1
g631.t1_1	rna-XM_968010.5_1
g636.t1_1	rna-XM_008202838.3_1
g637.t1_1	rna-XM_008193476.3_1
g638.t1_1	rna-XM_015977705.2_1
g643.t2_1	rna-XM_962062.4_1
g644.t2_1	rna-XM_001807380.4_1
g645.t1_1	rna-XM_008197778.3_1
g646.t2_1	rna-XM_962235.5_1
g648.t1_1	rna-XM_962320.3_1
g649.t2_1	rna-XM_967287.4_1
g651.t2_1	rna-XM_008196587.3_1
g652.t1_1	rna-XM_064358370.1_1
g654.t1_1	rna-XM_961518.5_1
g655.t1_1	rna-XM_008203112.3_1
g656.t1_1	rna-XM_015981077.2_1
g657.t1_1	rna-XM_008193730.3_1
g658.t1_1	rna-XM_008203113.3_1
g659.t1_1	rna-XM_962063.4_1
g660.t1_1	rna-XM_015977744.2_1
g661.t2_1	rna-XM_064356771.1_1
g662.t1_1	rna-XM_969881.4_1
g663.t2_1	rna-XM_015979399.2_1
g664.t1_1	rna-XM_008196616.3_1
g665.t1_1	rna-XM_968974.4_1
g666.t1_1	rna-XM_008197426.3_1
g667.t1_1	rna-XM_015981210.2_1
g668.t1_1	rna-XM_964905.4_1
g669.t1_1	rna-XM_064357588.1_1
g671.t1_1	rna-XM_967646.4_1
g672.t1_1	rna-XM_064357723.1_1
g673.t1_1	rna-XM_967565.5_1
g674.t1_1	rna-XM_001811595.4_1
g675.t1_1	rna-XM_964519.5_1
g676.t1_1	rna-XM_008198900.3_1
g677.t1_1	rna-XM_008198884.3_1
g678.t2_1	rna-XM_015982570.1_1
g679.t1_1	rna-XM_008199182.3_1
g680.t1_1	rna-XM_962722.4_1
g681.t1_1	rna-XM_008201096.3_1
g682.t1_1	rna-XM_962564.4_1
g683.t1_1	rna-XM_969270.4_1
g684.t1_1	rna-XM_008197466.3_1
g685.t1_1	rna-XM_969193.5_1
g686.t1_1	rna-XM_008197091.3_1
g687.t1_1	rna-XM_966828.5_1
g688.t1_1	rna-XM_962128.5_1
g689.t1_1	rna-XM_965963.3_1
g691.t1_1	rna-XM_008201546.3_1
g700.t1_1	rna-NM_001293577.1_1
g701.t1_1	rna-XM_964019.2_1
g702.t1_1	rna-XM_064359849.1_1
g704.t2_1	rna-XM_008200978.3_1
g705.t2_1	rna-XM_015978011.2_1
g706.t2_1	rna-XM_008201331.3_1
g707.t1_1	rna-XM_008192475.2_1
g708.t1_1	rna-XM_008192467.3_1
g710.t1_1	rna-XM_962408.4_1
g711.t1_1	rna-XM_967521.4_1
g712.t1_1	rna-XM_967213.5_1
g715.t1_1	rna-XM_008192892.3_1
g716.t1_1	rna-XM_008202848.3_1
g717.t2_1	rna-XM_008203461.3_1
g718.t1_1	rna-XM_964009.5_1
g719.t1_1	rna-XM_008203465.3_1
g720.t1_1	rna-XM_064356194.1_1
g721.t1_1	rna-XM_008203467.3_1
g722.t1_1	rna-XM_964298.5_1
g723.t1_1	rna-XM_969227.5_1
g725.t2_1	rna-XM_966471.5_1
g726.t1_1	rna-XM_963915.5_1
g727.t1_1	rna-XM_001811880.4_1
g734.t1_1	rna-XM_001810383.4_1
g737.t1_1	rna-XM_008201980.3_1
g738.t1_1	rna-XM_001810661.4_1
g741.t1_1	rna-XM_008192431.3_1
g743.t1_1	rna-XM_008192430.3_1
g747.t1_1	rna-XM_961402.4_1
g748.t1_1	rna-XM_015977451.2_1
g749.t2_1	rna-XM_008193146.3_1
g750.t1_1	rna-XM_008193145.3_1
g753.t1_1	rna-XM_969304.5_1
g755.t1_1	rna-XM_008192594.3_1
g757.t1_1	rna-XM_008192595.3_1
g760.t1_1	rna-XM_064354940.1_1
g761.t1_1	rna-XM_008202385.3_1
g763.t2_1	rna-XM_015978470.2_1
g764.t1_1	rna-XM_963109.4_1
g765.t1_1	rna-XM_962236.5_1
g766.t2_1	rna-XM_064354922.1_1
g767.t2_1	rna-XM_064354918.1_1
g768.t1_1	rna-XM_008197357.3_1
g769.t1_1	rna-XM_966279.4_1
g770.t1_1	rna-XM_966691.4_1
g771.t1_1	rna-XM_966631.4_1
g773.t1_1	rna-XM_015977591.2_1
g776.t1_1	rna-XM_015978748.2_1
g780.t1_1	rna-XM_015978736.2_1
g792.t1_1	rna-XM_064358159.1_1
g796.t1_1	rna-XM_962425.5_1
g797.t1_1	rna-XM_008203371.3_1
g798.t1_1	rna-XM_962084.4_1
g799.t1_1	rna-XM_961994.4_1
g800.t1_1	rna-XM_015980835.2_1
g802.t1_1	rna-XM_961556.4_1
g804.t1_1	rna-XM_001810922.4_1
g805.t1_1	rna-XM_961259.5_1
g807.t1_1	rna-XM_965626.5_1
g811.t1_1	rna-XM_008193265.3_1
g817.t1_1	rna-XM_008193744.3_1
g816.t1_1	rna-XM_008193266.3_1
g820.t1_1	rna-XM_964101.4_1
g821.t1_1	rna-XM_966229.4_1
g822.t1_1	rna-XM_008203388.3_1
g829.t1_1	rna-XM_008202153.3_1
g830.t1_1	rna-XM_064358589.1_1
g831.t2_1	rna-XM_064358202.1_1
g842.t1_1	rna-XM_015982287.2_1
g843.t1_1	rna-XM_008201909.3_1
g845.t1_1	rna-XM_969786.4_1
g847.t1_1	rna-XM_064359493.1_1
g848.t1_1	rna-XM_008193256.3_1
g849.t1_1	rna-XM_969921.4_1
g850.t2_1	rna-XM_008193226.3_1
g851.t1_1	rna-XM_015978588.2_1
g857.t2_1	rna-XM_008200870.3_1
g859.t1_1	rna-XM_967131.4_1
g860.t1_1	rna-XM_064356552.1_1
g861.t1_1	rna-XM_008196168.3_1
g864.t2_1	rna-XM_008196170.3_1
g865.t1_1	rna-XM_015980445.2_1
g867.t1_1	rna-XM_015979702.2_1
g868.t1_1	rna-NM_001160073.1_1
g869.t2_1	rna-XM_965217.4_1
g872.t1_1	rna-XM_001812514.4_1
g873.t1_1	rna-XM_962419.5_1
g875.t1_1	rna-XM_008193978.2_1
g876.t2_1	rna-XM_970312.5_1
g877.t2_1	rna-XM_064359051.1_1
g880.t1_1	rna-XM_001808880.4_1
g881.t1_1	rna-XM_962163.5_1
g883.t1_1	rna-XM_001808977.4_1
g884.t1_1	rna-XM_008195556.3_1
g886.t1_1	rna-XM_965935.4_1
g888.t1_1	rna-XM_008203151.3_1
g891.t2_1	rna-XM_008194820.3_1
g892.t1_1	rna-XM_008194821.3_1
g893.t1_1	rna-XM_962574.5_1
g894.t1_1	rna-XM_966536.5_1
g895.t1_1	rna-XM_001807944.4_1
g896.t1_1	rna-XM_008195313.3_1
g897.t1_1	rna-XM_064357169.1_1
g901.t1_1	rna-XM_008194335.3_1
g904.t1_1	rna-XM_015980442.2_1
g907.t1_1	rna-XM_008195206.3_1
g909.t1_1	rna-XM_064356921.1_1
g910.t1_1	rna-XM_964452.4_1
g911.t1_1	rna-XM_008199274.3_1
g912.t1_1	rna-XM_961502.5_1
g913.t1_1	rna-XM_008194796.3_1
g914.t1_1	rna-XM_008196098.3_1
g915.t2_1	rna-XM_008202238.3_1
g917.t1_1	rna-XM_008202237.3_1
g918.t1_1	rna-XM_961290.5_1
g919.t1_1	rna-XM_964900.5_1
g920.t2_1	rna-XM_015977786.2_1
g921.t1_1	rna-XM_968720.4_1
g922.t1_1	rna-XM_008194238.3_1
g923.t1_1	rna-XM_961541.4_1
g924.t1_1	rna-XM_008193217.3_1
g926.t1_1	rna-XM_008193658.3_1
g927.t2_1	rna-XM_969567.5_1
g930.t2_1	rna-XM_008201428.3_1
g931.t1_1	rna-XM_064358080.1_1
g934.t1_1	rna-NM_001098829.1_1
g935.t2_1	rna-XM_064358695.1_1
g936.t1_1	rna-XM_008194331.3_1
g938.t1_1	rna-XM_008194333.3_1
g939.t1_1	rna-XM_966703.4_1
g940.t1_1	rna-XM_966676.4_1
g941.t1_1	rna-XM_008194634.3_1
g944.t1_1	rna-XM_961369.4_1
g947.t1_1	rna-XM_966099.4_1
g948.t1_1	rna-XM_962295.5_1
g949.t1_1	rna-XM_001811943.4_1
g952.t3_1	rna-XM_015979928.2_1
g954.t1_1	rna-XM_008201929.3_1
g955.t2_1	rna-XM_015979923.2_1
g957.t1_1	rna-XM_966054.5_1
g958.t1_1	rna-XM_001811749.4_1
g960.t1_1	rna-XM_969623.4_1
g961.t1_1	rna-XM_961368.4_1
g964.t1_1	rna-XM_064357042.1_1
g965.t3_1	rna-XM_064359481.1_1
g966.t1_1	rna-XM_064356698.1_1
g967.t1_1	rna-XM_064359486.1_1
g968.t1_1	rna-XM_965023.4_1
g971.t3_1	rna-XM_064355099.1_1
g972.t1_1	rna-NM_001167848.1_1
g973.t1_1	rna-XM_008192531.3_1
g974.t1_1	rna-XM_064355580.1_1
g975.t1_1	rna-XM_968775.2_1
g983.t1_1	rna-XM_008192483.3_1
g984.t1_1	rna-XM_008192476.3_1
g985.t1_1	rna-XM_966458.5_1
g986.t1_1	rna-XM_064359705.1_1
g988.t1_1	rna-XM_961626.5_1
g990.t4_1	rna-XM_064356376.1_1
g991.t1_1	rna-XM_962667.4_1
g992.t2_1	rna-XM_969900.4_1
g994.t1_1	rna-XM_966444.5_1
g995.t1_1	rna-XM_965202.4_1
g997.t1_1	rna-XM_962828.5_1
g999.t1_1	rna-XM_008198548.3_1
g1000.t1_1	rna-XM_008198547.3_1
g1001.t2_1	rna-XM_970458.5_1
g1002.t1_1	rna-XM_965152.5_1
g1003.t1_1	rna-XM_961826.3_1
g1004.t1_1	rna-XM_962000.5_1
g1005.t1_1	rna-XM_962201.5_1
g1006.t2_1	rna-XM_962281.4_1
g1007.t2_1	rna-XM_064358135.1_1
g1008.t1_1	rna-XM_961271.4_1
g1009.t1_1	rna-XM_966609.5_1
g1010.t1_1	rna-XM_966726.4_1
g1012.t1_1	rna-XM_064357199.1_1
g1013.t1_1	rna-XM_064357459.1_1
g1014.t1_1	rna-XM_008198555.3_1
g1015.t1_1	rna-XM_008201207.3_1
g1016.t1_1	rna-NM_001170733.1_1
g1017.t1_1	rna-XM_008198466.3_1
g1019.t2_1	rna-XM_968647.4_1
g1020.t2_1	rna-XM_962479.4_1
g1021.t1_1	rna-XM_965714.4_1
g1022.t1_1	rna-XM_965779.5_1
g1033.t1_1	rna-XM_008198863.3_1
g1034.t1_1	rna-XM_015982734.2_1
g1035.t1_1	rna-XM_015982821.2_1
g1037.t1_1	rna-XM_008198866.3_1
g1039.t1_1	rna-XM_064357456.1_1
g1040.t1_1	rna-XM_967932.5_1
g1041.t1_1	rna-XM_015979133.2_1
g1042.t1_1	rna-XM_008193451.3_1
g1043.t1_1	rna-XM_015979587.2_1
g1044.t1_1	rna-XM_969415.4_1
g1045.t3_1	rna-XM_064356882.1_1
g1046.t1_1	rna-XM_064358226.1_1
g1047.t1_1	rna-XM_015982922.2_1
g1048.t1_1	rna-XM_064357446.1_1
g1049.t1_1	rna-XM_969393.3_1
g1050.t1_1	rna-XM_064357426.1_1
g1052.t2_1	rna-XM_015983022.2_1
g1053.t1_1	rna-XM_008199131.3_1
g1054.t1_1	rna-XM_015983020.2_1
g1056.t1_1	rna-XM_008199132.3_1
g1057.t1_1	rna-XM_008199122.3_1
g1061.t1_1	rna-XM_966411.5_1
g1062.t1_1	rna-XM_015985039.2_1
g1063.t1_1	rna-XM_015985281.2_1
g1064.t2_1	rna-XM_963860.5_1
g1066.t1_1	rna-XM_008202110.3_1
g1067.t1_1	rna-XM_963412.5_1
g1070.t2_1	rna-XM_963702.4_1
g1071.t1_1	rna-XM_008193556.3_1
g1072.t1_1	rna-XM_969399.4_1
g1073.t1_1	rna-XM_015978431.2_1
g1075.t1_1	rna-XM_008192604.3_1
g1082.t1_1	rna-XM_961223.5_1
g1084.t1_1	rna-XM_015977756.2_1
g1087.t1_1	rna-XM_967018.4_1
g1091.t1_1	rna-XM_064357211.1_1
g1093.t1_1	rna-XM_008192716.3_1
g1094.t1_1	rna-XM_008201136.3_1
g1095.t1_1	rna-XM_962881.4_1
g1096.t1_1	rna-XM_969902.4_1
g1097.t1_1	rna-XM_965753.4_1
g1098.t1_1	rna-XM_965688.4_1
