ortholog_number	focal_transcript	LFC_abdomen	FDR_pval_abdomen	LFC_head+thorax	FDR_pval_head+thorax	level_most_dist_ortholog	chromosome	C_chinensis_dNdS	C_chinensis_dS	C_chinensis_dN	C_chinensis_positive_selection	B_siliquastri_dNdS	B_siliquastri_dS	B_siliquastri_dN	B_siliquastri_positive_selection	A_obtectus_dNdS	A_obtectus_dS	A_obtectus_dN	A_obtectus_positive_selection
817	g427.t4	-0.943671961944369	1.3835674965919502e-09	-0.485999715148334	0.003957011418187	5	0	0.0983083306734759	0.3133	0.0308	False	0.0315849649849935	0.6997	0.0221	False	0.0451644575355915	0.8148	0.0368	False
8891	g9744.t1	1.39168375475473	0.0279297971207389	-0.246097920242695	0.750420584479245	5	0	0.186948061667415	0.6681	0.1249	False	0.1317666666666666	3.0	0.3953	False	0.1689621403121288	4.7993	0.8109	False
485	g547.t1	2.11908682074786	1.95354520919274e-20	0.0960395233449756	0.765056320568472	4	0	0.0253988928687723	0.6142	0.0156	False	0.1564027370478983	2.2506	0.352	False	0.0311644687733267	1.6076	0.0501	False
2370	g9217.t1	-0.424943878327601	0.0019901815611034	-0.301520809079716	0.0474061430378937	5	0	0.0702702702702702	0.37	0.026	False	0.0369962563312045	0.9082	0.0336	False	0.0323875303341422	1.0714	0.0347	False
7516	g4158.t1	1.83445675203469	1.4114216855094502e-54	0.595871371211279	2.39686995329885e-05	5	0	0.1551724137931034	0.3132	0.0486	False	0.1172022684310018	0.7406	0.0868	False	0.1179953187388131	0.7263	0.0857	False
5660	g10784.t1	0.978088713620384	1.27336496335364e-25	0.670144200578356	1.5916112496265e-09	5	0	0.1212298112473243	0.5139	0.0623	False	0.1455378572987126	0.9166	0.1334	False	0.1364385820280296	1.213	0.1655	False
779	g999.t1	-0.477965949352146	0.0048763823958581	-0.347410675958731	0.0916375902566701	5	0	0.0869885735348322	0.2713	0.0236	False	0.2131886712695505	0.7097	0.1513	True	0.096306245802552	0.7445	0.0717	False
7984	g9401.t1		1.0		1.0	5	0	0.0691056910569105	0.2952	0.0204	False	0.0750161672774304	0.4639	0.0348	False	0.0757759456838021	0.8248	0.0625	False
7553	g5360.t1	1.08933533254079	1.0630152766963e-05	0.695184949068195	0.0147257815454182	4	0	0.1740331491712707	0.2896	0.0504	True	0.1324514400535834	0.5972	0.0791	False				
2335	g9172.t1	-7.17896338964582	7.22339115093599e-07	-3.1127858356646	0.0227510755428812	5	0	0.1000964785335263	0.4146	0.0415	False	0.0210489387826697	1.1402	0.024	False	0.1123834149044233	1.0829	0.1217	False
5625	g10783.t1	0.219141734187808	0.224337434349125	-1.13986708491088	7.318524053425189e-11	5	0					0.1504349927501208	0.8276	0.1245	False	0.1450041094282024	0.8517	0.1235	False
7182	g4053.t1	0.0548916399878218	0.83682737234789	0.304362068845955	0.296582088210758	5	0	0.0309590316573556	0.4296	0.0133	False	0.0345945945945945	0.8325	0.0288	False	0.0293159609120521	0.8596	0.0252	False
6984	g4601.t1	0.470155736591193	6.711639889034e-10	-0.0966995776933414	0.290879821607915	5	0					0.0307242136064374	0.6835	0.021	False				
1845	g11442.t1	1.55133762659116	3.9963595842179003e-22	-0.384008932875407	0.0387551683579572	4	0					0.2111222949169602	1.1922	0.2517	False	0.2002880941942756	1.5967	0.3198	False
6516	g9784.t1	0.12063815797601	0.224295075355936	-0.0581350361949015	0.671986109514057	5	0	0.0397569444444444	0.576	0.0229	False	0.0633554947203754	0.7671	0.0486	False	0.0656273199703043	0.6735	0.0442	False
3370	g7851.t1	-0.353189354994588	0.0448907883229003	-0.864882786854476	2.11274015064862e-06	5	0	0.1493322541481181	0.2471	0.0369	False	0.240282131661442	0.638	0.1533	False	0.0928015041633091	0.7446	0.0691	False
1006	g174.t1	-0.66945375604447	1.25349895922438e-15	-0.0653793472759721	0.541020390207406	5	0	0.0529595015576324	0.321	0.017	False	0.0627938213566151	0.5956	0.0374	False	0.0491180461329715	0.737	0.0362	False
4660	g6112.t1	-0.0918748056719077	0.517365148768476	-0.0763029068500963	0.66687375006222	5	0	0.0337048110899701	0.3679	0.0124	True	0.0251597051597051	1.0175	0.0256	False	0.0336177041979897	1.1839	0.0398	False
1492	g12189.t3	0.331371558708182	0.0076394768935989	-0.773703071993661	9.4542890878737e-10	4	0	0.8243559718969554	0.2135	0.176	True	0.297077922077922	0.2464	0.0732	True	0.5309143686502178	0.3445	0.1829	True
6182	g10093.t1	1.23596595181012	1.50697054498125e-25	0.173673578736453	0.229554660859545	5	0	0.1155244755244755	0.3575	0.0413	False	0.1333220682663062	0.5918	0.0789	False	0.1075988377212292	1.1357	0.1222	False
3335	g8308.t1	-0.148625246276657	0.210178928944556	-0.221617308208813	0.0942156621426273	4	0	0.0276497695852534	0.4774	0.0132	False	0.0564524751416657	0.9353	0.0528	True	0.0305289814293753	1.4216	0.0434	False
6553	g9828.t1	-0.0403510664573431	0.971032255787174	-5.80877418919324	1.32868375706655e-05	3	0	0.0447032306536438	0.5324	0.0238	False	0.044482690143642	1.5107	0.0672	False	0.0879794928133296	1.0923	0.0961	False
1800	g2226.t1	-0.366951776197532	0.0047629760196141	-0.365592345794806	0.0139533626169706	5	0	0.083652129558786	0.3921	0.0328	False	0.040119704479566	1.0693	0.0429	False				
4625	g6102.t1	-9.76064366757583	1.35824748582938e-41	-4.45429506575954	0.0059444959067613	2	0					0.3671009375380494	0.8213	0.3015	False				
1043	g3157.t1	-2.18705136081932	9.75502627620082e-38	-0.432149026498408	0.0139248708173925	4	0	0.0805758085623481	0.5349	0.0431	False	0.1113225499524262	1.1561	0.1287	False	0.1374077976817702	1.4235	0.1956	False
5856	g10840.t1	-0.956607174584193	4.91581424752659e-18	-0.169833073081693	0.191088247900558	5	0	0.0273728057125855	0.3361	0.0092	False	0.0449849614227801	0.7647	0.0344	False	0.061867501304121	0.9585	0.0593	False
7363	g4462.t1	0.0813733297871257	0.546680868094837	1.16980891421789	1.6716545037323e-17	4	0	0.1842952687639336	0.4037	0.0744	False	0.2521651270207852	0.6928	0.1747	False	0.1787562414888788	1.1015	0.1969	False
2505	g9150.t4	-0.411768134927913	0.0332959611159084	1.004704412452	1.69080175009375e-06	5	0	0.157595450852965	0.2462	0.0388	False	0.0740682987681272	0.6413	0.0475	False	0.0875974658869395	0.8208	0.0719	False
5015	g3259.t1	-2.56492300755713	1.43533895743116e-05	-0.814596253760687	0.0910904199213723	4	0	0.0291911615649706	0.4933	0.0144	False	0.0595520693570027	0.9689	0.0577	False	0.0255150466193959	1.7911	0.0457	False
2997	g7775.t1	1.16310170714434	5.27714321946585e-14	0.192367494282961	0.327076965922082	5	0	0.0507195093182354	0.4239	0.0215	False	0.101652574942352	1.0408	0.1058	False	0.0669170961824058	1.1447	0.0766	False
2540	g7940.t2	0.203032636043999	0.217366942394402	0.0326276182026203	0.881970578519489	5	0	0.0454062665958576	0.3766	0.0171	False	0.044041151311987	0.8651	0.0381	False	0.0455588910471481	1.1326	0.0516	False
7326	g4507.t2	-2.07508821150465	2.43449960152421e-48	-0.773660991233957	1.07685686334938e-07	5	0	0.1808669656203288	0.2676	0.0484	False	0.0864464692482915	0.878	0.0759	False	0.1492980561555075	1.1112	0.1659	False
5813	g10636.t1	1.34040613591396	8.75905666743958e-27	1.42812836409984	8.97754495030884e-17	5	0	0.0653102235619191	0.3981	0.026	False	0.0523815324643683	0.8209	0.043	False	0.047588483403631	1.0906	0.0519	False
598	g535.t1	0.631043327937378	1.27888784847232e-12	-0.0073178600421227	0.955219776751336	5	0	0.0170027678924476	0.5058	0.0086	False	0.0612941330883318	0.7619	0.0467	False	0.0218481375358166	2.792	0.061	False
5050	g5766.t1	-0.0436419649531711	0.821236701467666	-0.442254543520694	0.0250161015879719	5	0	0.0682333539476396	0.4851	0.0331	False	0.052552269730646	1.0618	0.0558	False	0.0284643048435228	1.3069	0.0372	False
149	g838.t1	-1.95012553567358	0.0161903391092021	-0.972294612625536	0.0514071813580275	2	0	0.2644762524398178	0.6148	0.1626	False	0.1836095977744291	1.7254	0.3168	False				
5481	g6794.t1	0.718042845286999	0.0009161971895097	0.887145659615925	0.0003760850820803	3	0	0.0675004963271788	0.5037	0.034	False	0.0935271530444322	0.7292	0.0682	False	0.0587695133149678	1.4157	0.0832	False
2191	g12019.t2	-0.178262241271146	0.770379975382905	-0.853430281889518	0.214650875882962	4	0					0.189147085551084	0.7703	0.1457	True				
3997	g13150.t2	-0.882399235918488	2.90033320081679e-24	-0.4792315476101	3.6596436514939e-07	5	0	0.2373158756137479	0.3666	0.087	False	0.2615691655232631	0.8017	0.2097	False	0.2477510333090201	0.8226	0.2038	False
3505	g2734.t1	0.419609020965182	6.46933301924051e-06	-0.391142525816396	0.0003639747940794	5	0	0.1655518394648829	0.3588	0.0594	True	0.0416528377032857	0.6026	0.0251	False				
6363	g9893.t1	-0.147458311054451	0.356004044034718	0.200632217796203	0.305753157297723	5	0	0.0499031007751938	0.4128	0.0206	False	0.037231384307846	0.8004	0.0298	False	0.0337369065433274	0.7351	0.0248	False
4856	g6714.t1	-1.47451048385424	5.1973515462136e-15	-0.487083021802664	0.0067944860971935	5	0					0.1157051282051282	0.624	0.0722	True	0.0551160337552742	0.7584	0.0418	False
4015	g13168.t1	1.13812783318333	4.98503647968587e-38	0.265906343588596	0.0151864528849078	5	0	0.0988847583643122	0.269	0.0266	False	0.0920698924731183	0.5952	0.0548	False	0.0891217329879915	0.8494	0.0757	False
1673	g11757.t1	-0.769367016119054	3.71838705584484e-08	-0.567435573906051	0.0001519713350047	5	0	0.0153667729776746	0.3449	0.0053	False	0.0203436947182208	0.7914	0.0161	False	0.0111731843575419	1.1635	0.013	False
4481	g4995.t1	0.180843080679361	0.159461613401923	0.292280389005544	0.0360181392733716	5	0	0.0	0.2457	0.0	False	0.0180629087511678	0.6422	0.0116	False	0.0145589494718812	0.7006	0.0102	False
3191	g8950.t1	2.08664806770583	1.73510502339399e-55	0.558316756700728	0.0001671845299003	5	0	0.0943861813695249	0.3242	0.0306	False	0.097682119205298	0.7852	0.0767	False	0.132552337563727	0.9219	0.1222	False
4813	g6842.t1	2.09102727936562	0.000318110764995	-0.36243958187864	0.571530913960685	4	0	0.0565247732030704	0.2866	0.0162	False	0.053050397877984	0.4524	0.024	False	0.0593745278743012	0.6619	0.0393	False
6326	g9933.t1	-1.85045154541556	0.003259088685494	1.07859799106239	0.303073325218495	3	0					0.1674075250039688	1.2598	0.2109	False	0.1663442940038684	1.6544	0.2752	False
3540	g2693.t1	-1.57994726840871	4.07549731652818e-51	-0.37946293752282	0.0006359360072414	4	0	0.0420560747663551	0.4066	0.0171	False	0.0404131568391496	0.9972	0.0403	False	0.0545878823235269	1.1999	0.0655	False
1636	g11360.t1	0.0741190233011631	0.597088326221267	-0.149014288216739	0.341457925060305	5	0	0.0213706705969049	0.4071	0.0087	False	0.0352928201169074	0.9067	0.032	False	0.037041767786435	1.5658	0.058	False
4050	g13344.t1	-11.1358648044882	1.36306282505158e-10	-3.44668826438031	0.0166926633393723	4	0	0.1854249321361453	0.4789	0.0888	True	0.0662820340802361	0.7453	0.0494	False	0.1251492240350178	1.0052	0.1258	False
1958	g12217.t1	-0.275832261784771	0.0024657943253051	-0.0036623655704149	0.980247810922601	5	0	0.132960413080895	0.2324	0.0309	True	0.0434782608695652	0.483	0.021	False	0.0385161519346822	0.5634	0.0217	False
6899	g3749.t1	0.110119980773129	0.308148888536563	0.195793427576465	0.0983966642906911	5	0	0.0	0.268	0.0	False	0.0054712758020392	0.4021	0.0022	False	0.0	0.4606	0.0	False
3228	g8995.t1	-2.21097422981659	2.9536685748984096e-11	1.11811994721068	0.0064566108459094	4	0					0.1596423017107309	1.286	0.2053	False	0.1876860910250957	0.9404	0.1765	False
4738	g5867.t1	1.20885538337895	9.95605785522509e-38	0.204477385834242	0.0864508690456146	5	0	0.0194426441996111	0.4629	0.009	False	0.0265477439664218	0.953	0.0253	False	0.0248823133826496	1.1896	0.0296	False
7899	g14062.t2	0.393277604128501	0.003290062545788	-1.0759644068619	3.07075027862927e-15	5	0	0.02006957452502	0.3737	0.0075	False	0.0806021640269719	0.6377	0.0514	False	0.0322092003507932	1.2543	0.0404	False
8233	g14257.t1	0.309440559057291	0.0004650979614503	-0.0334320467275328	0.792813830382247	5	0	0.4011026878015162	0.2902	0.1164	True	0.1016308201370834	0.4231	0.043	False	0.1071185286103542	0.5872	0.0629	False
664	g636.t1	-1.32236378653472	1.89646159719781e-39	-0.461939942389788	4.01987478993603e-06	5	0	0.0827472072817542	0.2417	0.02	True	0.070582038451409	0.3797	0.0268	False	0.0736224028906955	0.4428	0.0326	False
621	g57.t1	0.350569940232482	0.0132939043540588	0.300981810972843	0.0793551148480286	5	0					0.0518352059925093	0.6675	0.0346	False	0.0929639081297849	0.8229	0.0765	False
8276	g2346.t1	2.07505922294352	7.319480287345519e-57	1.81741041179147	4.36813908988851e-29	4	0					0.0826470588235294	0.68	0.0562	False	0.0346348517715112	1.383	0.0479	False
2228	g12326.t1	0.917313613459224	1.0347733007681701e-15	0.144605814046516	0.335565572838219	5	0	0.0030175015087507	0.3314	0.001	False	0.0137592137592137	0.6105	0.0084	False	0.0093802345058626	0.8955	0.0084	False
5738	g2008.t1		1.0		1.0	3	0					0.2480666666666666	3.0	0.7442	False	0.1897015552753257	4.758	0.9026	False
7821	g13953.t1	-1.26395197215538	0.0037043230643374	0.334195214751101	0.76382993563918	3	0	0.0382448858582863	0.3373	0.0129	False	0.1827064649979922	0.7471	0.1365	False	0.1720211468076454	1.4754	0.2538	False
5314	g7153.t1	-2.11296266307672	2.07336778633538e-33	-1.05431707745738	3.04974114400214e-10	3	0	0.0983278807706288	0.5502	0.0541	False	0.1156812339331619	1.4004	0.162	False	0.1029523913280313	1.8358	0.189	False
7062	g4690.t2	0.607776455649901	1.43551621302688e-06	-0.402353810388577	0.0051593483770878	4	0	0.0712694877505567	0.449	0.032	False	0.082437275985663	0.9486	0.0782	False	0.0389666666666666	3.0	0.1169	False
2604	g7998.t1	0.909794118010797	8.84889798862436e-12	0.201406321406371	0.256435645480069	5	0	0.1810971579643093	0.3026	0.0548	False	0.2341960118795078	0.4714	0.1104	False	0.2057338086749851	0.6732	0.1385	False
2290	g8248.t1	-0.351986327244984	0.0002912285904117	-0.276656628707919	0.0104815740489113	5	0	0.0177370030581039	0.1635	0.0029	False	0.0	0.343	0.0	False	0.0145679839249832	0.5972	0.0087	False
5780	g9632.t1		1.0		1.0	2	0					0.3867358078602619	0.3664	0.1417	False				
248	g437.t1	1.07870401211432	1.57110602193113e-25	0.10816111570653	0.398820374281239	5	0	0.0710382513661202	0.4026	0.0286	False	0.0725420400147293	0.8147	0.0591	False	0.0623600035839082	1.1161	0.0696	False
5351	g7090.t1	-2.57808135389092	1.1924831961691499e-28	-0.944033544642606	3.35667088594132e-05	3	0	0.0929695982627578	0.7368	0.0685	False	0.176446576181243	0.9799	0.1729	False	0.0655333333333333	3.0	0.1966	False
7864	g14019.t1	0.829362391542763	1.7447852563580999e-13	0.211262473831811	0.11576363020896	5	0	0.1600394347683207	0.3043	0.0487	True	0.1066666666666666	0.6675	0.0712	False	0.1155211767689576	0.7886	0.0911	False
699	g679.t1	-2.34067699634813	6.95946996124994e-29	0.152428198387008	0.555665855004499	5	0	0.0687727825030376	0.4115	0.0283	True	0.0561009817671809	0.7843	0.044	False	0.0509955752212389	0.904	0.0461	False
2641	g8041.t1	1.39537435786584	1.0054432738149599e-48	0.0499257211566201	0.688485351642574	3	0	0.0150837988826815	0.179	0.0027	False	0.0162715950180795	0.4978	0.0081	False	0.012164902004956	0.8878	0.0108	False
7027	g4734.t1	2.88076397402345	1.83915962025425e-46	1.28106950720463	9.83277546231638e-10	2	0					0.1096040253773791	0.4571	0.0501	False				
4314	g12446.t1	1.03125631216797	7.45506199720308e-05	-0.054542530784267	0.884792795392652	5	0	0.1520417028670721	0.3453	0.0525	False	0.1520676443387501	0.7569	0.1151	False				
1572	g5636.t1	1.54403744709477	2.23652246036548e-21	0.947840064777713	8.06583938262681e-07	5	0	0.1773966825976947	0.3557	0.0631	True	0.0329650748396293	0.5612	0.0185	False	0.015955560808415	0.8461	0.0135	False
6821	g3641.t1	-3.54897277353484	6.29706113822862e-20	-2.94002556403561	0.0019984904470956	4	0	0.0495378051671012	0.4219	0.0209	False	0.0301572988678489	0.9981	0.0301	False	0.0378734622144112	1.138	0.0431	False
3604	g12693.t1	-1.94730831673666	1.69236769374817e-20	-0.713656355510608	0.0006461577551187	4	0	0.0801554529997571	0.4117	0.033	False	0.0722388059701492	0.8375	0.0605	False	0.0628844344742745	1.3819	0.0869	False
6062	g10850.t1	1.7912302704061	4.07659647396681e-33	0.572369728583563	0.0009834317985968	5	0	0.0136472193790515	0.5862	0.008	False	0.0162536370021069	0.9967	0.0162	False	0.0145998344958032	1.6918	0.0247	False
6864	g5521.t1	-9.66353808478851	5.71276746849195e-34	-3.51678505898811	0.0561181367869063	5	0	0.1058462359850507	0.7492	0.0793	False	0.0771460423634336	1.3455	0.1038	False	0.1147666666666666	3.0	0.3443	False
1537	g12378.t1	-10.0384487396667	1.68447058920528e-16	-5.85851675912239	0.0001616198944687	2	0	0.2592425608656447	0.4436	0.115	True	0.0856485034535687	0.6515	0.0558	False				
4351	g13446.t1	1.49413234413452	8.23659341825309e-20	0.390171959536517	0.042754428313225	5	0	0.0142265907915157	0.3866	0.0055	False	0.0278297766130038	0.8013	0.0223	False	0.0218227548453913	1.3518	0.0295	False
6027	g10737.t1	-0.102412807949657	0.43278037835494	0.0155571753065293	0.933452361915584	5	0	0.021313996923753	0.4551	0.0097	False	0.0279834494773519	0.9184	0.0257	False	0.0379142482681145	1.0682	0.0405	False
3641	g2621.t1	1.64057775286784	2.40344165651913e-56	0.562682119881814	2.95783028254039e-06	5	0	0.0713557594291539	0.2943	0.021	False	0.0518587941268353	0.9603	0.0498	False	0.0483615442341365	1.1993	0.058	False
3290	g7877.t1	-0.342385545268878	0.0051515403913126	0.199716097749366	0.189740289725872	4	0	0.1127941574249391	0.3697	0.0417	False	0.0703942075623491	0.7458	0.0525	False	0.0898752346251518	0.9057	0.0814	False
4780	g5920.t1	1.17678008735745	7.69929387309658e-28	0.881305794444396	2.46544254035508e-12	5	0	0.0562896405919661	0.3784	0.0213	False	0.093647592639274	0.7934	0.0743	False	0.0655897236278707	1.0276	0.0674	False
