Cmac_transcript_ID	conservation_rank	abdomen_sex_bias_category	head_thorax_sex_bias_category
g4087.t1	5	1	1
g14324.t1	3	0	0
g6257.t2	5	1	0
g7175.t1	5	1	1
g4324.t1	4	0	0
g10915.t1	5	-1	0
g7332.t1	5	0	0
g677.t1	5	1	0
g2317.t1	4	0	-1
g10874.t2	5	1	0
g14559.t1	5	0	0
g8229.t1	4	0	0
g1211.t1	5	1	0
g5484.t1	4	0	0
g1043.t1	4	-1	0
g1279.t1	5	0	-1
g1113.t2	5	1	1
g5985.t1	5	1	0
g7902.t1	5	1	1
g12271.t1	5	-1	-1
g12740.t1	4	0	0
g10038.t1	5	1	1
g13388.t2	5	-1	-1
g11726.t1	5	1	1
g3802.t1	5	0	0
g12278.t2	5	-1	0
g10180.t2	4	-1	-1
g4940.t1	5	1	1
g3753.t2	4	-1	-1
g11186.t1	4	1	0
g5079.t1	2	-1	0
g21.t2	4	-1	-1
g9970.t1	5	-1	-1
g1310.t1	4	-1	0
g4764.t1	5	-1	-1
g8414.t1	5	1	0
g14125.t1	4	1	0
g6537.t1	4	0	0
g5338.t1	5	1	0
g8147.t1	5	1	0
g4748.t1	5	1	0
g6487.t1	5	1	1
g14064.t1	5	-1	-1
g374.t1	5	0	-1
g12140.t1	5	1	0
g14570.t1	4	1	0
g6356.t1	5	0	0
g13850.t1	4	-1	0
g1275.t1	5	1	-1
g14526.t1	3	-1	0
g932.t1	3	-1	-1
g2281.t1	5	-1	0
g9647.t1	4	-1	0
g14690.t1	5	1	1
g8330.t1	5	1	0
g13609.t1	3	1	0
g13864.t1	2	-1	0
g10548.t1	4	-1	0
g7671.t1	5	-1	-1
g11567.t1	5	1	0
g5794.t2	5	1	-1
g9856.t1	5	-1	-1
g9008.t1	5	-1	-1
g9297.t3	5	1	0
g3727.t1	3	1	0
g5896.t2	5	1	1
g11848.t1	5	1	0
g12334.t1	5	1	0
g9055.t1	4	1	0
g10050.t2	3	-1	-1
g10529.t1	5	1	0
g12323.t1	5	-1	0
g4835.t1	5	1	1
g4662.t1	4	1	1
g444.t1	4	0	0
g10868.t1	5	0	0
g4427.t2	5	1	0
g12544.t1	5	1	0
g14038.t1	2	0	0
g309.t1	5	-1	0
g12036.t1	4	1	1
g6773.t1	5	1	1
g2182.t2	5	1	-1
g842.t1	5	-1	0
g5737.t1	5	1	1
g3195.t1	3	0	0
g7913.t1	2	-1	0
g3426.t1	4	-1	-1
g242.t1	4	1	0
g726.t1	5	0	0
g2068.t1	5	1	1
g2484.t1	3	1	-1
g13345.t1	4	-1	-1
g12592.t1	4	-1	-1
g1816.t1	5	1	0
g4976.t1	5	-1	-1
g3842.t1	4	-1	0
g8917.t1	5	0	0
g11930.t2	4	0	-1
g13486.t1	5	0	0
g13117.t1	4	-1	-1
g11249.t1	5	1	1
g10303.t1	5	1	-1
g9090.t1	5	-1	0
g3991.t1	4	-1	0
g13056.t1	3	-1	-1
g5016.t1	5	-1	-1
g11632.t1	5	1	0
g95.t1	5	-1	-1
g4392.t1	4	-1	-1
g9282.t1	5	1	0
g9583.t1	4	1	0
g7813.t1	5	0	0
g6955.t1	3	1	1
g3399.t1	4	0	0
g7381.t1	3	-1	-1
g5543.t1	5	1	0
g6811.t1	4	1	0
g8567.t1	5	-1	-1
g8061.t1	5	0	-1
g719.t1	4	-1	0
g7064.t1	5	0	0
g441.t1	5	0	0
g2149.t2	5	0	0
g10428.t1	5	0	-1
g8247.t1	3	-1	0
g13987.t1	5	1	0
g2369.t1	4	1	0
g14733.t1	5	0	0
g1168.t1	5	1	1
g5734.t1	3	0	-1
g7876.t1	2	0	0
g2638.t1	5	-1	0
g13443.t1	5	1	1
g3616.t2	5	0	0
g13840.t1	5	0	0
g1239.t1	5	0	0
g9351.t1	5	1	0
g11210.t1	3	-1	-1
g6301.t2	4	1	1
g1278.t1	3	-1	-1
g13692.t1	5	1	0
g1862.t1	4	-1	0
g14793.t1	4	-1	-1
g14484.t1	5	1	0
g8179.t1	5	0	1
g5956.t1	5	1	1
g4919.t1	4	1	1
g1956.t1	4	0	0
g3772.t1	4	-1	0
g13369.t1	5	1	0
g11372.t1	5	1	-1
g7611.t1	4	1	0
g12924.t1	5	1	-1
g10150.t1	5	0	0
g12637.t1	5	1	0
g7698.t1	4	-1	-1
g3101.t1	5	-1	-1
g3819.t1	5	1	0
g10664.t1	5	-1	0
g9127.t1	5	1	1
g4781.t1	4	-1	0
g8174.t2	5	1	0
g6619.t1	5	1	0
g14147.t1	4	-1	0
g1375.t1	5	0	0
g8114.t1	5	1	0
g4845.t1	5	1	0
g14092.t1	4	-1	-1
g6458.t1	4	0	0
g711.t1	5	1	0
g2421.t1	5	1	0
g1066.t1	5	0	-1
g2382.t2	5	1	1
g1021.t1	5	1	0
g10654.t1	5	0	-1
g1093.t1	5	-1	-1
g9216.t2	4	1	1
g10957.t4	5	-1	0
g7602.t1	4	1	1
g7853.t3	5	1	0
g7715.t1	5	1	0
g5949.t1	5	-1	-1
g13563.t1	4	0	1
g11510.t1	5	0	0
g7073.t1	5	-1	-1
g12851.t1	5	-1	-1
g10203.t1	5	1	0
g13004.t1	3	-1	-1
g11131.t1	5	1	0
g13269.t1	3	-1	0
g10292.t1	5	-1	-1
g12912.t1	5	1	1
g6013.t2	3	-1	-1
g6386.t1	4	0	-1
g4116.t1	5	0	0
g3292.t2	4	1	1
g1876.t1	5	1	-1
g10115.t1	5	1	0
g11272.t1	3	-1	-1
g6370.t1	5	-1	-1
g6225.t1	3	1	0
g10247.t1	5	1	0
g9118.t2	4	0	0
g4290.t1	3	1	0
g8783.t1	4	0	0
g9204.t1	5	-1	-1
g4135.t1	5	1	1
g1112.t1	5	-1	-1
g10802.t1	5	0	0
g6554.t2	4	-1	0
g11025.t1	5	1	0
g5511.t1	5	0	0
g8224.t1	4	-1	-1
g10891.t1	5	-1	-1
g702.t1	4	1	0
g13419.t1	3	-1	-1
g12768.t1	5	1	0
g9802.t1	5	1	0
g8286.t2	5	-1	1
g11162.t1	5	-1	0
g13641.t2	5	-1	0
g14405.t1	3	-1	-1
g10953.t1	5	-1	0
g8371.t1	5	1	0
g9994.t1	2	-1	-1
g6083.t2	5	1	0
g493.t1	5	0	0
g4877.t1	3	-1	-1
g5049.t1	5	1	0
g14631.t1	5	-1	-1
g394.t1	5	-1	0
g14663.t1	5	-1	0
g405.t1	5	1	0
g9042.t1	5	-1	0
g6403.t1	4	1	0
g9049.t1	5	-1	-1
g14748.t1	5	1	0
g6436.t1	4	0	0
g8491.t2	5	1	0
g6319.t1	5	1	-1
g11391.t1	5	-1	-1
g3510.t1	5	1	0
g10895.t1	4	-1	-1
g1246.t1	5	1	1
g6771.t2	5	-1	0
g8829.t1	5	1	0
g3453.t1	4	0	0
g12139.t1	5	-1	-1
g11882.t1	5	1	1
g6160.t2	5	-1	-1
g12825.t2	5	-1	-1
g10369.t2	4	1	0
g8333.t1	4	1	1
g4872.t1	4	-1	0
g13232.t1	4	1	1
g3066.t1	3	-1	-1
g9469.t1	4	-1	0
g11668.t2	5	1	-1
g7729.t1	5	0	-1
g3926.t1	3	-1	-1
g5971.t1	5	1	1
g4271.t2	5	0	0
g13385.t1	3	-1	-1
g12761.t1	5	-1	-1
g8714.t2	4	0	0
g3322.t1	5	1	0
g1350.t1	5	1	0
g6534.t1	5	-1	0
g8436.t1	5	1	0
g1141.t1	5	-1	-1
g1307.t1	5	-1	-1
g14730.t1	5	0	0
g12688.t1	5	1	0
g13297.t1	3	1	1
g5026.t1	5	1	0
g8894.t1	5	1	1
g804.t1	5	-1	-1
g6820.t1	4	-1	-1
g5580.t1	5	1	1
g7993.t2	5	1	-1
g3382.t1	5	1	0
g99.t1	5	1	0
g6191.t3	5	0	0
g14350.t1	5	1	0
g2124.t1	4	0	0
g193.t1	5	1	0
g1845.t1	5	1	0
g5168.t1	5	1	0
g1741.t1	4	0	0
g4181.t1	5	1	-1
g1171.t1	5	0	0
g6909.t1	5	0	-1
g13934.t1	3	1	0
g4713.t1	4	1	0
g8017.t1	5	-1	-1
g13989.t1	5	1	0
g7107.t2	5	1	0
g8068.t1	5	0	-1
g2248.t1	5	1	0
g14361.t1	3	-1	-1
g13425.t1	5	1	1
g12498.t1	3	-1	0
g246.t1	2	0	0
g10715.t1	5	1	0
g9780.t1	3	-1	-1
g11613.t1	5	0	0
g12351.t1	5	1	1
g13535.t1	5	-1	-1
g3614.t1	4	0	0
g10746.t2	5	-1	0
g2648.t1	4	0	0
g12174.t1	5	0	0
g9082.t1	5	1	1
g5891.t2	5	1	1
g13522.t1	4	1	1
g12639.t1	5	-1	0
g12332.t1	5	1	0
g14237.t1	5	1	0
g7138.t1	2	-1	-1
g448.t1	4	-1	0
g8110.t1	5	0	0
g12294.t1	4	1	0
g10862.t1	5	0	-1
g901.t1	5	1	0
g483.t1	4	-1	0
g14292.t1	5	-1	-1
g9672.t1	5	-1	0
g4480.t1	5	-1	-1
g7764.t2	4	-1	-1
g10580.t1	5	-1	-1
g9516.t1	3	-1	0
g657.t1	5	-1	-1
g13924.t1	5	0	-1
g10620.t1	5	1	0
g2776.t1	4	1	0
g4537.t2	5	1	1
g6547.t1	4	0	-1
g11978.t2	5	-1	0
g4263.t1	4	-1	-1
g6692.t2	4	-1	-1
g2714.t1	5	0	0
g9910.t1	5	0	0
g13194.t1	4	0	-1
g11334.t1	5	1	0
g10336.t2	5	1	1
g12608.t1	5	-1	-1
g6745.t1	2	-1	-1
g10081.t1	3	-1	-1
g13316.t1	5	-1	-1
g9978.t1	3	-1	-1
g11845.t1	2	0	0
g11190.t1	5	1	1
g10158.t1	5	1	0
g4852.t1	3	-1	-1
g9398.t2	5	1	0
g3320.t1	5	1	0
g1347.t1	5	0	-1
g5301.t1	3	0	0
g1303.t1	5	0	0
g14728.t1	5	0	0
g9052.t1	5	-1	-1
g2284.t1	5	-1	-1
g6439.t1	3	-1	-1
g8490.t1	5	1	0
g6317.t1	2	-1	-1
g3515.t1	5	1	1
g11388.t1	5	0	-1
g10893.t1	4	-1	-1
g6769.t1	5	-1	-1
g8834.t1	5	1	0
g12137.t1	5	0	0
g14858.t1	5	1	-1
g379.t1	4	-1	-1
g6162.t1	5	1	0
g11880.t2	5	1	0
g12823.t1	5	-1	-1
g8331.t1	5	0	0
g10366.t1	3	-1	0
g4870.t1	5	1	1
g13234.t1	3	-1	0
g3409.t1	4	1	0
g3064.t1	5	-1	-1
g11666.t1	4	1	0
g9457.t1	5	0	0
g3924.t1	3	1	1
g7731.t2	5	1	1
g5973.t1	5	0	0
g10281.t1	5	0	0
g11322.t1	4	1	0
g11703.t1	5	-1	-1
g3945.t1	5	1	1
g7023.t1	3	-1	0
g14633.t2	5	1	0
g7556.t1	2	-1	0
g12554.t1	5	-1	0
g4306.t1	5	1	-1
g14660.t1	5	0	0
g407.t1	5	1	1
g583.t1	4	-1	0
g4138.t1	5	1	0
g9201.t1	5	1	-1
g10800.t1	5	-1	-1
g6687.t1	5	0	0
g13747.t1	5	0	0
g13644.t1	4	-1	-1
g8221.t1	5	1	1
g14195.t1	4	0	0
g10889.t2	4	1	0
g13417.t1	5	1	0
g12770.t1	5	1	0
g8284.t1	5	-1	0
g9799.t1	5	1	0
g11160.t1	5	-1	-1
g7627.t1	4	-1	-1
g14801.t1	2	0	0
g1819.t1	5	1	1
g9998.t1	5	1	0
g8369.t2	5	1	1
g495.t1	4	-1	-1
g6094.t1	5	1	1
g7762.t2	4	1	0
g4482.t1	5	-1	-1
g10584.t1	4	1	1
g9514.t1	5	1	-1
g227.t1	5	1	0
g13921.t1	5	1	1
g10616.t2	3	1	1
g4538.t2	5	1	1
g2778.t1	5	0	-1
g6651.t1	5	1	0
g2079.t1	5	-1	0
g11976.t1	5	1	1
g3823.t1	5	1	-1
g6585.t1	4	-1	-1
g9912.t1	5	-1	0
g11124.t1	3	0	-1
g11336.t1	4	-1	-1
g13198.t1	4	-1	-1
g12611.t1	5	0	0
g10333.t1	5	1	1
g6747.t2	5	-1	0
g13314.t1	4	-1	-1
g12489.t1	5	-1	-1
g9869.t1	4	-1	1
g11600.t1	5	1	1
g14235.t1	5	1	0
g450.t2	5	-1	-1
g897.t1	5	1	0
g489.t2	5	-1	-1
g14290.t1	5	0	0
g4200.t1	5	0	0
g9670.t1	5	1	0
g4183.t1	4	0	0
g6907.t2	5	1	0
g13936.t1	3	0	0
g8019.t1	5	1	1
g4716.t1	5	-1	-1
g14739.t1	4	1	1
g13991.t1	4	-1	-1
g7105.t1	5	1	0
g4580.t1	5	-1	-1
g8070.t2	5	0	0
g3658.t1	3	-1	-1
g12494.t1	5	0	0
g13427.t1	5	-1	0
g10717.t1	5	-1	0
g12718.t1	4	0	-1
g9759.t1	5	-1	0
g11610.t1	2	-1	-1
g13536.t1	3	-1	-1
g12349.t1	5	1	-1
g3612.t1	5	-1	-1
g2584.t3	5	0	0
g10743.t1	5	1	0
g12172.t2	5	1	-1
g13025.t2	4	1	1
g11971.t1	5	1	0
g3897.t1	5	0	0
g772.t1	5	1	0
g8524.t2	5	-1	0
g3380.t1	4	0	1
g103.t2	3	-1	0
g2766.t1	4	1	1
g14788.t1	4	1	0
g199.t1	5	1	1
g13887.t1	4	1	1
g1843.t2	5	1	0
g7643.t1	5	-1	-1
g1783.t1	5	0	0
g717.t2	4	1	1
g949.t1	5	1	0
g2147.t1	5	-1	-1
g4671.t1	5	1	1
g2371.t1	5	1	-1
g14741.t1	5	1	0
g617.t1	5	0	-1
g10530.t1	5	1	0
g5632.t1	5	-1	0
g8914.t1	4	-1	-1
g3840.t2	5	0	-1
g13484.t1	5	-1	-1
g11928.t1	5	0	0
g11097.t1	4	0	0
g11562.t2	4	1	0
g10304.t1	5	1	0
g3997.t1	5	-1	-1
g9092.t1	4	-1	-1
g13054.t1	4	1	0
g11629.t1	3	1	0
g8454.t1	4	0	0
g4390.t1	4	1	1
g9585.t1	3	1	0
g9273.t2	4	-1	-1
g7560.t1	4	1	1
g6957.t1	5	1	0
g5177.t1	3	1	1
g5548.t1	5	1	0
g7507.t1	5	0	0
g6808.t1	3	-1	0
g8566.t1	3	-1	-1
g305.t1	4	0	0
g2043.t1	5	-1	-1
g847.t1	5	-1	-1
g454.t1	5	1	1
g10931.t2	5	-1	-1
g3429.t1	2	-1	0
g7225.t1	3	-1	-1
g738.t1	5	-1	0
g2074.t1	4	0	0
g13875.t1	4	-1	0
g4379.t1	5	-1	-1
g6837.t1	5	0	-1
g11748.t1	5	-1	-1
g9876.t1	5	0	0
g10537.t1	3	1	0
g7673.t1	5	-1	-1
g5792.t1	5	1	0
g11565.t1	5	-1	-1
g9010.t1	5	-1	-1
g14812.t1	5	-1	-1
g9300.t1	3	-1	-1
g3731.t1	4	-1	-1
g11846.t1	5	-1	-1
g5899.t1	5	-1	0
g12336.t1	5	-1	-1
g9684.t1	4	-1	-1
g8276.t1	5	1	0
g10492.t1	5	-1	-1
g4832.t1	5	0	0
g12321.t1	5	-1	0
g4664.t1	5	1	0
g10871.t1	5	-1	-1
g12504.t1	5	0	0
g4425.t1	5	-1	0
g14252.t1	3	-1	-1
g14042.t1	5	-1	-1
g7713.t1	4	0	0
g5947.t1	5	1	-1
g11505.t1	2	0	0
g13561.t1	2	1	1
g7044.t1	5	0	0
g10420.t1	5	1	0
g12848.t1	5	-1	-1
g13002.t1	3	0	0
g13265.t2	4	1	0
g11129.t1	5	1	1
g12911.t1	4	-1	-1
g10290.t1	4	1	1
g6008.t1	5	-1	0
g6388.t1	5	1	0
g7205.t1	5	0	0
g4111.t1	5	0	0
g10113.t1	5	-1	-1
g11276.t1	5	1	1
g5110.t1	5	1	1
g6266.t2	5	-1	0
g6228.t2	5	-1	0
g10244.t1	5	1	0
g4294.t1	5	-1	-1
g9115.t1	5	0	1
g343.t1	4	-1	0
g8785.t1	3	0	0
g4078.t2	5	-1	0
g713.t3	3	-1	-1
g2415.t1	2	-1	-1
g5474.t1	3	1	1
g1064.t2	5	0	0
g2384.t1	5	1	-1
g1018.t1	5	-1	-1
g1095.t1	5	1	0
g503.t1	5	-1	-1
g9821.t1	4	-1	-1
g10070.t1	4	-1	-1
g12187.t1	5	1	0
g10019.t1	4	1	0
g4917.t1	5	1	0
g3769.t1	3	-1	-1
g11370.t1	5	1	0
g13372.t1	2	-1	-1
g7609.t1	4	-1	-1
g12920.t1	5	1	1
g12635.t1	5	1	0
g10153.t1	5	-1	-1
g5055.t1	3	-1	-1
g11447.t1	5	1	1
g3817.t1	4	1	-1
g10667.t1	5	0	1
g14761.t1	5	1	1
g9125.t1	5	0	0
g8176.t1	5	-1	0
g4779.t1	5	1	1
g6621.t1	5	0	0
g14149.t1	5	-1	-1
g4847.t1	5	1	1
g8117.t1	5	0	0
g14102.t1	3	0	0
g6460.t1	4	-1	-1
g7358.t1	5	0	0
g13819.t1	4	-1	0
g1236.t1	5	1	0
g9322.t1	5	0	0
g4541.t1	5	0	0
g8865.t1	5	1	-1
g578.t1	5	1	0
g13689.t1	4	1	0
g1865.t1	5	1	0
g14792.t2	5	-1	0
g11145.t2	5	1	0
g10330.t1	5	-1	-1
g4019.t1	5	-1	0
g11661.t1	4	-1	-1
g14482.t1	5	1	0
g12658.t1	5	0	0
g6029.t1	5	1	1
g11581.t1	5	0	0
g9290.t1	4	-1	-1
g8984.t2	4	-1	-1
g9871.t1	5	1	1
g2662.t1	5	-1	0
g13516.t1	4	-1	0
g11840.t2	5	1	-1
g5872.t1	4	-1	-1
g9721.t1	4	-1	0
g9078.t1	3	-1	0
g12229.t1	2	0	0
g14783.t1	5	0	0
g10691.t1	5	-1	-1
g4218.t1	5	1	0
g11432.t1	5	-1	0
g14289.t1	5	0	0
g14817.t1	4	0	1
g12291.t1	5	-1	-1
g4803.t1	5	-1	-1
g8090.t11	5	-1	-1
g7143.t1	5	1	1
g264.t1	5	1	0
g14651.t1	3	-1	0
g818.t1	4	0	0
g4516.t1	5	0	0
g226.t1	5	1	1
g881.t1	5	-1	1
g2102.t1	5	-1	-1
g10585.t1	5	0	0
g12490.t1	4	1	0
g9940.t3	5	1	-1
g6697.t1	5	1	0
g8936.t1	5	0	0
g3898.t1	5	0	-1
g13079.t1	4	0	-1
g13500.t1	4	0	-1
g11950.t1	2	-1	0
g6880.t1	5	1	0
g3717.t1	4	1	1
g8889.t1	2	-1	-1
g5303.t1	5	1	0
g13462.t1	5	1	0
g13026.t1	5	1	1
g13294.t1	5	1	0
g12666.t1	5	1	0
g5163.t1	5	1	1
g10572.t1	4	-1	-1
g13888.t1	5	1	0
g11299.t1	5	1	0
g6936.t1	5	1	1
g8684.t1	5	0	0
g2142.t1	5	1	0
g6196.t1	4	1	-1
g7971.t1	5	1	-1
g5603.t1	5	-1	-1
g9616.t1	5	-1	0
g8526.t4	5	-1	0
g6984.t1	5	0	0
g4566.t1	5	-1	-1
g920.t2	5	1	-1
g2166.t1	5	-1	-1
g11088.t1	2	-1	0
g614.t1	5	1	1
g10767.t1	3	1	1
g12343.t1	4	-1	0
g378.t1	4	0	1
g8839.t1	5	1	0
g7405.t1	5	1	1
g13814.t1	2	1	0
g1270.t2	5	-1	-1
g14524.t1	3	0	0
g10892.t1	5	1	0
g3521.t1	5	0	-1
g935.t2	5	0	-1
g2283.t1	3	-1	-1
g10988.t1	4	1	-1
g14692.t1	4	0	-1
g5974.t1	4	-1	-1
g13525.t1	4	0	0
g3410.t1	5	1	0
g10361.t1	5	-1	0
g11906.t2	4	1	0
g10040.t1	5	-1	0
g12741.t1	5	-1	0
g11723.t1	5	0	0
g13390.t1	5	-1	-1
g3805.t1	4	-1	-1
g12280.t1	5	0	-1
g4936.t2	4	-1	-1
g10183.t1	4	1	0
g3755.t1	5	-1	0
g5082.t2	4	-1	0
g11189.t2	4	-1	-1
g26.t1	4	-1	-1
g9974.t2	5	0	0
g8417.t2	5	0	0
g4762.t1	4	-1	-1
g14126.t2	5	-1	-1
g6641.t1	5	0	0
g7412.t2	5	0	0
g5340.t1	3	1	0
g4746.t1	5	-1	0
g8149.t1	5	0	0
g6489.t1	5	1	0
g14066.t1	5	1	1
g675.t1	5	1	1
g2320.t2	5	1	1
g14561.t1	5	-1	0
g1212.t1	5	1	0
g5457.t1	4	1	0
g1041.t1	5	-1	-1
g1276.t1	5	1	1
g1115.t1	5	-1	-1
g4139.t1	4	0	-1
g3154.t2	3	0	0
g9798.t1	4	-1	-1
g11233.t1	5	-1	-1
g13208.t4	5	-1	0
g9714.t1	5	1	1
g4900.t1	4	-1	-1
g7017.t1	2	-1	0
g3946.t1	5	1	1
g11682.t1	5	-1	0
g10539.t1	4	1	0
g11325.t1	5	-1	0
g5859.t1	4	1	1
g12871.t2	4	1	0
g9716.t1	5	1	1
g6406.t1	4	1	1
g10223.t1	5	1	1
g9243.t1	5	1	1
g4086.t2	3	-1	-1
g411.t1	5	0	-1
g6259.t1	4	-1	-1
g4326.t1	5	1	1
g7173.t2	5	0	0
g10917.t1	5	-1	-1
g7334.t1	3	-1	0
g5284.t1	5	-1	0
g4161.t1	5	1	0
g9220.t1	4	-1	1
g10588.t1	5	0	-1
g9403.t2	5	1	0
g9173.t3	5	1	0
g9406.t1	4	-1	0
g10827.t1	5	-1	-1
g2413.t1	3	0	0
g4050.t1	3	0	0
g4599.t1	5	-1	-1
g11440.t1	5	1	0
g7849.t1	4	1	0
g9781.t1	5	1	0
g7625.t1	5	1	0
g181.t1	4	-1	-1
g12188.t1	4	-1	-1
g10095.t1	5	1	1
g9826.t1	5	1	-1
g8305.t1	3	-1	-1
g2223.t1	5	-1	-1
g131.t1	3	-1	-1
g6103.t1	5	-1	-1
g6007.t1	5	0	1
