g6.t1_1	g532.t1_1
g230.t1_1	g6472.t1_1
g231.t1_1	g6471.t1_1
g232.t1_1	g6470.t1_1
g233.t1_1	g6469.t1_1
g236.t1_1	g13753.t1_1
g237.t1_1	g13760.t1_1
g239.t1_1	g13770.t1_1
g240.t1_1	g13773.t1_1
g241.t1_1	g13721.t1_1
g242.t1_1	g17721.t1_1
g243.t1_1	g13188.t1_1
g244.t1_1	g13180.t1_1
g245.t1_1	g13181.t1_1
g248.t3_1	g7877.t1_1
g249.t1_1	g12850.t1_1
g250.t1_1	g12352.t1_1
g252.t1_1	g12353.t1_1
g254.t1_1	g4726.t1_1
g255.t1_1	g12364.t1_1
g257.t1_1	g12358.t1_1
g258.t1_1	g12588.t1_1
g259.t1_1	g12590.t1_1
g260.t1_1	g12591.t1_1
g261.t1_1	g12592.t1_1
g263.t1_1	g16088.t1_1
g264.t1_1	g16411.t1_1
g265.t1_1	g9261.t1_1
g268.t1_1	g17111.t1_1
g269.t1_1	g14206.t1_1
g270.t1_1	g11076.t1_1
g273.t1_1	g869.t1_1
g275.t1_1	g11451.t1_1
g276.t1_1	g8553.t1_1
g277.t1_1	g8664.t1_1
g278.t2_1	g9146.t1_1
g279.t1_1	g9145.t1_1
g280.t1_1	g9144.t1_1
g281.t1_1	g9142.t1_1
g282.t1_1	g8607.t1_1
g283.t2_1	g8983.t1_1
g285.t2_1	g8642.t1_1
g286.t1_1	g8650.t1_1
g287.t1_1	g16012.t1_1
g288.t1_1	g16011.t1_1
g289.t1_1	g16189.t1_1
g291.t2_1	g16164.t1_1
g298.t1_1	g5983.t1_1
g299.t1_1	g4447.t2_1
g300.t1_1	g9437.t1_1
g301.t1_1	g9436.t1_1
g302.t1_1	g8640.t1_1
g303.t1_1	g8647.t1_1
g304.t1_1	g8795.t1_1
g305.t1_1	g8797.t1_1
g306.t1_1	g22.t1_1
g309.t1_1	g8801.t1_1
g310.t3_1	g8804.t1_1
g311.t1_1	g8805.t1_1
g312.t1_1	g8576.t1_1
g313.t1_1	g9589.t1_1
g314.t1_1	g9590.t1_1
g315.t1_1	g12530.t1_1
g316.t1_1	g12535.t1_1
g317.t3_1	g12593.t1_1
g318.t1_1	g6306.t1_1
g319.t2_1	g12584.t1_1
g320.t1_1	g12579.t1_1
g321.t1_1	g12595.t1_1
g323.t1_1	g13042.t1_1
g324.t1_1	g13016.t1_1
g325.t1_1	g13017.t1_1
g328.t1_1	g16100.t1_1
g329.t1_1	g6367.t1_1
g330.t1_1	g12257.t1_1
g332.t1_1	g12256.t1_1
g335.t1_1	g12644.t1_1
g336.t1_1	g13427.t1_1
g337.t2_1	g12307.t1_1
g339.t1_1	g12304.t3_1
g341.t1_1	g12303.t1_1
g342.t1_1	g13148.t1_1
g343.t1_1	g12647.t1_1
g344.t3_1	g12645.t1_1
g345.t1_1	g12643.t1_1
g347.t1_1	g12642.t1_1
g349.t1_1	g12641.t1_1
g350.t1_1	g5546.t1_1
g352.t1_1	g12638.t1_1
g353.t1_1	g13001.t1_1
g355.t1_1	g767.t1_1
g357.t1_1	g768.t1_1
g358.t1_1	g1014.t1_1
g359.t1_1	g12728.t1_1
g360.t2_1	g12726.t1_1
g361.t1_1	g12725.t1_1
g362.t1_1	g12723.t1_1
g363.t1_1	g12721.t1_1
g364.t1_1	g12720.t1_1
g365.t2_1	g12718.t2_1
g367.t1_1	g14817.t1_1
g368.t1_1	g9389.t1_1
g369.t1_1	g9386.t1_1
g371.t3_1	g8409.t1_1
g373.t1_1	g8411.t1_1
g374.t1_1	g8935.t1_1
g375.t1_1	g8933.t1_1
g377.t2_1	g9484.t1_1
g378.t1_1	g8886.t1_1
g379.t1_1	g8887.t1_1
g381.t1_1	g12182.t1_1
g382.t1_1	g7118.t1_1
g385.t1_1	g15923.t1_1
g393.t1_1	g7608.t1_1
g394.t1_1	g7609.t1_1
g395.t1_1	g6869.t1_1
g399.t1_1	g4624.t1_1
g402.t1_1	g7116.t1_1
g403.t1_1	g7117.t1_1
g404.t1_1	g4956.t1_1
g405.t1_1	g5559.t1_1
g406.t1_1	g7819.t1_1
g407.t1_1	g7818.t1_1
g408.t1_1	g11160.t1_1
g409.t2_1	g7817.t2_1
g410.t2_1	g7816.t1_1
g411.t1_1	g8651.t1_1
g412.t1_1	g7509.t1_1
g413.t1_1	g7777.t1_1
g415.t1_1	g6189.t1_1
g419.t1_1	g10089.t1_1
g421.t1_1	g7967.t1_1
g422.t1_1	g7968.t1_1
g423.t1_1	g7969.t1_1
g425.t1_1	g7260.t1_1
g426.t1_1	g7261.t1_1
g427.t4_1	g7262.t1_1
g428.t1_1	g7693.t1_1
g430.t1_1	g7690.t1_1
g431.t1_1	g7166.t1_1
g432.t1_1	g14924.t1_1
g433.t1_1	g14925.t1_1
g434.t1_1	g14926.t1_1
g435.t1_1	g14379.t1_1
g436.t1_1	g14382.t1_1
g437.t1_1	g14380.t1_1
g438.t1_1	g15508.t1_1
g441.t1_1	g15545.t1_1
g442.t1_1	g14491.t1_1
g443.t1_1	g14492.t1_1
g444.t1_1	g14494.t1_1
g447.t1_1	g1699.t1_1
g448.t1_1	g5756.t1_1
g449.t1_1	g5966.t1_1
g450.t2_1	g5000.t1_1
g451.t3_1	g14808.t1_1
g452.t1_1	g14811.t1_1
g453.t1_1	g14812.t1_1
g454.t1_1	g5612.t1_1
g455.t1_1	g5614.t1_1
g456.t1_1	g5615.t1_1
g458.t1_1	g14177.t1_1
g459.t1_1	g14524.t1_1
g460.t1_1	g2447.t2_1
g461.t6_1	g14598.t1_1
g463.t1_1	g14500.t1_1
g464.t1_1	g5749.t1_1
g465.t1_1	g6074.t1_1
g466.t1_1	g4982.t1_1
g467.t1_1	g8052.t1_1
g468.t1_1	g6604.t1_1
g469.t1_1	g7404.t1_1
g470.t1_1	g6868.t1_1
g471.t1_1	g14958.t1_1
g472.t1_1	g14927.t1_1
g473.t1_1	g14928.t1_1
g474.t1_1	g14930.t1_1
g475.t2_1	g14932.t1_1
g476.t1_1	g5369.t1_1
g477.t1_1	g4489.t2_1
g480.t2_1	g4490.t1_1
g481.t1_1	g4494.t1_1
g482.t1_1	g5560.t1_1
g483.t1_1	g5759.t1_1
g484.t1_1	g5758.t1_1
g487.t1_1	g14917.t1_1
g489.t2_1	g5757.t1_1
g490.t1_1	g8038.t1_1
g493.t1_1	g617.t1_1
g494.t2_1	g615.t2_1
g495.t1_1	g458.t1_1
g496.t1_1	g8656.t1_1
g497.t2_1	g9313.t1_1
g498.t1_1	g9310.t1_1
g500.t1_1	g9311.t1_1
g501.t1_1	g9486.t1_1
g502.t1_1	g9485.t1_1
g503.t1_1	g9487.t1_1
g504.t1_1	g16010.t1_1
g505.t1_1	g1685.t1_1
g507.t1_1	g544.t1_1
g508.t1_1	g772.t1_1
g509.t1_1	g773.t1_1
g510.t2_1	g771.t1_1
g511.t1_1	g770.t1_1
g512.t1_1	g6938.t1_1
g513.t1_1	g5969.t1_1
g514.t1_1	g6939.t1_1
g515.t1_1	g17429.t1_1
g517.t1_1	g14497.t1_1
g519.t1_1	g5394.t1_1
g520.t1_1	g14837.t1_1
g521.t1_1	g15084.t1_1
g525.t1_1	g14918.t1_1
g526.t1_1	g13752.t1_1
g529.t1_1	g12009.t1_1
g530.t1_1	g14423.t1_1
g531.t1_1	g14426.t1_1
g532.t1_1	g14636.t1_1
g533.t1_1	g14638.t1_1
g534.t1_1	g14641.t1_1
g535.t1_1	g5616.t1_1
g537.t1_1	g14643.t1_1
g538.t2_1	g6515.t1_1
g539.t3_1	g15607.t1_1
g540.t1_1	g14972.t1_1
g542.t2_1	g15500.t1_1
g543.t1_1	g14104.t1_1
g545.t1_1	g11062.t1_1
g546.t1_1	g6326.t1_1
g547.t1_1	g6146.t1_1
g548.t2_1	g2384.t1_1
g549.t1_1	g960.t1_1
g550.t2_1	g10362.t1_1
g551.t1_1	g11552.t1_1
g552.t1_1	g12796.t1_1
g553.t2_1	g7251.t1_1
g554.t1_1	g6089.t1_1
g555.t1_1	g6711.t1_1
g556.t1_1	g6710.t1_1
g557.t1_1	g5682.t1_1
g559.t1_1	g5684.t1_1
g560.t1_1	g5685.t1_1
g561.t1_1	g5686.t1_1
g562.t1_1	g7714.t1_1
g563.t1_1	g1153.t1_1
g571.t1_1	g16258.t1_1
g576.t1_1	g9993.t1_1
g578.t1_1	g6256.t1_1
g583.t1_1	g15061.t1_1
g587.t1_1	g821.t1_1
g588.t1_1	g9224.t1_1
g590.t1_1	g8157.t1_1
g591.t1_1	g8152.t1_1
g592.t2_1	g4517.t1_1
g593.t1_1	g14357.t1_1
g594.t2_1	g7494.t1_1
g595.t1_1	g6967.t1_1
g596.t1_1	g3472.t1_1
g598.t1_1	g4626.t1_1
g599.t1_1	g15578.t1_1
g601.t1_1	g10361.t1_1
g602.t2_1	g5886.t1_1
g608.t1_1	g92.t1_1
g609.t1_1	g5879.t1_1
g612.t1_1	g3995.t1_1
g613.t1_1	g4477.t1_1
g614.t1_1	g4925.t1_1
g617.t1_1	g3907.t1_1
g618.t1_1	g17631.t1_1
g619.t1_1	g62.t1_1
g620.t1_1	g3617.t1_1
g621.t1_1	g2250.t1_1
g622.t1_1	g2251.t1_1
g623.t1_1	g315.t1_1
g625.t2_1	g316.t1_1
g626.t2_1	g221.t1_1
g628.t1_1	g4550.t1_1
g629.t1_1	g217.t1_1
g631.t1_1	g4947.t1_1
g636.t1_1	g213.t1_1
g637.t1_1	g6044.t1_1
g638.t1_1	g3118.t1_1
g643.t2_1	g3121.t1_1
g644.t2_1	g3123.t1_1
g645.t1_1	g11281.t1_1
g646.t2_1	g2230.t1_1
g648.t1_1	g2231.t2_1
g649.t2_1	g8567.t1_1
g651.t2_1	g8566.t1_1
g652.t1_1	g8592.t1_1
g653.t1_1	g8564.t1_1
g654.t1_1	g16683.t1_1
g655.t1_1	g914.t1_1
g656.t1_1	g8737.t1_1
g657.t1_1	g8738.t1_1
g658.t1_1	g912.t1_1
g659.t1_1	g3303.t1_1
g660.t1_1	g3304.t1_1
g661.t2_1	g762.t1_1
g662.t1_1	g3517.t1_1
g663.t2_1	g4819.t1_1
g664.t1_1	g5785.t1_1
g666.t1_1	g11466.t1_1
g667.t1_1	g9750.t2_1
g668.t1_1	g12746.t1_1
g669.t1_1	g12747.t1_1
g671.t1_1	g16385.t1_1
g672.t1_1	g16386.t1_1
g673.t1_1	g16387.t1_1
g674.t1_1	g1057.t1_1
g675.t1_1	g1868.t1_1
g676.t1_1	g12865.t1_1
g677.t1_1	g12866.t1_1
g678.t2_1	g12873.t1_1
g679.t1_1	g12550.t1_1
g680.t1_1	g1963.t1_1
g681.t1_1	g1962.t1_1
g682.t1_1	g1961.t1_1
g683.t1_1	g11406.t1_1
g684.t1_1	g11407.t1_1
g685.t1_1	g11409.t1_1
g686.t1_1	g9961.t1_1
g687.t1_1	g9962.t1_1
g688.t1_1	g5787.t1_1
g689.t1_1	g3895.t1_1
g691.t1_1	g11608.t1_1
g700.t1_1	g3894.t1_1
g701.t1_1	g8059.t1_1
g702.t1_1	g1956.t1_1
g705.t2_1	g3890.t1_1
g706.t2_1	g3888.t1_1
g707.t1_1	g3104.t2_1
g708.t1_1	g3101.t1_1
g710.t1_1	g2556.t1_1
g711.t1_1	g228.t1_1
g712.t1_1	g1883.t1_1
g715.t1_1	g4156.t1_1
g716.t1_1	g222.t1_1
g717.t2_1	g1550.t1_1
g718.t1_1	g1549.t1_1
g719.t1_1	g1551.t1_1
g721.t1_1	g1554.t1_1
g722.t1_1	g1555.t1_1
g723.t1_1	g317.t1_1
g725.t2_1	g204.t1_1
g726.t1_1	g4053.t1_1
g727.t1_1	g3709.t1_1
g732.t1_1	g3717.t1_1
g734.t1_1	g4059.t1_1
g737.t1_1	g4057.t1_1
g738.t1_1	g4054.t1_1
g741.t1_1	g3009.t3_1
g742.t2_1	g3008.t1_1
g743.t1_1	g3007.t1_1
g747.t1_1	g3002.t1_1
g749.t2_1	g2518.t1_1
g750.t1_1	g2517.t1_1
g753.t1_1	g5769.t1_1
g755.t1_1	g3300.t1_1
g757.t1_1	g3301.t1_1
g760.t1_1	g2485.t1_1
g761.t1_1	g2486.t1_1
g763.t2_1	g2490.t1_1
g764.t1_1	g2268.t1_1
g765.t1_1	g2200.t2_1
g766.t2_1	g2195.t1_1
g767.t2_1	g2193.t1_1
g768.t1_1	g2192.t1_1
g769.t1_1	g2191.t1_1
g770.t1_1	g958.t1_1
g771.t1_1	g959.t1_1
g772.t1_1	g3243.t1_1
g773.t1_1	g3241.t1_1
g776.t1_1	g2044.t1_1
g780.t1_1	g2050.t1_1
g796.t1_1	g9292.t1_1
g797.t1_1	g9293.t1_1
g798.t1_1	g9294.t1_1
g799.t1_1	g9295.t1_1
g800.t1_1	g9297.t1_1
g804.t1_1	g3240.t1_1
g805.t1_1	g3239.t1_1
g807.t1_1	g2045.t1_1
g808.t2_1	g2046.t1_1
g811.t1_1	g2051.t1_1
g817.t1_1	g8772.t1_1
g816.t1_1	g2059.t2_1
g818.t1_1	g16286.t1_1
g820.t1_1	g9586.t1_1
g821.t1_1	g16107.t1_1
g822.t1_1	g9291.t1_1
g828.t1_1	g9534.t2_1
g829.t1_1	g17218.t1_1
g830.t1_1	g9290.t1_1
g831.t2_1	g9399.t1_1
g842.t1_1	g8822.t1_1
g843.t1_1	g10365.t1_1
g845.t1_1	g3505.t1_1
g847.t1_1	g3504.t1_1
g848.t1_1	g2040.t1_1
g849.t1_1	g13107.t1_1
g857.t2_1	g2224.t1_1
g859.t1_1	g8563.t1_1
g860.t1_1	g6537.t1_1
g861.t1_1	g6506.t1_1
g864.t2_1	g6501.t1_1
g865.t1_1	g6499.t2_1
g867.t1_1	g8304.t1_1
g868.t1_1	g8305.t1_1
g869.t2_1	g8307.t1_1
g872.t1_1	g3763.t1_1
g873.t1_1	g7228.t2_1
g875.t1_1	g5292.t1_1
g876.t2_1	g5293.t1_1
g877.t2_1	g5295.t2_1
g880.t1_1	g15208.t1_1
g881.t1_1	g7716.t1_1
g883.t1_1	g7715.t1_1
g884.t1_1	g11756.t1_1
g886.t1_1	g11755.t1_1
g888.t1_1	g1079.t1_1
g891.t2_1	g7884.t1_1
g892.t1_1	g7883.t1_1
g893.t1_1	g7226.t1_1
g894.t1_1	g7881.t1_1
g895.t1_1	g7223.t1_1
g896.t1_1	g7224.t1_1
g897.t1_1	g6492.t1_1
g901.t1_1	g4983.t1_1
g904.t1_1	g6497.t1_1
g907.t1_1	g17113.t1_1
g909.t1_1	g6872.t1_1
g910.t1_1	g7922.t1_1
g911.t1_1	g12686.t1_1
g912.t1_1	g7919.t1_1
g913.t1_1	g7918.t1_1
g914.t1_1	g6612.t1_1
g915.t2_1	g7492.t1_1
g917.t1_1	g7491.t1_1
g918.t1_1	g9531.t1_1
g919.t1_1	g11537.t1_1
g920.t2_1	g3484.t1_1
g921.t1_1	g5470.t1_1
g922.t1_1	g3834.t1_1
g923.t1_1	g2235.t1_1
g924.t1_1	g2237.t1_1
g926.t1_1	g5745.t1_1
g927.t2_1	g5746.t1_1
g930.t2_1	g15395.t1_1
g931.t1_1	g2241.t1_1
g934.t1_1	g2239.t1_1
g935.t2_1	g4523.t1_1
g936.t1_1	g4991.t1_1
g938.t1_1	g4989.t1_1
g939.t1_1	g4988.t1_1
g940.t1_1	g2445.t1_1
g941.t1_1	g4583.t1_1
g944.t1_1	g6947.t1_1
g946.t1_1	g15808.t1_1
g947.t1_1	g3233.t1_1
g948.t1_1	g6268.t1_1
g949.t1_1	g6270.t1_1
g952.t3_1	g7889.t1_1
g954.t1_1	g10341.t1_1
g955.t2_1	g7890.t2_1
g957.t1_1	g7892.t1_1
g958.t1_1	g7893.t1_1
g960.t1_1	g6104.t1_1
g961.t1_1	g7239.t1_1
g962.t1_1	g6617.t1_1
g964.t1_1	g6613.t1_1
g965.t3_1	g2233.t1_1
g967.t1_1	g2234.t1_1
g968.t1_1	g5578.t1_1
g971.t3_1	g3117.t2_1
g972.t1_1	g3116.t1_1
g973.t1_1	g3113.t1_1
g974.t1_1	g3112.t1_1
g983.t1_1	g3107.t1_1
g984.t1_1	g3106.t1_1
g985.t1_1	g3885.t1_1
g986.t1_1	g2208.t1_1
g988.t1_1	g2209.t1_1
g990.t4_1	g738.t2_1
g991.t1_1	g12458.t1_1
g992.t2_1	g13109.t2_1
g994.t1_1	g13255.t1_1
g995.t1_1	g16123.t1_1
g997.t1_1	g12460.t1_1
g999.t1_1	g13214.t1_1
g1000.t1_1	g13215.t1_1
g1001.t2_1	g11189.t1_1
g1002.t1_1	g7669.t1_1
g1003.t1_1	g12716.t1_1
g1004.t1_1	g12719.t1_1
g1006.t2_1	g16715.t1_1
g1008.t1_1	g448.t1_1
g1009.t1_1	g11506.t1_1
g1010.t1_1	g12251.t1_1
g1012.t1_1	g13120.t1_1
g1013.t1_1	g13174.t1_1
g1014.t1_1	g13202.t1_1
g1015.t1_1	g17528.t2_1
g1016.t1_1	g12816.t1_1
g1017.t1_1	g13377.t1_1
g1018.t1_1	g13380.t1_1
g1019.t2_1	g12063.t1_1
g1020.t2_1	g3628.t1_1
g1021.t1_1	g12937.t1_1
g1022.t1_1	g12936.t1_1
g1031.t2_1	g1843.t1_1
g1033.t1_1	g12916.t2_1
g1034.t1_1	g12914.t1_1
g1035.t1_1	g12912.t1_1
g1037.t1_1	g12911.t1_1
g1039.t1_1	g12905.t1_1
g1040.t1_1	g4622.t1_1
g1041.t1_1	g4981.t1_1
g1042.t1_1	g6057.t1_1
g1043.t1_1	g5624.t1_1
g1044.t1_1	g4872.t1_1
g1045.t3_1	g6936.t1_1
g1046.t1_1	g3124.t1_1
g1047.t1_1	g12437.t1_1
g1048.t1_1	g12438.t1_1
g1049.t1_1	g12439.t1_1
g1050.t1_1	g12442.t1_1
g1052.t2_1	g12446.t1_1
g1053.t1_1	g12447.t1_1
g1054.t1_1	g12448.t1_1
g1056.t1_1	g12452.t1_1
g1057.t1_1	g12455.t1_1
g1061.t1_1	g988.t1_1
g1062.t1_1	g1606.t1_1
g1063.t1_1	g872.t2_1
g1064.t2_1	g1547.t1_1
g1066.t1_1	g16926.t1_1
g1067.t1_1	g1209.t1_1
g1070.t2_1	g4050.t1_1
g1071.t1_1	g3671.t1_1
g1072.t1_1	g3480.t1_1
g1073.t1_1	g2534.t1_1
g1075.t1_1	g3311.t1_1
g1082.t1_1	g3310.t1_1
g1084.t1_1	g3308.t1_1
g1087.t1_1	g3100.t1_1
g1091.t1_1	g3357.t1_1
g1093.t1_1	g3465.t1_1
g1094.t1_1	g1967.t1_1
g1095.t1_1	g1966.t1_1
g1096.t1_1	g1184.t1_1
g1097.t1_1	g2736.t1_1
g1098.t1_1	g2735.t1_1
g1100.t1_1	g2734.t1_1
g1102.t1_1	g7319.t1_1
g1103.t1_1	g10448.t1_1
g1106.t2_1	g4309.t1_1
g1108.t1_1	g4307.t1_1
g1110.t1_1	g4311.t1_1
g1111.t2_1	g3574.t1_1
g1113.t2_1	g3336.t1_1
g1114.t1_1	g3335.t1_1
g1115.t1_1	g3337.t1_1
g1116.t1_1	g3338.t1_1
g1117.t1_1	g3334.t1_1
g1118.t1_1	g3333.t1_1
g1119.t1_1	g2721.t1_1
g1121.t1_1	g2722.t1_1
g1122.t2_1	g439.t1_1
g1123.t1_1	g2723.t1_1
g1124.t1_1	g4306.t1_1
g1126.t1_1	g1882.t1_1
g1127.t1_1	g3696.t1_1
g1130.t1_1	g14702.t1_1
g1131.t1_1	g14704.t1_1
g1132.t1_1	g4291.t1_1
g1133.t1_1	g1970.t1_1
g1134.t1_1	g1943.t1_1
g1135.t1_1	g17112.t1_1
g1136.t2_1	g2075.t1_1
g1137.t1_1	g2073.t1_1
g1139.t1_1	g2070.t1_1
g1140.t1_1	g2071.t1_1
g1141.t1_1	g2069.t1_1
g1142.t2_1	g2067.t1_1
g1143.t3_1	g1927.t2_1
g1145.t1_1	g1920.t1_1
g1150.t1_1	g1915.t1_1
g1151.t2_1	g1902.t1_1
g1152.t1_1	g1901.t1_1
g1153.t1_1	g1900.t1_1
g1154.t1_1	g1899.t1_1
g1155.t1_1	g2520.t1_1
g1158.t1_1	g14224.t1_1
g1159.t1_1	g14225.t1_1
g1162.t3_1	g14228.t1_1
g1163.t1_1	g14459.t1_1
g1164.t2_1	g14456.t1_1
g1168.t1_1	g1587.t1_1
g1169.t1_1	g13988.t1_1
g1170.t1_1	g13980.t1_1
g1171.t1_1	g825.t1_1
g1172.t1_1	g8244.t1_1
g1173.t2_1	g7512.t1_1
g1174.t20_1	g6511.t1_1
g1175.t1_1	g7675.t1_1
g1177.t1_1	g7415.t1_1
g1178.t1_1	g2242.t1_1
g1179.t1_1	g2249.t1_1
g1180.t1_1	g1607.t1_1
g1181.t1_1	g5786.t1_1
g1182.t2_1	g16451.t1_1
g1185.t1_1	g322.t1_1
g1187.t1_1	g12774.t1_1
g1188.t1_1	g12748.t1_1
g1189.t1_1	g8504.t1_1
g1190.t1_1	g542.t1_1
g1194.t1_1	g16515.t2_1
g1201.t4_1	g16510.t1_1
g1202.t1_1	g16684.t1_1
g1203.t1_1	g16686.t1_1
g1204.t1_1	g15060.t1_1
g1206.t1_1	g15243.t1_1
g1207.t1_1	g4326.t1_1
g1208.t1_1	g4332.t1_1
g1209.t1_1	g2286.t1_1
g1210.t1_1	g2988.t1_1
g1211.t1_1	g2989.t1_1
g1212.t1_1	g2985.t1_1
g1213.t1_1	g2986.t1_1
g1215.t1_1	g2991.t1_1
g1216.t1_1	g2992.t1_1
g1217.t1_1	g2990.t1_1
g1219.t1_1	g13983.t2_1
g1220.t1_1	g13984.t1_1
g1221.t1_1	g13985.t1_1
g1224.t1_1	g13986.t1_1
g1226.t1_1	g14826.t1_1
g1227.t2_1	g3312.t1_1
g1228.t2_1	g15112.t1_1
g1230.t1_1	g15758.t3_1
g1231.t1_1	g14046.t1_1
g1233.t1_1	g14045.t1_1
g1234.t2_1	g14044.t1_1
g1236.t1_1	g14039.t1_1
g1238.t1_1	g14031.t1_1
g1239.t1_1	g14030.t1_1
g1242.t1_1	g10714.t1_1
g1244.t1_1	g2111.t1_1
g1245.t1_1	g2113.t1_1
g1246.t1_1	g2114.t1_1
g1248.t1_1	g2092.t1_1
g1249.t1_1	g2081.t1_1
g1253.t1_1	g3190.t2_1
g1255.t1_1	g12958.t1_1
g1256.t1_1	g12964.t1_1
g1259.t1_1	g12962.t1_1
g1260.t1_1	g12965.t1_1
g1261.t1_1	g12997.t1_1
g1262.t1_1	g12993.t1_1
g1263.t1_1	g12992.t2_1
g1264.t2_1	g12991.t1_1
g1265.t1_1	g12990.t1_1
g1266.t1_1	g12988.t1_1
g1267.t1_1	g1023.t1_1
g1268.t1_1	g3835.t1_1
g1269.t1_1	g2994.t1_1
g1270.t2_1	g4352.t1_1
g1271.t1_1	g2716.t1_1
g1272.t1_1	g4325.t1_1
g1273.t1_1	g13173.t1_1
g1274.t1_1	g14535.t1_1
g1275.t1_1	g2719.t1_1
g1276.t1_1	g4324.t1_1
g1277.t1_1	g10379.t1_1
g1279.t1_1	g15306.t1_1
g1280.t1_1	g15311.t1_1
g1282.t1_1	g15229.t1_1
g1283.t1_1	g15308.t1_1
g1284.t1_1	g15307.t1_1
g1285.t1_1	g9113.t1_1
g1286.t1_1	g14322.t1_1
g1287.t2_1	g14321.t1_1
g1291.t1_1	g15344.t1_1
g1293.t1_1	g15341.t1_1
g1294.t1_1	g15339.t1_1
g1295.t1_1	g15337.t1_1
g1296.t1_1	g15336.t1_1
g1297.t1_1	g5028.t1_1
g1299.t1_1	g8972.t1_1
g1300.t1_1	g15332.t1_1
g1301.t1_1	g15331.t1_1
