g7.t1_1	rna-NM_132816.4_1
g203.t1_1	rna-NM_142778.2_1
g204.t1_1	rna-NM_135346.4_1
g205.t1_1	rna-NM_140309.2_1
g211.t2_1	rna-NM_136237.4_1
g212.t3_1	rna-NM_137066.4_1
g213.t1_1	rna-NM_001299056.1_1
g216.t1_1	rna-NM_140816.3_1
g221.t1_1	rna-NM_135755.3_1
g224.t1_1	rna-NM_001260269.2_1
g225.t1_1	rna-NM_140329.3_1
g226.t1_1	rna-NM_079764.3_1
g227.t1_1	rna-NM_001042961.3_1
g228.t1_1	rna-NM_166040.2_1
g229.t1_1	rna-NM_079813.3_1
g230.t1_1	rna-NM_135652.3_1
g231.t1_1	rna-NM_130628.4_1
g232.t1_1	rna-NM_140365.3_1
g233.t1_1	rna-NM_078875.3_1
g236.t1_1	rna-NM_137901.2_1
g237.t1_1	rna-NM_170037.2_1
g240.t1_1	rna-NM_001110874.3_1
g243.t1_1	rna-NM_132945.3_1
g244.t1_1	rna-NM_131991.3_1
g245.t1_1	rna-NM_136673.3_1
g249.t1_1	rna-NM_132825.4_1
g250.t1_1	rna-NM_133098.3_1
g252.t1_1	rna-NM_137701.3_1
g255.t1_1	rna-NM_078521.3_1
g258.t1_1	rna-NM_164461.2_1
g260.t1_1	rna-NM_135106.4_1
g262.t1_1	rna-NM_057703.4_1
g263.t1_1	rna-NM_001273066.1_1
g264.t1_1	rna-NM_136331.3_1
g265.t1_1	rna-NM_132250.4_1
g268.t1_1	rna-NM_141935.4_1
g269.t1_1	rna-NM_132101.4_1
g270.t1_1	rna-NM_132045.4_1
g273.t1_1	rna-NM_143565.3_1
g275.t1_1	rna-NM_080378.4_1
g276.t1_1	rna-NM_131937.4_1
g277.t1_1	rna-NM_079980.4_1
g278.t2_1	rna-NM_130524.5_1
g279.t1_1	rna-NM_001275436.1_1
g280.t1_1	rna-NM_133029.4_1
g281.t1_1	rna-NM_141475.3_1
g282.t1_1	rna-NM_169610.2_1
g283.t2_1	rna-NM_135304.3_1
g285.t2_1	rna-NM_141717.3_1
g286.t1_1	rna-NM_132133.3_1
g287.t1_1	rna-NM_001260334.1_1
g288.t1_1	rna-NM_001275941.1_1
g289.t1_1	rna-NM_058049.5_1
g298.t1_1	rna-NM_001169261.3_1
g300.t1_1	rna-NM_136600.2_1
g303.t1_1	rna-NM_001274150.1_1
g304.t1_1	rna-NM_165983.2_1
g309.t1_1	rna-NM_136505.3_1
g310.t3_1	rna-NM_138240.2_1
g312.t1_1	rna-NM_132549.3_1
g313.t1_1	rna-NM_141111.6_1
g314.t1_1	rna-NM_138188.1_1
g315.t1_1	rna-NM_001316501.1_1
g316.t1_1	rna-NM_078755.3_1
g317.t3_1	rna-NM_057581.5_1
g318.t1_1	rna-NM_136701.3_1
g319.t2_1	rna-NM_141322.2_1
g320.t1_1	rna-NM_137221.3_1
g321.t1_1	rna-NM_136770.2_1
g324.t1_1	rna-NM_001298847.1_1
g325.t1_1	rna-NM_139511.4_1
g330.t1_1	rna-NM_142449.2_1
g332.t1_1	rna-NM_001274315.1_1
g335.t1_1	rna-NM_140188.4_1
g337.t2_1	rna-NM_001144310.1_1
g341.t1_1	rna-NM_001274772.2_1
g342.t1_1	rna-NM_001258779.1_1
g347.t1_1	rna-NM_001298637.1_1
g349.t1_1	rna-NM_001144288.2_1
g352.t1_1	rna-NM_079139.4_1
g358.t1_1	rna-NM_141656.2_1
g359.t1_1	rna-NM_137563.4_1
g360.t2_1	rna-NM_137552.3_1
g361.t1_1	rna-NM_132919.3_1
g362.t1_1	rna-NM_001144739.2_1
g363.t1_1	rna-NM_135555.3_1
g364.t1_1	rna-NM_001298259.1_1
g365.t2_1	rna-NM_001274321.1_1
g368.t1_1	rna-NM_057408.6_1
g371.t3_1	rna-NM_166434.2_1
g373.t1_1	rna-NM_176221.4_1
g374.t1_1	rna-NM_001170040.2_1
g375.t1_1	rna-NM_137868.2_1
g377.t2_1	rna-NM_001298089.1_1
g381.t1_1	rna-NM_079468.4_1
g382.t1_1	rna-NM_001273271.1_1
g385.t1_1	rna-NM_001299871.1_1
g393.t1_1	rna-NM_135348.3_1
g394.t1_1	rna-NM_142637.1_1
g395.t1_1	rna-NM_139925.3_1
g402.t1_1	rna-NM_134719.4_1
g403.t1_1	rna-NM_135310.4_1
g404.t1_1	rna-NM_132047.3_1
g405.t1_1	rna-NM_079166.3_1
g407.t1_1	rna-NM_168337.2_1
g409.t2_1	rna-NM_001273831.1_1
g411.t1_1	rna-NM_001043291.2_1
g413.t1_1	rna-NM_141779.3_1
g415.t1_1	rna-NM_142445.2_1
g422.t1_1	rna-NM_135868.2_1
g425.t1_1	rna-NM_135275.3_1
g427.t4_1	rna-NM_136123.3_1
g428.t1_1	rna-NM_136124.3_1
g430.t1_1	rna-NM_001273544.1_1
g431.t1_1	rna-NM_001104284.2_1
g432.t1_1	rna-NM_079663.3_1
g434.t1_1	rna-NM_141525.2_1
g435.t1_1	rna-NM_132900.3_1
g436.t1_1	rna-NM_141291.4_1
g437.t1_1	rna-NM_142118.2_1
g438.t1_1	rna-NM_001144681.3_1
g439.t2_1	rna-NM_001260094.2_1
g441.t1_1	rna-NM_143729.3_1
g442.t1_1	rna-NM_001043275.2_1
g449.t1_1	rna-NM_001272382.1_1
g450.t2_1	rna-NM_080508.4_1
g451.t3_1	rna-NM_132854.3_1
g453.t1_1	rna-NM_001275304.1_1
g454.t1_1	rna-NM_205944.3_1
g455.t1_1	rna-NM_001259024.2_1
g456.t1_1	rna-NM_135386.5_1
g458.t1_1	rna-NM_141674.3_1
g459.t1_1	rna-NM_001298593.1_1
g460.t1_1	rna-NM_001144507.3_1
g461.t6_1	rna-NM_001170102.2_1
g463.t1_1	rna-NM_001170125.3_1
g464.t1_1	rna-NM_138135.2_1
g465.t1_1	rna-NM_166022.2_1
g466.t1_1	rna-NM_135043.4_1
g468.t1_1	rna-NM_001259180.2_1
g469.t1_1	rna-NM_136102.4_1
g470.t1_1	rna-NM_141396.4_1
g471.t1_1	rna-NM_080155.3_1
g472.t1_1	rna-NM_142966.3_1
g473.t1_1	rna-NM_143063.2_1
g476.t1_1	rna-NM_131989.4_1
g477.t1_1	rna-NM_137081.5_1
g480.t2_1	rna-NM_001103730.2_1
g481.t1_1	rna-NM_001144138.2_1
g482.t1_1	rna-NM_142730.3_1
g484.t1_1	rna-NM_001201857.2_1
g487.t1_1	rna-NM_143340.4_1
g489.t2_1	rna-NM_001299147.1_1
g490.t1_1	rna-NM_166682.3_1
g493.t1_1	rna-NM_001272753.2_1
g494.t2_1	rna-NM_079125.3_1
g496.t1_1	rna-NM_079936.3_1
g497.t2_1	rna-NM_133110.3_1
g500.t1_1	rna-NM_001275066.1_1
g501.t1_1	rna-NM_001272810.1_1
g502.t1_1	rna-NM_132083.4_1
g503.t1_1	rna-NM_001201624.1_1
g504.t1_1	rna-NM_001275905.1_1
g505.t1_1	rna-NM_136052.3_1
g508.t1_1	rna-NM_168850.3_1
g509.t1_1	rna-NM_001275176.1_1
g510.t2_1	rna-NM_080131.5_1
g511.t1_1	rna-NM_001038945.2_1
g512.t1_1	rna-NM_001042983.2_1
g514.t1_1	rna-NM_001273699.1_1
g519.t1_1	rna-NM_001300400.1_1
g520.t1_1	rna-NM_164340.4_1
g521.t1_1	rna-NM_001276166.1_1
g525.t1_1	rna-NM_001272433.1_1
g529.t1_1	rna-NM_168209.4_1
g530.t1_1	rna-NM_001272191.1_1
g532.t1_1	rna-NM_079578.3_1
g533.t1_1	rna-NM_141747.3_1
g534.t1_1	rna-NM_001043310.2_1
g535.t1_1	rna-NM_132654.4_1
g537.t1_1	rna-NM_141691.2_1
g540.t1_1	rna-NM_132679.3_1
g544.t2_1	rna-NM_001103657.3_1
g545.t1_1	rna-NM_079591.6_1
g546.t1_1	rna-NM_136043.3_1
g548.t2_1	rna-NM_168824.3_1
g551.t1_1	rna-NM_001170041.2_1
g552.t1_1	rna-NM_170327.4_1
g553.t2_1	rna-NM_141255.3_1
g554.t1_1	rna-NM_001276021.1_1
g555.t1_1	rna-NM_168600.3_1
g556.t1_1	rna-NM_132725.3_1
g559.t1_1	rna-NM_001031951.3_1
g561.t1_1	rna-NM_141218.3_1
g562.t1_1	rna-NM_079260.3_1
g563.t1_1	rna-NM_165049.2_1
g578.t1_1	rna-NM_142416.4_1
g587.t1_1	rna-NM_165398.2_1
g590.t1_1	rna-NM_079137.3_1
g591.t1_1	rna-NM_057540.4_1
g592.t2_1	rna-NM_132302.4_1
g593.t1_1	rna-NM_166910.2_1
g594.t2_1	rna-NM_141237.2_1
g595.t1_1	rna-NM_143006.2_1
g598.t1_1	rna-NM_206606.3_1
g601.t1_1	rna-NM_141792.3_1
g602.t2_1	rna-NM_134983.3_1
g613.t1_1	rna-NM_135058.4_1
g614.t1_1	rna-NM_133024.4_1
g617.t1_1	rna-NM_079687.3_1
g618.t1_1	rna-NM_001272938.2_1
g620.t1_1	rna-NM_001260373.2_1
g621.t1_1	rna-NM_168894.3_1
g622.t1_1	rna-NM_079473.4_1
g623.t1_1	rna-NM_132476.3_1
g625.t2_1	rna-NM_136450.4_1
g626.t2_1	rna-NM_001382005.1_1
g628.t1_1	rna-NM_143534.3_1
g631.t1_1	rna-NM_001273427.1_1
g636.t1_1	rna-NM_167411.3_1
g638.t1_1	rna-NM_169222.3_1
g642.t1_1	rna-NM_001169771.2_1
g643.t2_1	rna-NM_137762.4_1
g644.t2_1	rna-NM_140080.2_1
g645.t1_1	rna-NM_079208.3_1
g646.t2_1	rna-NM_167856.3_1
g648.t1_1	rna-NM_138236.2_1
g649.t2_1	rna-NM_139414.3_1
g651.t2_1	rna-NM_001273414.1_1
g652.t1_1	rna-NM_170326.4_1
g653.t1_1	rna-NM_139403.2_1
g654.t1_1	rna-NM_079632.6_1
g655.t1_1	rna-NM_135088.2_1
g656.t1_1	rna-NM_001038843.3_1
g657.t1_1	rna-NM_143667.3_1
g659.t1_1	rna-NM_001347744.1_1
g661.t2_1	rna-NM_168237.2_1
g662.t1_1	rna-NM_141312.4_1
g663.t2_1	rna-NM_001103776.3_1
g664.t1_1	rna-NM_170317.2_1
g666.t1_1	rna-NM_145193.2_1
g667.t1_1	rna-NM_001259745.2_1
g668.t1_1	rna-NM_165996.2_1
g669.t1_1	rna-NM_133018.4_1
g670.t1_1	rna-NM_001260104.1_1
g672.t1_1	rna-NM_206352.2_1
g673.t1_1	rna-NM_142485.3_1
g674.t1_1	rna-NM_080142.3_1
g675.t1_1	rna-NM_058153.4_1
g676.t1_1	rna-NM_057814.4_1
g677.t1_1	rna-NM_164582.3_1
g678.t2_1	rna-NM_142683.3_1
g679.t1_1	rna-NM_001202353.2_1
g680.t1_1	rna-NM_058121.4_1
g681.t1_1	rna-NM_079316.3_1
g682.t1_1	rna-NM_001300286.1_1
g683.t1_1	rna-NM_138190.2_1
g684.t1_1	rna-NM_001202294.1_1
g685.t1_1	rna-NM_079488.4_1
g686.t1_1	rna-NM_141569.4_1
g687.t1_1	rna-NM_079041.2_1
g688.t1_1	rna-NM_167668.2_1
g689.t1_1	rna-NM_143620.2_1
g700.t1_1	rna-NM_080158.3_1
g701.t1_1	rna-NM_080107.3_1
g705.t2_1	rna-NM_140172.2_1
g706.t2_1	rna-NM_135491.5_1
g708.t1_1	rna-NM_001369965.1_1
g710.t1_1	rna-NM_079827.3_1
g711.t1_1	rna-NM_001299202.1_1
g712.t1_1	rna-NM_001032245.2_1
g715.t1_1	rna-NM_057836.4_1
g716.t1_1	rna-NM_166484.2_1
g718.t1_1	rna-NM_205901.3_1
g721.t1_1	rna-NM_132891.2_1
g722.t1_1	rna-NM_001202284.1_1
g723.t1_1	rna-NM_001272232.1_1
g724.t1_1	rna-NM_079311.3_1
g725.t2_1	rna-NM_080245.5_1
g726.t1_1	rna-NM_137832.2_1
g727.t1_1	rna-NM_136424.3_1
g738.t1_1	rna-NM_165573.3_1
g741.t1_1	rna-NM_001042800.3_1
g743.t1_1	rna-NM_001144678.2_1
g747.t1_1	rna-NM_079643.2_1
g749.t2_1	rna-NM_166690.3_1
g750.t1_1	rna-NM_135218.3_1
g753.t1_1	rna-NM_131932.4_1
g757.t1_1	rna-NM_001169157.2_1
g760.t1_1	rna-NM_143813.3_1
g761.t1_1	rna-NM_140463.4_1
g764.t1_1	rna-NM_132317.2_1
g765.t1_1	rna-NM_137008.3_1
g766.t2_1	rna-NM_166102.2_1
g768.t1_1	rna-NM_138118.4_1
g769.t1_1	rna-NM_137827.3_1
g770.t1_1	rna-NM_001038806.3_1
g771.t1_1	rna-NM_001274031.2_1
g772.t1_1	rna-NM_001274866.1_1
g773.t1_1	rna-NM_057586.4_1
g775.t1_1	rna-NM_057962.5_1
g780.t1_1	rna-NM_001274670.1_1
g792.t1_1	rna-NM_169299.2_1
g796.t1_1	rna-NM_001258725.2_1
g798.t1_1	rna-NM_132827.3_1
g800.t1_1	rna-NM_001103497.2_1
g804.t1_1	rna-NM_001316426.1_1
g806.t1_1	rna-NM_001169652.2_1
g807.t1_1	rna-NM_079258.3_1
g811.t1_1	rna-NM_001259519.2_1
g817.t1_1	rna-NM_139271.3_1
g816.t1_1	rna-NM_206192.2_1
g820.t1_1	rna-NM_135520.4_1
g821.t1_1	rna-NM_130514.5_1
g822.t1_1	rna-NM_130654.3_1
g828.t1_1	rna-NM_130516.4_1
g829.t1_1	rna-NM_057869.4_1
g830.t1_1	rna-NM_001297938.1_1
g831.t2_1	rna-NM_143625.2_1
g842.t1_1	rna-NM_001273671.2_1
g843.t1_1	rna-NM_080314.3_1
g845.t1_1	rna-NM_001274266.1_1
g847.t1_1	rna-NM_001299323.1_1
g848.t1_1	rna-NM_138268.2_1
g849.t1_1	rna-NM_141183.4_1
g850.t2_1	rna-NM_001274545.2_1
g851.t1_1	rna-NM_168162.2_1
g857.t2_1	rna-NM_001103837.2_1
g859.t1_1	rna-NM_164917.2_1
g861.t1_1	rna-NM_057214.5_1
g864.t2_1	rna-NM_001273446.1_1
g865.t1_1	rna-NM_164717.2_1
g872.t1_1	rna-NM_138984.4_1
g873.t1_1	rna-NM_140497.3_1
g875.t1_1	rna-NM_001272305.1_1
g876.t2_1	rna-NM_167233.2_1
g877.t2_1	rna-NM_001272264.1_1
g880.t1_1	rna-NM_001042963.2_1
g881.t1_1	rna-NM_132683.2_1
g886.t1_1	rna-NM_166539.2_1
g891.t2_1	rna-NM_168605.2_1
g894.t1_1	rna-NM_138027.3_1
g896.t1_1	rna-NM_130483.3_1
g897.t1_1	rna-NM_164897.3_1
g901.t1_1	rna-NM_078631.4_1
g904.t1_1	rna-NM_001258987.2_1
g909.t1_1	rna-NM_141661.2_1
g911.t1_1	rna-NM_001299779.1_1
g912.t1_1	rna-NM_057333.4_1
g913.t1_1	rna-NM_001272916.1_1
g914.t1_1	rna-NM_057771.4_1
g915.t2_1	rna-NM_141238.2_1
g917.t1_1	rna-NM_141323.2_1
g918.t1_1	rna-NM_057623.4_1
g920.t2_1	rna-NM_001259189.2_1
g921.t1_1	rna-NM_166603.2_1
g922.t1_1	rna-NM_140067.2_1
g923.t1_1	rna-NM_133060.3_1
g924.t1_1	rna-NM_001272637.2_1
g926.t1_1	rna-NM_135359.3_1
g927.t2_1	rna-NM_140758.3_1
g930.t2_1	rna-NM_001275522.1_1
g931.t1_1	rna-NM_139797.4_1
g934.t1_1	rna-NM_001300026.1_1
g935.t2_1	rna-NM_001258519.1_1
g939.t1_1	rna-NM_137248.4_1
g940.t1_1	rna-NM_164673.3_1
g941.t1_1	rna-NM_001298477.1_1
g944.t1_1	rna-NM_057252.4_1
g947.t1_1	rna-NM_141114.3_1
g948.t1_1	rna-NM_001201850.1_1
g949.t1_1	rna-NM_136198.4_1
g952.t3_1	rna-NM_001300430.1_1
g955.t2_1	rna-NM_001316565.1_1
g957.t1_1	rna-NM_001299973.1_1
g958.t1_1	rna-NM_135895.3_1
g959.t1_1	rna-NM_137224.3_1
g960.t1_1	rna-NM_133017.4_1
g961.t1_1	rna-NM_134866.3_1
g964.t1_1	rna-NM_169947.3_1
g965.t3_1	rna-NM_206711.3_1
g966.t1_1	rna-NM_079444.3_1
g967.t1_1	rna-NM_135237.3_1
g968.t1_1	rna-NM_140522.3_1
g971.t3_1	rna-NM_206143.3_1
g972.t1_1	rna-NM_137626.3_1
g973.t1_1	rna-NM_001259896.2_1
g974.t1_1	rna-NM_001043067.2_1
g985.t1_1	rna-NM_168471.3_1
g986.t1_1	rna-NM_001275142.1_1
g988.t1_1	rna-NM_080262.4_1
g990.t4_1	rna-NM_001299889.1_1
g991.t1_1	rna-NM_001032044.2_1
g992.t2_1	rna-NM_001104129.2_1
g994.t1_1	rna-NM_057657.5_1
g995.t1_1	rna-NM_001300658.1_1
g999.t1_1	rna-NM_164839.2_1
g1000.t1_1	rna-NM_136916.2_1
g1001.t2_1	rna-NM_142823.3_1
g1002.t1_1	rna-NM_132328.3_1
g1003.t1_1	rna-NM_140562.2_1
g1004.t1_1	rna-NM_135476.4_1
g1005.t1_1	rna-NM_141907.2_1
g1006.t2_1	rna-NM_078841.5_1
g1008.t1_1	rna-NM_136425.3_1
g1009.t1_1	rna-NM_164800.2_1
g1010.t1_1	rna-NM_001273498.1_1
g1013.t1_1	rna-NM_137765.3_1
g1014.t1_1	rna-NM_140558.4_1
g1015.t1_1	rna-NM_001274319.1_1
g1016.t1_1	rna-NM_080077.2_1
g1018.t1_1	rna-NM_133105.3_1
g1019.t2_1	rna-NM_176736.2_1
g1020.t2_1	rna-NM_141797.4_1
g1021.t1_1	rna-NM_079114.2_1
g1022.t1_1	rna-NM_001300125.1_1
g1033.t1_1	rna-NM_138150.4_1
g1035.t1_1	rna-NM_138059.3_1
g1037.t1_1	rna-NM_136358.3_1
g1040.t1_1	rna-NM_079374.4_1
g1041.t1_1	rna-NM_001258659.2_1
g1042.t1_1	rna-NM_167729.2_1
g1044.t1_1	rna-NM_001298618.1_1
g1046.t1_1	rna-NM_206111.3_1
g1048.t1_1	rna-NM_141408.4_1
g1049.t1_1	rna-NM_137864.3_1
g1050.t1_1	rna-NM_132226.3_1
g1052.t2_1	rna-NM_001272467.1_1
g1053.t1_1	rna-NM_136583.4_1
g1056.t1_1	rna-NM_001273443.3_1
g1061.t1_1	rna-NM_001272441.2_1
g1062.t1_1	rna-NM_001299410.1_1
g1064.t2_1	rna-NM_001273418.1_1
g1066.t1_1	rna-NM_079305.3_1
g1067.t1_1	rna-NM_079443.2_1
g1070.t2_1	rna-NM_141004.3_1
g1071.t1_1	rna-NM_001259499.2_1
g1072.t1_1	rna-NM_078950.4_1
g1073.t1_1	rna-NM_168872.1_1
g1075.t1_1	rna-NM_166201.3_1
g1082.t1_1	rna-NM_166187.2_1
g1084.t1_1	rna-NM_130577.4_1
g1087.t1_1	rna-NM_078981.3_1
g1091.t1_1	rna-NM_079878.5_1
g1093.t1_1	rna-NM_001272607.2_1
g1095.t1_1	rna-NM_057298.4_1
g1096.t1_1	rna-NM_143600.3_1
g1098.t1_1	rna-NM_001316383.1_1
g1099.t1_1	rna-NM_143023.2_1
g1100.t1_1	rna-NM_206338.2_1
g1102.t1_1	rna-NM_001273690.1_1
g1106.t2_1	rna-NM_080017.3_1
g1110.t1_1	rna-NM_176358.2_1
g1111.t2_1	rna-NM_001300189.1_1
g1112.t1_1	rna-NM_206227.3_1
g1113.t2_1	rna-NM_001299522.1_1
g1114.t1_1	rna-NM_001382195.1_1
g1115.t1_1	rna-NM_136759.3_1
g1117.t1_1	rna-NM_136768.2_1
g1118.t1_1	rna-NM_001300707.1_1
g1119.t1_1	rna-NM_001103986.3_1
g1121.t1_1	rna-NM_140121.2_1
g1122.t2_1	rna-NM_142934.4_1
g1123.t1_1	rna-NM_168102.3_1
g1124.t1_1	rna-NM_078599.5_1
g1126.t1_1	rna-NM_140663.4_1
g1130.t1_1	rna-NM_137365.4_1
g1131.t1_1	rna-NM_164714.2_1
g1133.t1_1	rna-NM_132095.4_1
g1134.t1_1	rna-NM_079396.4_1
g1135.t1_1	rna-NM_140498.2_1
g1136.t2_1	rna-NM_001274375.1_1
g1137.t1_1	rna-NM_001274388.1_1
g1139.t1_1	rna-NM_001144400.2_1
g1141.t1_1	rna-NM_137287.2_1
g1143.t3_1	rna-NM_206294.3_1
g1145.t1_1	rna-NM_206288.4_1
g1147.t2_1	rna-NM_001273536.1_1
g1150.t1_1	rna-NM_139844.3_1
g1151.t2_1	rna-NM_139843.3_1
g1152.t1_1	rna-NM_001259695.1_1
g1153.t1_1	rna-NM_140189.3_1
g1154.t1_1	rna-NM_079319.4_1
g1155.t1_1	rna-NM_166193.2_1
g1157.t1_1	rna-NM_139715.6_1
g1159.t1_1	rna-NM_001260371.1_1
g1162.t3_1	rna-NM_143064.2_1
g1163.t1_1	rna-NM_134718.6_1
g1164.t2_1	rna-NM_165934.3_1
g1166.t1_1	rna-NM_001042896.3_1
g1167.t1_1	rna-NM_001272909.1_1
g1168.t1_1	rna-NM_141022.4_1
g1170.t1_1	rna-NM_130600.2_1
g1171.t1_1	rna-NM_079050.3_1
g1172.t1_1	rna-NM_139904.2_1
g1173.t2_1	rna-NM_001103478.2_1
g1174.t20_1	rna-NM_141644.4_1
g1175.t1_1	rna-NM_080530.3_1
g1176.t1_1	rna-NM_001274735.1_1
g1177.t1_1	rna-NM_001275048.1_1
g1178.t1_1	rna-NM_057507.4_1
g1179.t1_1	rna-NM_001274688.1_1
g1180.t1_1	rna-NM_144123.3_1
g1181.t1_1	rna-NM_143039.3_1
g1183.t1_1	rna-NM_078986.3_1
g1186.t1_1	rna-NM_001103987.2_1
g1188.t1_1	rna-NM_169656.2_1
g1190.t1_1	rna-NM_079298.4_1
g1194.t1_1	rna-NM_001104344.2_1
g1201.t4_1	rna-NM_001260443.2_1
g1202.t1_1	rna-NM_140182.3_1
g1203.t1_1	rna-NM_143611.3_1
g1204.t1_1	rna-NM_001272589.1_1
g1206.t1_1	rna-NM_079758.3_1
g1208.t1_1	rna-NM_001260187.1_1
g1210.t1_1	rna-NM_001300194.1_1
g1211.t1_1	rna-NM_206362.2_1
g1212.t1_1	rna-NM_139967.2_1
g1213.t1_1	rna-NM_001299975.1_1
g1215.t1_1	rna-NM_165550.3_1
g1216.t1_1	rna-NM_165551.4_1
g1221.t1_1	rna-NM_001038850.2_1
g1225.t1_1	rna-NM_165828.3_1
g1227.t2_1	rna-NM_001298800.1_1
g1228.t2_1	rna-NM_132075.4_1
g1230.t1_1	rna-NM_057661.3_1
g1231.t1_1	rna-NM_165557.2_1
g1234.t2_1	rna-NM_001369969.1_1
g1236.t1_1	rna-NM_001272459.1_1
g1239.t1_1	rna-NM_139490.2_1
g1246.t1_1	rna-NM_135564.4_1
g1248.t1_1	rna-NM_142071.3_1
g1249.t1_1	rna-NM_001272892.1_1
g1255.t1_1	rna-NM_142329.4_1
g1260.t1_1	rna-NM_138014.3_1
g1261.t1_1	rna-NM_142913.2_1
g1265.t1_1	rna-NM_141571.5_1
g1266.t1_1	rna-NM_001260065.2_1
g1267.t1_1	rna-NM_080361.3_1
g1268.t1_1	rna-NM_140042.3_1
g1269.t1_1	rna-NM_136953.4_1
g1270.t2_1	rna-NM_140720.5_1
g1271.t1_1	rna-NM_142644.2_1
g1272.t1_1	rna-NM_140743.2_1
g1273.t1_1	rna-NM_139974.4_1
g1275.t1_1	rna-NM_001299273.1_1
g1276.t1_1	rna-NM_136729.4_1
g1277.t1_1	rna-NM_136481.3_1
g1279.t1_1	rna-NM_142061.3_1
g1280.t1_1	rna-NM_141382.3_1
g1282.t1_1	rna-NM_141613.2_1
g1283.t1_1	rna-NM_141383.2_1
g1284.t1_1	rna-NM_141384.4_1
g1287.t2_1	rna-NM_169133.2_1
g1293.t1_1	rna-NM_141373.2_1
g1294.t1_1	rna-NM_001382153.1_1
g1295.t1_1	rna-NM_141370.2_1
g1296.t1_1	rna-NM_141369.3_1
g1300.t1_1	rna-NM_001275374.1_1
g1301.t1_1	rna-NM_141363.2_1
g1303.t1_1	rna-NM_001260018.2_1
g1306.t1_1	rna-NM_001276057.1_1
g1307.t1_1	rna-NM_001275637.2_1
g1308.t3_1	rna-NM_132811.3_1
g1311.t1_1	rna-NM_135602.4_1
g1313.t1_1	rna-NM_001275786.2_1
g1316.t1_1	rna-NM_169834.2_1
g1317.t1_1	rna-NM_142648.3_1
g1318.t1_1	rna-NM_140625.3_1
g1319.t1_1	rna-NM_057664.6_1
g1321.t3_1	rna-NM_001104160.3_1
g1322.t1_1	rna-NM_001259161.3_1
g1323.t2_1	rna-NM_001298576.1_1
g1324.t1_1	rna-NM_140927.5_1
g1327.t1_1	rna-NM_166441.4_1
g1328.t1_1	rna-NM_140025.4_1
