g6.t1_1	g12309.t1_1
g380.t1_1	g13237.t1_1
g381.t1_1	g13950.t1_1
g382.t1_1	g8618.t1_1
g385.t1_1	g4885.t1_1
g394.t1_1	g8857.t1_1
g395.t1_1	g8796.t1_1
g399.t1_1	g16780.t1_1
g402.t1_1	g8616.t1_1
g403.t1_1	g8617.t1_1
g404.t1_1	g6659.t1_1
g405.t1_1	g7223.t1_1
g406.t1_1	g9002.t1_1
g407.t1_1	g9003.t1_1
g408.t1_1	g4562.t1_1
g409.t2_1	g9004.t1_1
g411.t1_1	g5317.t1_1
g413.t1_1	g9275.t1_1
g415.t1_1	g8123.t1_1
g419.t1_1	g3007.t1_1
g421.t1_1	g7835.t1_1
g422.t1_1	g7834.t1_1
g423.t1_1	g7833.t1_1
g425.t1_1	g8336.t1_1
g426.t1_1	g8335.t1_1
g427.t4_1	g8334.t1_1
g428.t1_1	g8333.t1_1
g431.t1_1	g7902.t1_1
g432.t1_1	g10829.t1_1
g433.t1_1	g10937.t1_1
g434.t1_1	g10936.t1_1
g435.t1_1	g11100.t1_1
g436.t1_1	g10529.t1_1
g437.t1_1	g10530.t1_1
g438.t1_1	g10496.t1_1
g441.t1_1	g10883.t1_1
g442.t1_1	g10713.t1_1
g447.t1_1	g15479.t1_1
g449.t1_1	g5649.t1_1
g450.t2_1	g6829.t1_1
g451.t3_1	g11072.t1_1
g452.t1_1	g9500.t1_1
g453.t1_1	g10395.t1_1
g454.t1_1	g6279.t1_1
g455.t1_1	g6281.t1_1
g456.t1_1	g5840.t1_1
g458.t1_1	g11080.t1_1
g459.t1_1	g10697.t1_1
g460.t1_1	g1314.t2_1
g461.t6_1	g10507.t2_1
g463.t1_1	g10980.t1_1
g464.t1_1	g11225.t1_1
g465.t1_1	g6728.t1_1
g466.t1_1	g6120.t1_1
g467.t1_1	g8637.t1_1
g468.t1_1	g9110.t1_1
g469.t1_1	g9203.t1_1
g470.t1_1	g8795.t1_1
g471.t1_1	g7788.t1_1
g472.t1_1	g9967.t1_1
g474.t1_1	g10890.t1_1
g475.t2_1	g10889.t1_1
g476.t1_1	g7206.t1_1
g477.t1_1	g6587.t2_1
g480.t2_1	g6589.t1_1
g481.t1_1	g6478.t1_1
g482.t1_1	g6676.t1_1
g484.t1_1	g5433.t1_1
g487.t1_1	g10816.t1_1
g489.t2_1	g5431.t1_1
g490.t1_1	g9000.t1_1
g493.t1_1	g12625.t1_1
g494.t2_1	g12626.t1_1
g495.t1_1	g16184.t1_1
g496.t1_1	g16543.t1_1
g497.t2_1	g17086.t1_1
g498.t1_1	g17089.t2_1
g500.t1_1	g16979.t1_1
g501.t1_1	g17351.t1_1
g502.t1_1	g17353.t1_1
g503.t1_1	g16711.t1_1
g504.t1_1	g16844.t1_1
g505.t1_1	g16351.t1_1
g507.t1_1	g12285.t1_1
g508.t1_1	g15484.t1_1
g509.t1_1	g15485.t1_1
g510.t2_1	g15245.t1_1
g511.t1_1	g15243.t1_1
g512.t1_1	g7671.t1_1
g513.t1_1	g5558.t1_1
g514.t1_1	g7673.t1_1
g515.t1_1	g18682.t1_1
g516.t1_1	g15096.t1_1
g519.t1_1	g6582.t1_1
g520.t1_1	g10881.t1_1
g521.t1_1	g10814.t1_1
g522.t1_1	g18195.t1_1
g525.t1_1	g10817.t1_1
g529.t1_1	g12628.t1_1
g530.t1_1	g10033.t1_1
g532.t1_1	g10314.t1_1
g533.t1_1	g10318.t1_1
g534.t1_1	g10315.t1_1
g535.t1_1	g6286.t1_1
g536.t1_1	g17757.t1_1
g537.t1_1	g10317.t1_1
g539.t3_1	g10534.t2_1
g540.t1_1	g18336.t1_1
g542.t2_1	g10497.t1_1
g544.t2_1	g10499.t1_1
g545.t1_1	g4044.t1_1
g546.t1_1	g8432.t1_1
g548.t2_1	g2499.t1_1
g549.t1_1	g12448.t1_1
g550.t2_1	g4046.t1_1
g551.t1_1	g4051.t1_1
g552.t1_1	g4049.t1_1
g553.t2_1	g14380.t1_1
g554.t1_1	g6831.t1_1
g555.t1_1	g9052.t1_1
g556.t1_1	g9051.t1_1
g557.t1_1	g6468.t1_1
g559.t1_1	g6469.t1_1
g560.t1_1	g6470.t1_1
g562.t1_1	g8578.t1_1
g571.t1_1	g6494.t1_1
g576.t1_1	g4853.t1_1
g578.t1_1	g8533.t1_1
g583.t1_1	g9858.t1_1
g587.t1_1	g12931.t1_1
g588.t1_1	g16481.t1_1
g590.t1_1	g8870.t1_1
g591.t1_1	g7897.t1_1
g592.t2_1	g6776.t3_1
g593.t1_1	g9490.t1_1
g595.t1_1	g8469.t1_1
g596.t1_1	g4255.t1_1
g598.t1_1	g6979.t1_1
g601.t1_1	g4045.t1_1
g602.t2_1	g6755.t1_1
g609.t1_1	g6747.t1_1
g612.t1_1	g1709.t1_1
g614.t1_1	g4523.t1_1
g617.t1_1	g1761.t1_1
g618.t1_1	g18458.t1_1
g619.t1_1	g13050.t2_1
g620.t1_1	g2481.t1_1
g621.t1_1	g1305.t1_1
g622.t1_1	g15554.t1_1
g623.t1_1	g12465.t2_1
g625.t2_1	g10772.t1_1
g626.t2_1	g12889.t1_1
g627.t1_1	g1739.t1_1
g628.t1_1	g5512.t1_1
g629.t1_1	g12898.t1_1
g631.t1_1	g6437.t1_1
g636.t1_1	g12921.t1_1
g637.t1_1	g6272.t1_1
g638.t1_1	g1469.t1_1
g644.t2_1	g1614.t1_1
g645.t1_1	g8834.t1_1
g646.t2_1	g2190.t1_1
g648.t1_1	g2189.t1_1
g649.t2_1	g17009.t1_1
g651.t2_1	g16729.t1_1
g652.t1_1	g16730.t1_1
g655.t1_1	g15486.t1_1
g656.t1_1	g16854.t1_1
g657.t1_1	g16860.t1_1
g658.t1_1	g16358.t1_1
g659.t1_1	g2367.t1_1
g660.t1_1	g1540.t1_1
g661.t2_1	g2410.t1_1
g662.t1_1	g16065.t1_1
g663.t2_1	g6303.t1_1
g664.t1_1	g6249.t1_1
g665.t1_1	g6248.t1_1
g666.t1_1	g4577.t1_1
g667.t1_1	g5276.t1_1
g668.t1_1	g14641.t1_1
g669.t1_1	g14642.t1_1
g670.t1_1	g15131.t1_1
g672.t1_1	g15128.t1_1
g673.t1_1	g12636.t1_1
g674.t1_1	g12927.t1_1
g675.t1_1	g12928.t1_1
g676.t1_1	g14046.t1_1
g677.t1_1	g14047.t1_1
g678.t2_1	g14056.t1_1
g679.t1_1	g14741.t1_1
g680.t1_1	g16884.t1_1
g681.t1_1	g5293.t1_1
g682.t1_1	g438.t1_1
g683.t1_1	g4688.t1_1
g684.t1_1	g4687.t1_1
g685.t1_1	g4686.t1_1
g686.t1_1	g5210.t1_1
g687.t1_1	g5211.t1_1
g688.t1_1	g6294.t1_1
g689.t1_1	g1775.t1_1
g691.t1_1	g3846.t1_1
g695.t1_1	g3702.t2_1
g700.t1_1	g1777.t1_1
g701.t1_1	g7684.t1_1
g705.t2_1	g1774.t1_1
g706.t2_1	g1773.t1_1
g707.t1_1	g2685.t1_1
g708.t1_1	g2684.t1_1
g710.t1_1	g2622.t1_1
g711.t1_1	g16404.t1_1
g712.t1_1	g515.t1_1
g715.t1_1	g12700.t1_1
g716.t1_1	g12613.t1_1
g717.t2_1	g16406.t1_1
g718.t1_1	g16408.t1_1
g719.t1_1	g16409.t1_1
g721.t1_1	g16411.t1_1
g722.t1_1	g16412.t1_1
g723.t1_1	g12466.t1_1
g724.t1_1	g16281.t1_1
g725.t2_1	g12662.t1_1
g726.t1_1	g1352.t1_1
g727.t1_1	g2158.t1_1
g730.t1_1	g14626.t1_1
g732.t1_1	g2147.t1_1
g734.t1_1	g2144.t1_1
g737.t1_1	g2142.t1_1
g738.t1_1	g1323.t1_1
g741.t1_1	g1397.t1_1
g742.t2_1	g1247.t1_1
g743.t1_1	g5367.t1_1
g745.t1_1	g9225.t1_1
g747.t1_1	g14939.t1_1
g749.t2_1	g2220.t1_1
g750.t1_1	g2221.t1_1
g753.t1_1	g6360.t1_1
g757.t1_1	g1733.t1_1
g760.t1_1	g2141.t1_1
g761.t1_1	g2138.t2_1
g763.t2_1	g2137.t1_1
g764.t1_1	g2358.t1_1
g765.t1_1	g1671.t1_1
g766.t2_1	g1672.t1_1
g767.t2_1	g1674.t1_1
g768.t1_1	g1660.t1_1
g770.t1_1	g12452.t1_1
g771.t1_1	g12442.t1_1
g772.t1_1	g6581.t1_1
g773.t1_1	g1367.t1_1
g775.t1_1	g1100.t1_1
g776.t1_1	g2611.t1_1
g780.t1_1	g2619.t1_1
g797.t1_1	g16605.t1_1
g798.t1_1	g16607.t1_1
g799.t1_1	g17066.t1_1
g800.t1_1	g17068.t2_1
g802.t1_1	g17343.t1_1
g804.t1_1	g1366.t1_1
g807.t1_1	g2613.t1_1
g808.t2_1	g2614.t1_1
g811.t1_1	g2537.t1_1
g812.t1_1	g2540.t1_1
g817.t1_1	g17439.t1_1
g816.t1_1	g2542.t2_1
g818.t1_1	g12737.t1_1
g820.t1_1	g17072.t1_1
g821.t1_1	g12750.t1_1
g822.t1_1	g16924.t1_1
g823.t1_1	g17242.t1_1
g827.t1_1	g17069.t1_1
g829.t1_1	g18513.t1_1
g830.t1_1	g16923.t1_1
g831.t2_1	g16602.t1_1
g842.t1_1	g16816.t1_1
g843.t1_1	g3758.t1_1
g844.t1_1	g17755.t1_1
g845.t1_1	g2115.t1_1
g847.t1_1	g2074.t1_1
g848.t1_1	g2606.t1_1
g849.t1_1	g6784.t1_1
g850.t2_1	g321.t1_1
g851.t1_1	g319.t1_1
g857.t2_1	g314.t1_1
g858.t1_1	g304.t1_1
g859.t1_1	g16683.t1_1
g860.t1_1	g8941.t1_1
g861.t1_1	g8959.t1_1
g864.t2_1	g8958.t1_1
g865.t1_1	g8956.t1_1
g867.t1_1	g8653.t1_1
g868.t1_1	g8652.t1_1
g869.t2_1	g8651.t1_1
g870.t1_1	g8660.t1_1
g872.t1_1	g454.t1_1
g873.t1_1	g8978.t1_1
g875.t1_1	g5609.t1_1
g876.t2_1	g5610.t1_1
g877.t2_1	g5611.t1_1
g878.t1_1	g3103.t1_1
g880.t1_1	g10671.t1_1
g883.t1_1	g8577.t1_1
g884.t1_1	g14754.t1_1
g885.t1_1	g14416.t1_1
g886.t1_1	g4836.t1_1
g888.t1_1	g12179.t1_1
g891.t2_1	g7737.t1_1
g893.t1_1	g8976.t1_1
g895.t1_1	g8706.t1_1
g896.t1_1	g8707.t1_1
g897.t1_1	g9163.t1_1
g901.t1_1	g6122.t1_1
g909.t1_1	g8799.t1_1
g910.t1_1	g8345.t1_1
g911.t1_1	g8344.t1_1
g912.t1_1	g8247.t1_1
g913.t1_1	g8248.t1_1
g914.t1_1	g9112.t1_1
g915.t2_1	g7419.t1_1
g917.t1_1	g7410.t1_1
g918.t1_1	g17559.t1_1
g919.t1_1	g3237.t1_1
g920.t2_1	g1830.t1_1
g921.t1_1	g5564.t1_1
g922.t1_1	g2502.t1_1
g923.t1_1	g16818.t1_1
g924.t1_1	g16306.t1_1
g927.t2_1	g17081.t1_1
g930.t2_1	g2121.t1_1
g933.t1_1	g565.t1_1
g934.t1_1	g221.t1_1
g935.t2_1	g5497.t2_1
g936.t1_1	g6315.t1_1
g938.t1_1	g6126.t1_1
g939.t1_1	g6125.t1_1
g940.t1_1	g2056.t1_1
g941.t1_1	g6930.t1_1
g943.t1_1	g9666.t1_1
g944.t1_1	g8864.t1_1
g946.t1_1	g1115.t1_1
g947.t1_1	g1630.t1_1
g948.t1_1	g7757.t1_1
g949.t1_1	g9216.t1_1
g952.t3_1	g7742.t1_1
g954.t1_1	g7748.t1_1
g955.t2_1	g7744.t3_1
g957.t1_1	g7749.t1_1
g960.t1_1	g13918.t1_1
g962.t1_1	g8993.t2_1
g964.t1_1	g8991.t2_1
g966.t1_1	g2184.t1_1
g967.t1_1	g10705.t1_1
g968.t1_1	g6099.t1_1
g971.t3_1	g1468.t3_1
g972.t1_1	g2437.t1_1
g973.t1_1	g2435.t1_1
g974.t1_1	g2434.t3_1
g975.t1_1	g7537.t1_1
g983.t1_1	g2411.t1_1
g984.t1_1	g1657.t1_1
g985.t1_1	g1781.t1_1
g986.t1_1	g1670.t2_1
g988.t1_1	g297.t1_1
g990.t4_1	g15473.t1_1
g991.t1_1	g14263.t1_1
g992.t2_1	g14804.t1_1
g994.t1_1	g8867.t1_1
g995.t1_1	g9679.t1_1
g997.t1_1	g14481.t1_1
g998.t2_1	g16091.t1_1
g999.t1_1	g13674.t1_1
g1000.t1_1	g13673.t1_1
g1001.t2_1	g4878.t1_1
g1002.t1_1	g16661.t1_1
g1003.t1_1	g14587.t1_1
g1004.t1_1	g14413.t1_1
g1005.t1_1	g12865.t1_1
g1006.t2_1	g12863.t1_1
g1007.t2_1	g12862.t1_1
g1008.t1_1	g15687.t1_1
g1009.t1_1	g4234.t1_1
g1010.t1_1	g14949.t1_1
g1012.t1_1	g14396.t1_1
g1013.t1_1	g14803.t2_1
g1014.t1_1	g14802.t1_1
g1015.t1_1	g18386.t1_1
g1016.t1_1	g14801.t2_1
g1018.t1_1	g14925.t1_1
g1019.t2_1	g14342.t1_1
g1020.t2_1	g16613.t1_1
g1021.t1_1	g14829.t1_1
g1022.t1_1	g14831.t1_1
g1033.t1_1	g13974.t2_1
g1034.t1_1	g13975.t1_1
g1035.t1_1	g13976.t1_1
g1037.t1_1	g13977.t1_1
g1038.t1_1	g13978.t1_1
g1040.t1_1	g6511.t1_1
g1041.t1_1	g6233.t1_1
g1042.t1_1	g7009.t1_1
g1044.t1_1	g6240.t1_1
g1045.t3_1	g9149.t1_1
g1046.t1_1	g1613.t1_1
g1047.t1_1	g14192.t1_1
g1048.t1_1	g14191.t1_1
g1049.t1_1	g14190.t2_1
g1050.t1_1	g14188.t1_1
g1052.t2_1	g14104.t1_1
g1053.t1_1	g13876.t1_1
g1054.t1_1	g13875.t1_1
g1056.t1_1	g13872.t1_1
g1061.t1_1	g16039.t1_1
g1062.t1_1	g16383.t1_1
g1063.t1_1	g2663.t1_1
g1064.t2_1	g16402.t1_1
g1066.t1_1	g16369.t1_1
g1067.t1_1	g16349.t1_1
g1070.t2_1	g2006.t1_1
g1071.t1_1	g2714.t1_1
g1072.t1_1	g12050.t1_1
g1073.t1_1	g1806.t2_1
g1075.t1_1	g2000.t1_1
g1082.t1_1	g1999.t1_1
g1084.t1_1	g1624.t1_1
g1087.t1_1	g2678.t1_1
g1091.t1_1	g1846.t1_1
g1093.t1_1	g1839.t1_1
g1094.t1_1	g1427.t1_1
g1095.t1_1	g5443.t1_1
g1096.t1_1	g12209.t1_1
g1098.t1_1	g1978.t1_1
g1099.t1_1	g1908.t1_1
g1100.t1_1	g1977.t1_1
g1102.t1_1	g8701.t1_1
g1106.t2_1	g485.t1_1
g1108.t1_1	g474.t1_1
g1110.t1_1	g470.t1_1
g1111.t2_1	g469.t1_1
g1112.t1_1	g468.t1_1
g1113.t2_1	g467.t1_1
g1114.t1_1	g1478.t1_1
g1115.t1_1	g12116.t1_1
g1118.t1_1	g2232.t1_1
g1119.t1_1	g2236.t1_1
g1121.t1_1	g16701.t1_1
g1122.t2_1	g11455.t1_1
g1123.t1_1	g1973.t1_1
g1124.t1_1	g484.t1_1
g1126.t1_1	g368.t1_1
g1127.t1_1	g2749.t1_1
g1130.t1_1	g10573.t1_1
g1131.t1_1	g10572.t1_1
g1132.t1_1	g2375.t1_1
g1133.t1_1	g6243.t1_1
g1134.t1_1	g323.t1_1
g1135.t1_1	g419.t1_1
g1136.t2_1	g324.t2_1
g1137.t1_1	g325.t1_1
g1139.t1_1	g326.t1_1
g1140.t1_1	g327.t1_1
g1141.t1_1	g329.t1_1
g1142.t2_1	g331.t1_1
g1143.t3_1	g338.t1_1
g1145.t1_1	g344.t1_1
g1146.t2_1	g343.t1_1
g1150.t1_1	g345.t1_1
g1151.t2_1	g346.t1_1
g1152.t1_1	g347.t1_1
g1153.t1_1	g348.t1_1
g1154.t1_1	g351.t1_1
g1155.t1_1	g15548.t1_1
g1158.t1_1	g10240.t2_1
g1159.t1_1	g10241.t1_1
g1162.t3_1	g10252.t2_1
g1163.t1_1	g10785.t1_1
g1164.t2_1	g10669.t2_1
g1168.t1_1	g10887.t1_1
g1169.t1_1	g9924.t1_1
g1170.t1_1	g9889.t1_1
g1171.t1_1	g10435.t1_1
g1172.t1_1	g5526.t1_1
g1173.t2_1	g9020.t1_1
g1174.t20_1	g8964.t1_1
g1175.t1_1	g8521.t1_1
g1176.t1_1	g8666.t1_1
g1177.t1_1	g8500.t1_1
g1178.t1_1	g222.t2_1
g1179.t1_1	g12259.t1_1
g1180.t1_1	g15934.t1_1
g1181.t1_1	g15227.t1_1
g1182.t2_1	g16385.t1_1
g1183.t1_1	g15935.t1_1
g1185.t1_1	g12657.t1_1
g1187.t1_1	g14344.t1_1
g1188.t1_1	g14643.t1_1
g1189.t1_1	g17126.t1_1
g1190.t1_1	g12289.t1_1
g1194.t1_1	g12047.t1_1
g1196.t1_1	g284.t1_1
g1201.t4_1	g12048.t2_1
g1202.t1_1	g12051.t1_1
g1203.t1_1	g12049.t1_1
g1204.t1_1	g9866.t1_1
g1206.t1_1	g10539.t1_1
g1212.t1_1	g2179.t1_1
g1213.t1_1	g14951.t1_1
g1215.t1_1	g4566.t1_1
g1216.t1_1	g3949.t1_1
g1219.t1_1	g9956.t1_1
g1220.t1_1	g9957.t1_1
g1221.t1_1	g9958.t1_1
g1224.t1_1	g11030.t1_1
g1226.t1_1	g10958.t1_1
g1227.t2_1	g1879.t1_1
g1228.t2_1	g10077.t1_1
g1230.t1_1	g10029.t1_1
g1231.t1_1	g11198.t1_1
g1233.t1_1	g11197.t1_1
g1234.t2_1	g11196.t1_1
g1236.t1_1	g11193.t1_1
g1237.t1_1	g9375.t1_1
g1238.t1_1	g11190.t1_1
g1239.t1_1	g10440.t1_1
g1242.t1_1	g4062.t1_1
g1244.t1_1	g278.t1_1
g1246.t1_1	g280.t1_1
g1247.t1_1	g2046.t1_1
g1248.t1_1	g287.t1_1
g1249.t1_1	g289.t1_1
g1253.t1_1	g293.t1_1
g1255.t1_1	g9229.t1_1
g1259.t1_1	g14547.t1_1
g1260.t1_1	g14550.t1_1
g1261.t1_1	g14452.t1_1
g1262.t1_1	g14453.t1_1
g1263.t1_1	g14455.t1_1
g1264.t2_1	g14456.t1_1
g1265.t1_1	g14458.t1_1
g1266.t1_1	g14459.t1_1
g1267.t1_1	g15719.t1_1
g1268.t1_1	g2513.t1_1
g1269.t1_1	g16086.t1_1
g1270.t2_1	g2505.t1_1
g1271.t1_1	g1893.t1_1
g1272.t1_1	g6882.t1_1
g1273.t1_1	g8547.t1_1
g1274.t1_1	g9437.t1_1
g1275.t1_1	g1898.t1_1
g1276.t1_1	g433.t1_1
g1277.t1_1	g4618.t1_1
g1279.t1_1	g10991.t1_1
g1280.t1_1	g10987.t1_1
g1282.t1_1	g11025.t1_1
g1283.t1_1	g10988.t1_1
g1284.t1_1	g10989.t1_1
g1286.t1_1	g10845.t1_1
g1287.t2_1	g10843.t1_1
g1291.t1_1	g10847.t1_1
g1293.t1_1	g10850.t1_1
g1294.t1_1	g10852.t1_1
g1295.t1_1	g10854.t1_1
g1296.t1_1	g10855.t1_1
g1297.t1_1	g6606.t1_1
g1298.t1_1	g10859.t1_1
g1299.t1_1	g16954.t2_1
g1300.t1_1	g10861.t1_1
g1301.t1_1	g10862.t1_1
g1303.t1_1	g10863.t1_1
g1306.t1_1	g10396.t1_1
g1307.t1_1	g10831.t1_1
g1308.t3_1	g14845.t1_1
g1309.t1_1	g11159.t1_1
g1310.t1_1	g10124.t1_1
g1311.t1_1	g6236.t1_1
g1313.t1_1	g10993.t1_1
g1316.t1_1	g10995.t1_1
g1317.t1_1	g10997.t1_1
g1318.t1_1	g10998.t1_1
g1319.t1_1	g11215.t1_1
g1321.t3_1	g11179.t1_1
g1322.t1_1	g11219.t1_1
g1323.t2_1	g11067.t1_1
g1324.t1_1	g13848.t1_1
g1325.t1_1	g13849.t1_1
g1327.t1_1	g10679.t1_1
g1328.t1_1	g10680.t1_1
g1329.t1_1	g10624.t1_1
g1330.t1_1	g11262.t1_1
g1331.t1_1	g11121.t1_1
g1337.t1_1	g10123.t1_1
g1338.t2_1	g3868.t1_1
g1339.t1_1	g10975.t1_1
g1340.t1_1	g10976.t1_1
g1341.t1_1	g11173.t1_1
g1343.t1_1	g10956.t1_1
