chromosome,A_obtectus,B_siliquastri,C_chinensis,C_maculatus,four_way_OG_ID,pairs_OG_IDs_lists
A,rna-AOBTE_LOCUS45,BRAKERILHT00000011326,CALCHIM00000000590,g10355.t1,11,"['B_siliquastri_C_maculatus_A-linked_ortholog_6625', 'A_obtectus_C_chinensis_A-linked_ortholog_20', 'A_obtectus_B_siliquastri_A-linked_ortholog_13', 'B_siliquastri_C_chinensis_A-linked_ortholog_7089', 'C_chinensis_C_maculatus_A-linked_ortholog_1049', 'A_obtectus_C_maculatus_A-linked_ortholog_13']"
A,rna-AOBTE_LOCUS47,BRAKERILHT00000010469,CALCHIM00000000615,g10349.t1,12,"['B_siliquastri_C_maculatus_A-linked_ortholog_6620', 'A_obtectus_C_chinensis_A-linked_ortholog_21', 'A_obtectus_B_siliquastri_A-linked_ortholog_15', 'B_siliquastri_C_chinensis_A-linked_ortholog_7084', 'C_chinensis_C_maculatus_A-linked_ortholog_1054', 'A_obtectus_C_maculatus_A-linked_ortholog_14']"
A,rna-AOBTE_LOCUS48,BRAKERILHT00000011009,CALCHIM00000000610,g10350.t1,13,"['B_siliquastri_C_maculatus_A-linked_ortholog_6621', 'A_obtectus_C_chinensis_A-linked_ortholog_22', 'A_obtectus_B_siliquastri_A-linked_ortholog_16', 'B_siliquastri_C_chinensis_A-linked_ortholog_7085', 'C_chinensis_C_maculatus_A-linked_ortholog_1053', 'A_obtectus_C_maculatus_A-linked_ortholog_15']"
A,rna-AOBTE_LOCUS50,BRAKERILHT00000010696,CALCHIM00000000609,g10351.t1,14,"['B_siliquastri_C_maculatus_A-linked_ortholog_6622', 'A_obtectus_C_chinensis_A-linked_ortholog_24', 'A_obtectus_B_siliquastri_A-linked_ortholog_17', 'B_siliquastri_C_chinensis_A-linked_ortholog_7086', 'C_chinensis_C_maculatus_A-linked_ortholog_1052', 'A_obtectus_C_maculatus_A-linked_ortholog_16']"
A,rna-AOBTE_LOCUS53,BRAKERILHT00000011236,CALCHIM00000000605,g10353.t1,15,"['B_siliquastri_C_maculatus_A-linked_ortholog_6623', 'A_obtectus_C_chinensis_A-linked_ortholog_26', 'A_obtectus_B_siliquastri_A-linked_ortholog_18', 'B_siliquastri_C_chinensis_A-linked_ortholog_7087', 'C_chinensis_C_maculatus_A-linked_ortholog_1051', 'A_obtectus_C_maculatus_A-linked_ortholog_18']"
A,rna-AOBTE_LOCUS65,BRAKERILHT00000011879,CALCHIM00000026316,g9793.t1,16,"['B_siliquastri_C_maculatus_A-linked_ortholog_6526', 'A_obtectus_C_chinensis_A-linked_ortholog_27', 'A_obtectus_B_siliquastri_A-linked_ortholog_19', 'B_siliquastri_C_chinensis_A-linked_ortholog_6992', 'C_chinensis_C_maculatus_A-linked_ortholog_363', 'A_obtectus_C_maculatus_A-linked_ortholog_19']"
A,rna-AOBTE_LOCUS69,BRAKERILHT00000011134,CALCHIM00000026333,g9796.t1,17,"['B_siliquastri_C_maculatus_A-linked_ortholog_6523', 'A_obtectus_C_chinensis_A-linked_ortholog_29', 'A_obtectus_B_siliquastri_A-linked_ortholog_21', 'B_siliquastri_C_chinensis_A-linked_ortholog_6988', 'C_chinensis_C_maculatus_A-linked_ortholog_366', 'A_obtectus_C_maculatus_A-linked_ortholog_20']"
A,rna-AOBTE_LOCUS70,BRAKERILHT00000011614,CALCHIM00000026337,g9791.t1,18,"['B_siliquastri_C_maculatus_A-linked_ortholog_6522', 'A_obtectus_C_chinensis_A-linked_ortholog_30', 'A_obtectus_B_siliquastri_A-linked_ortholog_22', 'B_siliquastri_C_chinensis_A-linked_ortholog_6987', 'C_chinensis_C_maculatus_A-linked_ortholog_367', 'A_obtectus_C_maculatus_A-linked_ortholog_21']"
A,rna-AOBTE_LOCUS74,BRAKERILHT00000011891,CALCHIM00000026346,g9788.t1,19,"['B_siliquastri_C_maculatus_A-linked_ortholog_6520', 'A_obtectus_C_chinensis_A-linked_ortholog_31', 'A_obtectus_B_siliquastri_A-linked_ortholog_23', 'B_siliquastri_C_chinensis_A-linked_ortholog_6985', 'C_chinensis_C_maculatus_A-linked_ortholog_370', 'A_obtectus_C_maculatus_A-linked_ortholog_22']"
A,rna-AOBTE_LOCUS93,BRAKERILHT00000011620,CALCHIM00000026348,g9787.t1,20,"['B_siliquastri_C_maculatus_A-linked_ortholog_6519', 'A_obtectus_C_chinensis_A-linked_ortholog_32', 'A_obtectus_B_siliquastri_A-linked_ortholog_24', 'B_siliquastri_C_chinensis_A-linked_ortholog_6984', 'C_chinensis_C_maculatus_A-linked_ortholog_371', 'A_obtectus_C_maculatus_A-linked_ortholog_23']"
A,rna-AOBTE_LOCUS94,BRAKERILHT00000011331,CALCHIM00000026349,g9786.t2,21,"['B_siliquastri_C_maculatus_A-linked_ortholog_6518', 'A_obtectus_C_chinensis_A-linked_ortholog_33', 'A_obtectus_B_siliquastri_A-linked_ortholog_25', 'B_siliquastri_C_chinensis_A-linked_ortholog_6983', 'C_chinensis_C_maculatus_A-linked_ortholog_372', 'A_obtectus_C_maculatus_A-linked_ortholog_24']"
A,rna-AOBTE_LOCUS96-2,BRAKERILHT00000011695,CALCHIM00000026350,g9785.t2,22,"['B_siliquastri_C_maculatus_A-linked_ortholog_6517', 'A_obtectus_C_chinensis_A-linked_ortholog_34', 'A_obtectus_B_siliquastri_A-linked_ortholog_26', 'B_siliquastri_C_chinensis_A-linked_ortholog_6982', 'C_chinensis_C_maculatus_A-linked_ortholog_373', 'A_obtectus_C_maculatus_A-linked_ortholog_25']"
A,rna-AOBTE_LOCUS98,BRAKERILHT00000012284,CALCHIM00000026352,g9784.t1,23,"['B_siliquastri_C_maculatus_A-linked_ortholog_6516', 'A_obtectus_C_chinensis_A-linked_ortholog_35', 'A_obtectus_B_siliquastri_A-linked_ortholog_27', 'B_siliquastri_C_chinensis_A-linked_ortholog_6981', 'C_chinensis_C_maculatus_A-linked_ortholog_374', 'A_obtectus_C_maculatus_A-linked_ortholog_26']"
A,rna-AOBTE_LOCUS104,BRAKERILHT00000011412,CALCHIM00000026340,g9790.t1,24,"['B_siliquastri_C_maculatus_A-linked_ortholog_6521', 'A_obtectus_C_chinensis_A-linked_ortholog_37', 'A_obtectus_B_siliquastri_A-linked_ortholog_28', 'B_siliquastri_C_chinensis_A-linked_ortholog_6986', 'C_chinensis_C_maculatus_A-linked_ortholog_368', 'A_obtectus_C_maculatus_A-linked_ortholog_27']"
A,rna-AOBTE_LOCUS107,BRAKERILHT00000010817,CALCHIM00000026331,g9795.t1,25,"['B_siliquastri_C_maculatus_A-linked_ortholog_6524', 'A_obtectus_C_chinensis_A-linked_ortholog_38', 'A_obtectus_B_siliquastri_A-linked_ortholog_29', 'B_siliquastri_C_chinensis_A-linked_ortholog_6989', 'C_chinensis_C_maculatus_A-linked_ortholog_365', 'A_obtectus_C_maculatus_A-linked_ortholog_28']"
A,rna-AOBTE_LOCUS119,BRAKERILHT00000010645,CALCHIM00000026312,g9792.t1,26,"['B_siliquastri_C_maculatus_A-linked_ortholog_6527', 'A_obtectus_C_chinensis_A-linked_ortholog_41', 'A_obtectus_B_siliquastri_A-linked_ortholog_32', 'B_siliquastri_C_chinensis_A-linked_ortholog_6993', 'C_chinensis_C_maculatus_A-linked_ortholog_362', 'A_obtectus_C_maculatus_A-linked_ortholog_30']"
A,rna-AOBTE_LOCUS120,BRAKERILHT00000011083,CALCHIM00000026310,g9797.t1,27,"['B_siliquastri_C_maculatus_A-linked_ortholog_6528', 'A_obtectus_C_chinensis_A-linked_ortholog_42', 'A_obtectus_B_siliquastri_A-linked_ortholog_33', 'B_siliquastri_C_chinensis_A-linked_ortholog_6994', 'C_chinensis_C_maculatus_A-linked_ortholog_361', 'A_obtectus_C_maculatus_A-linked_ortholog_31']"
A,rna-AOBTE_LOCUS126,BRAKERILHT00000010652,CALCHIM00000026307,g9799.t1,28,"['B_siliquastri_C_maculatus_A-linked_ortholog_6530', 'A_obtectus_C_chinensis_A-linked_ortholog_43', 'A_obtectus_B_siliquastri_A-linked_ortholog_34', 'B_siliquastri_C_chinensis_A-linked_ortholog_6996', 'C_chinensis_C_maculatus_A-linked_ortholog_359', 'A_obtectus_C_maculatus_A-linked_ortholog_33']"
A,rna-AOBTE_LOCUS141,BRAKERILHT00000010827,CALCHIM00000005927,g10413.t1,29,"['B_siliquastri_C_maculatus_A-linked_ortholog_5903', 'A_obtectus_C_chinensis_A-linked_ortholog_45', 'A_obtectus_B_siliquastri_A-linked_ortholog_36', 'B_siliquastri_C_chinensis_A-linked_ortholog_6328', 'C_chinensis_C_maculatus_A-linked_ortholog_8618', 'A_obtectus_C_maculatus_A-linked_ortholog_36']"
A,rna-AOBTE_LOCUS148,BRAKERILHT00000011245,CALCHIM00000001006,g9984.t1,30,"['B_siliquastri_C_maculatus_A-linked_ortholog_6584', 'A_obtectus_C_chinensis_A-linked_ortholog_50', 'A_obtectus_B_siliquastri_A-linked_ortholog_38', 'B_siliquastri_C_chinensis_A-linked_ortholog_7048', 'C_chinensis_C_maculatus_A-linked_ortholog_7897', 'A_obtectus_C_maculatus_A-linked_ortholog_38']"
A,rna-AOBTE_LOCUS155,BRAKERILHT00000011586,CALCHIM00000001011,g9980.t1,31,"['B_siliquastri_C_maculatus_A-linked_ortholog_6586', 'A_obtectus_C_chinensis_A-linked_ortholog_54', 'A_obtectus_B_siliquastri_A-linked_ortholog_40', 'B_siliquastri_C_chinensis_A-linked_ortholog_7050', 'C_chinensis_C_maculatus_A-linked_ortholog_7901', 'A_obtectus_C_maculatus_A-linked_ortholog_42']"
A,rna-AOBTE_LOCUS157,BRAKERILHT00000011097,CALCHIM00000001012,g9979.t1,32,"['B_siliquastri_C_maculatus_A-linked_ortholog_6587', 'A_obtectus_C_chinensis_A-linked_ortholog_55', 'A_obtectus_B_siliquastri_A-linked_ortholog_41', 'B_siliquastri_C_chinensis_A-linked_ortholog_7051', 'C_chinensis_C_maculatus_A-linked_ortholog_7902', 'A_obtectus_C_maculatus_A-linked_ortholog_43']"
A,rna-AOBTE_LOCUS175-2,BRAKERILHT00000011849,CALCHIM00000057924,g9974.t2,33,"['B_siliquastri_C_maculatus_A-linked_ortholog_6591', 'A_obtectus_C_chinensis_A-linked_ortholog_60', 'A_obtectus_B_siliquastri_A-linked_ortholog_47', 'B_siliquastri_C_chinensis_A-linked_ortholog_7055', 'C_chinensis_C_maculatus_A-linked_ortholog_7867', 'A_obtectus_C_maculatus_A-linked_ortholog_47']"
A,rna-AOBTE_LOCUS182,BRAKERILHT00000011294,CALCHIM00000023359,g9973.t1,34,"['B_siliquastri_C_maculatus_A-linked_ortholog_6592', 'A_obtectus_C_chinensis_A-linked_ortholog_61', 'A_obtectus_B_siliquastri_A-linked_ortholog_48', 'B_siliquastri_C_chinensis_A-linked_ortholog_7056', 'C_chinensis_C_maculatus_A-linked_ortholog_8671', 'A_obtectus_C_maculatus_A-linked_ortholog_48']"
A,rna-AOBTE_LOCUS192,BRAKERILHT00000012317,CALCHIM00000023364,g9970.t1,35,"['B_siliquastri_C_maculatus_A-linked_ortholog_6593', 'A_obtectus_C_chinensis_A-linked_ortholog_63', 'A_obtectus_B_siliquastri_A-linked_ortholog_50', 'B_siliquastri_C_chinensis_A-linked_ortholog_7058', 'C_chinensis_C_maculatus_A-linked_ortholog_8672', 'A_obtectus_C_maculatus_A-linked_ortholog_49']"
A,rna-AOBTE_LOCUS215,BRAKERILHT00000010611,CALCHIM00000025176,g9966.t1,36,"['B_siliquastri_C_maculatus_A-linked_ortholog_6596', 'A_obtectus_C_chinensis_A-linked_ortholog_66', 'A_obtectus_B_siliquastri_A-linked_ortholog_53', 'B_siliquastri_C_chinensis_A-linked_ortholog_7059', 'C_chinensis_C_maculatus_A-linked_ortholog_4775', 'A_obtectus_C_maculatus_A-linked_ortholog_52']"
A,rna-AOBTE_LOCUS216,BRAKERILHT00000012093,CALCHIM00000000449,g10379.t1,37,"['B_siliquastri_C_maculatus_A-linked_ortholog_6394', 'A_obtectus_C_chinensis_A-linked_ortholog_67', 'A_obtectus_B_siliquastri_A-linked_ortholog_54', 'B_siliquastri_C_chinensis_A-linked_ortholog_6846', 'C_chinensis_C_maculatus_A-linked_ortholog_1032', 'A_obtectus_C_maculatus_A-linked_ortholog_53']"
A,rna-AOBTE_LOCUS225,BRAKERILHT00000010810,CALCHIM00000015660,g10387.t1,38,"['B_siliquastri_C_maculatus_A-linked_ortholog_6390', 'A_obtectus_C_chinensis_A-linked_ortholog_71', 'A_obtectus_B_siliquastri_A-linked_ortholog_59', 'B_siliquastri_C_chinensis_A-linked_ortholog_6841', 'C_chinensis_C_maculatus_A-linked_ortholog_6004', 'A_obtectus_C_maculatus_A-linked_ortholog_56']"
A,rna-AOBTE_LOCUS226,BRAKERILHT00000012063,CALCHIM00000015663,g10388.t2,39,"['B_siliquastri_C_maculatus_A-linked_ortholog_6389', 'A_obtectus_C_chinensis_A-linked_ortholog_72', 'A_obtectus_B_siliquastri_A-linked_ortholog_60', 'B_siliquastri_C_chinensis_A-linked_ortholog_6840', 'C_chinensis_C_maculatus_A-linked_ortholog_6005', 'A_obtectus_C_maculatus_A-linked_ortholog_57']"
A,rna-AOBTE_LOCUS228-2,BRAKERILHT00000011206,CALCHIM00000015670,g10303.t1,40,"['B_siliquastri_C_maculatus_A-linked_ortholog_6387', 'A_obtectus_C_chinensis_A-linked_ortholog_73', 'A_obtectus_B_siliquastri_A-linked_ortholog_62', 'B_siliquastri_C_chinensis_A-linked_ortholog_6838', 'C_chinensis_C_maculatus_A-linked_ortholog_6007', 'A_obtectus_C_maculatus_A-linked_ortholog_58']"
A,rna-AOBTE_LOCUS230-3,BRAKERILHT00000010528,CALCHIM00000015685,g10393.t1,41,"['B_siliquastri_C_maculatus_A-linked_ortholog_6386', 'A_obtectus_C_chinensis_A-linked_ortholog_75', 'A_obtectus_B_siliquastri_A-linked_ortholog_64', 'B_siliquastri_C_chinensis_A-linked_ortholog_6836', 'C_chinensis_C_maculatus_A-linked_ortholog_6008', 'A_obtectus_C_maculatus_A-linked_ortholog_59']"
A,rna-AOBTE_LOCUS232-2,BRAKERILHT00000011957,CALCHIM00000015687,g10304.t1,42,"['B_siliquastri_C_maculatus_A-linked_ortholog_6385', 'A_obtectus_C_chinensis_A-linked_ortholog_76', 'A_obtectus_B_siliquastri_A-linked_ortholog_65', 'B_siliquastri_C_chinensis_A-linked_ortholog_6835', 'C_chinensis_C_maculatus_A-linked_ortholog_6009', 'A_obtectus_C_maculatus_A-linked_ortholog_60']"
A,rna-AOBTE_LOCUS233,BRAKERILHT00000011506,CALCHIM00000015694,g10305.t1,43,"['B_siliquastri_C_maculatus_A-linked_ortholog_6384', 'A_obtectus_C_chinensis_A-linked_ortholog_77', 'A_obtectus_B_siliquastri_A-linked_ortholog_66', 'B_siliquastri_C_chinensis_A-linked_ortholog_6834', 'C_chinensis_C_maculatus_A-linked_ortholog_6010', 'A_obtectus_C_maculatus_A-linked_ortholog_61']"
A,rna-AOBTE_LOCUS234,BRAKERILHT00000012201,CALCHIM00000026250,g9825.t1,44,"['B_siliquastri_C_maculatus_A-linked_ortholog_6024', 'A_obtectus_C_chinensis_A-linked_ortholog_78', 'A_obtectus_B_siliquastri_A-linked_ortholog_67', 'B_siliquastri_C_chinensis_A-linked_ortholog_6453', 'C_chinensis_C_maculatus_A-linked_ortholog_337', 'A_obtectus_C_maculatus_A-linked_ortholog_62']"
A,rna-AOBTE_LOCUS235,BRAKERILHT00000011093,CALCHIM00000015696,g10394.t1,45,"['B_siliquastri_C_maculatus_A-linked_ortholog_6383', 'A_obtectus_C_chinensis_A-linked_ortholog_79', 'A_obtectus_B_siliquastri_A-linked_ortholog_68', 'B_siliquastri_C_chinensis_A-linked_ortholog_6833', 'C_chinensis_C_maculatus_A-linked_ortholog_6011', 'A_obtectus_C_maculatus_A-linked_ortholog_63']"
A,rna-AOBTE_LOCUS236-2,BRAKERILHT00000012347,CALCHIM00000015698,g10395.t1,46,"['B_siliquastri_C_maculatus_A-linked_ortholog_6382', 'A_obtectus_C_chinensis_A-linked_ortholog_80', 'A_obtectus_B_siliquastri_A-linked_ortholog_69', 'B_siliquastri_C_chinensis_A-linked_ortholog_6832', 'C_chinensis_C_maculatus_A-linked_ortholog_6012', 'A_obtectus_C_maculatus_A-linked_ortholog_64']"
A,rna-AOBTE_LOCUS237-2,BRAKERILHT00000014793,CALCHIM00000017441,g9680.t1,47,"['B_siliquastri_C_maculatus_A-linked_ortholog_8404', 'A_obtectus_C_chinensis_A-linked_ortholog_81', 'A_obtectus_B_siliquastri_A-linked_ortholog_70', 'B_siliquastri_C_chinensis_A-linked_ortholog_8978', 'C_chinensis_C_maculatus_A-linked_ortholog_9409', 'A_obtectus_C_maculatus_A-linked_ortholog_65']"
A,rna-AOBTE_LOCUS240,BRAKERILHT00000010893,CALCHIM00000025185,g9963.t1,48,"['B_siliquastri_C_maculatus_A-linked_ortholog_6599', 'A_obtectus_C_chinensis_A-linked_ortholog_82', 'A_obtectus_B_siliquastri_A-linked_ortholog_72', 'B_siliquastri_C_chinensis_A-linked_ortholog_7061', 'C_chinensis_C_maculatus_A-linked_ortholog_4777', 'A_obtectus_C_maculatus_A-linked_ortholog_67']"
A,rna-AOBTE_LOCUS241,BRAKERILHT00000011043,CALCHIM00000025186,g9962.t1,49,"['B_siliquastri_C_maculatus_A-linked_ortholog_6600', 'A_obtectus_C_chinensis_A-linked_ortholog_83', 'A_obtectus_B_siliquastri_A-linked_ortholog_73', 'B_siliquastri_C_chinensis_A-linked_ortholog_7062', 'C_chinensis_C_maculatus_A-linked_ortholog_4778', 'A_obtectus_C_maculatus_A-linked_ortholog_68']"
A,rna-AOBTE_LOCUS243,BRAKERILHT00000011705,CALCHIM00000025188,g9961.t1,50,"['B_siliquastri_C_maculatus_A-linked_ortholog_6601', 'A_obtectus_C_chinensis_A-linked_ortholog_84', 'A_obtectus_B_siliquastri_A-linked_ortholog_74', 'B_siliquastri_C_chinensis_A-linked_ortholog_7063', 'C_chinensis_C_maculatus_A-linked_ortholog_4779', 'A_obtectus_C_maculatus_A-linked_ortholog_69']"
A,rna-AOBTE_LOCUS244,BRAKERILHT00000011873,CALCHIM00000025189,g9960.t1,51,"['B_siliquastri_C_maculatus_A-linked_ortholog_6602', 'A_obtectus_C_chinensis_A-linked_ortholog_85', 'A_obtectus_B_siliquastri_A-linked_ortholog_75', 'B_siliquastri_C_chinensis_A-linked_ortholog_7064', 'C_chinensis_C_maculatus_A-linked_ortholog_4780', 'A_obtectus_C_maculatus_A-linked_ortholog_70']"
A,rna-AOBTE_LOCUS246-3,BRAKERILHT00000011881,CALCHIM00000025191,g9959.t1,52,"['B_siliquastri_C_maculatus_A-linked_ortholog_6603', 'A_obtectus_C_chinensis_A-linked_ortholog_86', 'A_obtectus_B_siliquastri_A-linked_ortholog_76', 'B_siliquastri_C_chinensis_A-linked_ortholog_7065', 'C_chinensis_C_maculatus_A-linked_ortholog_4781', 'A_obtectus_C_maculatus_A-linked_ortholog_71']"
A,rna-AOBTE_LOCUS247-4,BRAKERILHT00000012150,CALCHIM00000047551,g9958.t1,53,"['B_siliquastri_C_maculatus_A-linked_ortholog_6604', 'A_obtectus_C_chinensis_A-linked_ortholog_87', 'A_obtectus_B_siliquastri_A-linked_ortholog_77', 'B_siliquastri_C_chinensis_A-linked_ortholog_7066', 'C_chinensis_C_maculatus_A-linked_ortholog_9324', 'A_obtectus_C_maculatus_A-linked_ortholog_72']"
A,rna-AOBTE_LOCUS248,BRAKERILHT00000010920,CALCHIM00000047552,g9957.t1,54,"['B_siliquastri_C_maculatus_A-linked_ortholog_6605', 'A_obtectus_C_chinensis_A-linked_ortholog_88', 'A_obtectus_B_siliquastri_A-linked_ortholog_78', 'B_siliquastri_C_chinensis_A-linked_ortholog_7067', 'C_chinensis_C_maculatus_A-linked_ortholog_9325', 'A_obtectus_C_maculatus_A-linked_ortholog_73']"
A,rna-AOBTE_LOCUS249,BRAKERILHT00000011607,CALCHIM00000025195,g9956.t1,55,"['B_siliquastri_C_maculatus_A-linked_ortholog_6606', 'A_obtectus_C_chinensis_A-linked_ortholog_89', 'A_obtectus_B_siliquastri_A-linked_ortholog_79', 'B_siliquastri_C_chinensis_A-linked_ortholog_7068', 'C_chinensis_C_maculatus_A-linked_ortholog_4782', 'A_obtectus_C_maculatus_A-linked_ortholog_74']"
A,rna-AOBTE_LOCUS252,BRAKERILHT00000011186,CALCHIM00000025200,g9955.t1,56,"['B_siliquastri_C_maculatus_A-linked_ortholog_6607', 'A_obtectus_C_chinensis_A-linked_ortholog_91', 'A_obtectus_B_siliquastri_A-linked_ortholog_81', 'B_siliquastri_C_chinensis_A-linked_ortholog_7070', 'C_chinensis_C_maculatus_A-linked_ortholog_4783', 'A_obtectus_C_maculatus_A-linked_ortholog_75']"
A,rna-AOBTE_LOCUS254,BRAKERILHT00000011754,CALCHIM00000025202,g9954.t1,57,"['B_siliquastri_C_maculatus_A-linked_ortholog_6608', 'A_obtectus_C_chinensis_A-linked_ortholog_92', 'A_obtectus_B_siliquastri_A-linked_ortholog_82', 'B_siliquastri_C_chinensis_A-linked_ortholog_7071', 'C_chinensis_C_maculatus_A-linked_ortholog_4784', 'A_obtectus_C_maculatus_A-linked_ortholog_76']"
A,rna-AOBTE_LOCUS255,BRAKERILHT00000012265,CALCHIM00000025203,g9953.t1,58,"['B_siliquastri_C_maculatus_A-linked_ortholog_6609', 'A_obtectus_C_chinensis_A-linked_ortholog_93', 'A_obtectus_B_siliquastri_A-linked_ortholog_83', 'B_siliquastri_C_chinensis_A-linked_ortholog_7072', 'C_chinensis_C_maculatus_A-linked_ortholog_4785', 'A_obtectus_C_maculatus_A-linked_ortholog_77']"
A,rna-AOBTE_LOCUS257-2,BRAKERILHT00000010509,CALCHIM00000025204,g9952.t1,59,"['B_siliquastri_C_maculatus_A-linked_ortholog_6610', 'A_obtectus_C_chinensis_A-linked_ortholog_94', 'A_obtectus_B_siliquastri_A-linked_ortholog_84', 'B_siliquastri_C_chinensis_A-linked_ortholog_7073', 'C_chinensis_C_maculatus_A-linked_ortholog_4786', 'A_obtectus_C_maculatus_A-linked_ortholog_78']"
A,rna-AOBTE_LOCUS258-3,BRAKERILHT00000011000,CALCHIM00000025209,g9951.t1,60,"['B_siliquastri_C_maculatus_A-linked_ortholog_6611', 'A_obtectus_C_chinensis_A-linked_ortholog_95', 'A_obtectus_B_siliquastri_A-linked_ortholog_85', 'B_siliquastri_C_chinensis_A-linked_ortholog_7074', 'C_chinensis_C_maculatus_A-linked_ortholog_4787', 'A_obtectus_C_maculatus_A-linked_ortholog_79']"
A,rna-AOBTE_LOCUS259-4,BRAKERILHT00000011183,CALCHIM00000025210,g9950.t1,61,"['B_siliquastri_C_maculatus_A-linked_ortholog_6612', 'A_obtectus_C_chinensis_A-linked_ortholog_96', 'A_obtectus_B_siliquastri_A-linked_ortholog_86', 'B_siliquastri_C_chinensis_A-linked_ortholog_7075', 'C_chinensis_C_maculatus_A-linked_ortholog_4788', 'A_obtectus_C_maculatus_A-linked_ortholog_80']"
